FY,Area,Legend,Rate
2019/2020,05644,COMMNTY COLLEGE,0.0478
2019/2020,05644,COUNTY,0.0000
2019/2020,05644,GENERAL,1.0000
2019/2020,05644,METRO WATER DIST,0.0035
2019/2020,05644,UNIFIED SCHOOLS,0.0825
2019/2020,05645,COMMNTY COLLEGE,0.0478
2019/2020,05645,COUNTY,0.0000
2019/2020,05645,GENERAL,1.0000
2019/2020,05645,METRO WATER DIST,0.0035
2019/2020,05645,UNIFIED SCHOOLS,0.0825
2019/2020,05646,COMMNTY COLLEGE,0.0478
2019/2020,05646,COUNTY,0.0000
2019/2020,05646,GENERAL,1.0000
2019/2020,05646,METRO WATER DIST,0.0035
2019/2020,05646,UNIFIED SCHOOLS,0.0825
2019/2020,05647,COMMNTY COLLEGE,0.0478
2019/2020,05647,COUNTY,0.0000
2019/2020,05647,GENERAL,1.0000
2019/2020,05647,METRO WATER DIST,0.0035
2019/2020,05647,UNIFIED SCHOOLS,0.0825
2019/2020,05648,COMMNTY COLLEGE,0.0478
2019/2020,05648,COUNTY,0.0000
2019/2020,05648,GENERAL,1.0000
2019/2020,05648,METRO WATER DIST,0.0035
2019/2020,05648,UNIFIED SCHOOLS,0.0825
2019/2020,05649,COMMNTY COLLEGE,0.0478
2019/2020,05649,COUNTY,0.0000
2019/2020,05649,GENERAL,1.0000
2019/2020,05649,METRO WATER DIST,0.0035
2019/2020,05649,UNIFIED SCHOOLS,0.0825
2019/2020,00565,CITY-GARDENA,0.0000
2019/2020,00565,COMMNTY COLLEGE,0.0272
2019/2020,00565,COUNTY,0.0000
2019/2020,00565,GENERAL,1.0000
2019/2020,00565,METRO WATER DIST,0.0035
2019/2020,00565,UNIFIED SCHOOLS,0.1255
2019/2020,05650,COMMNTY COLLEGE,0.0478
2019/2020,05650,COUNTY,0.0000
2019/2020,05650,GENERAL,1.0000
2019/2020,05650,METRO WATER DIST,0.0035
2019/2020,05650,UNIFIED SCHOOLS,0.0825
2019/2020,05651,COMMNTY COLLEGE,0.0478
2019/2020,05651,COUNTY,0.0000
2019/2020,05651,GENERAL,1.0000
2019/2020,05651,METRO WATER DIST,0.0035
2019/2020,05651,UNIFIED SCHOOLS,0.0825
2019/2020,05652,COMMNTY COLLEGE,0.0478
2019/2020,05652,COUNTY,0.0000
2019/2020,05652,GENERAL,1.0000
2019/2020,05652,METRO WATER DIST,0.0035
2019/2020,05652,UNIFIED SCHOOLS,0.0825
2019/2020,05653,COMMNTY COLLEGE,0.0478
2019/2020,05653,COUNTY,0.0000
2019/2020,05653,GENERAL,1.0000
2019/2020,05653,METRO WATER DIST,0.0035
2019/2020,05653,UNIFIED SCHOOLS,0.0825
2019/2020,05654,COMMNTY COLLEGE,0.0478
2019/2020,05654,COUNTY,0.0000
2019/2020,05654,GENERAL,1.0000
2019/2020,05654,METRO WATER DIST,0.0035
2019/2020,05654,UNIFIED SCHOOLS,0.0825
2019/2020,05655,COMMNTY COLLEGE,0.0478
2019/2020,05655,COUNTY,0.0000
2019/2020,05655,GENERAL,1.0000
2019/2020,05655,METRO WATER DIST,0.0035
2019/2020,05655,UNIFIED SCHOOLS,0.0825
2019/2020,05656,CITY-INDUSTRY,0.7375
2019/2020,05656,COMMNTY COLLEGE,0.0478
2019/2020,05656,COUNTY,0.0000
2019/2020,05793,UNIFIED SCHOOLS,0.1255
2019/2020,05794,CITY-CARSON,0.0000
2019/2020,05794,COMMNTY COLLEGE,0.0272
2019/2020,05794,COUNTY,0.0000
2019/2020,05794,GENERAL,1.0000
2019/2020,05794,METRO WATER DIST,0.0035
2019/2020,05794,UNIFIED SCHOOLS,0.1255
2019/2020,05798,CITY-SANTA CLARI,0.0000
2019/2020,05798,COMMNTY COLLEGE,0.0295
2019/2020,05798,COUNTY,0.0000
2019/2020,05798,ELEM SCHOOLS,0.0544
2019/2020,05798,GENERAL,1.0000
2019/2020,05798,HIGH SCHOOLS,0.0549
2019/2020,05798,SPECIAL WATER,0.0706
2019/2020,05799,CITY-LANCASTER,0.0000
2019/2020,05799,COMMNTY COLLEGE,0.0472
2019/2020,05799,COUNTY,0.0000
2019/2020,05799,ELEM SCHOOLS,0.0586
2019/2020,05799,GENERAL,1.0000
2019/2020,05799,HIGH SCHOOLS,0.0219
2019/2020,05799,SPECIAL WATER,0.0705
2019/2020,00058,CITY-PALMDALE,0.0000
2019/2020,00058,COMMNTY COLLEGE,0.0472
2019/2020,00058,COUNTY,0.0000
2019/2020,00058,ELEM SCHOOLS,0.0706
2019/2020,00058,GENERAL,1.0000
2019/2020,00058,HIGH SCHOOLS,0.0219
2019/2020,00058,WATER DISTRICT,0.2182
2019/2020,00580,CITY-HAWTHORNE,0.0000
2019/2020,00580,COMMNTY COLLEGE,0.0272
2019/2020,00580,COUNTY,0.0000
2019/2020,00580,GENERAL,1.0000
2019/2020,00580,METRO WATER DIST,0.0035
2019/2020,00580,UNIFIED SCHOOLS,0.1255
2019/2020,05800,CITY-LANCASTER,0.0000
2019/2020,05800,COMMNTY COLLEGE,0.0472
2019/2020,05800,COUNTY,0.0000
2019/2020,05800,ELEM SCHOOLS,0.0586
2019/2020,05800,GENERAL,1.0000
2019/2020,05800,HIGH SCHOOLS,0.0219
2019/2020,05800,SPECIAL WATER,0.0705
2019/2020,05805,COMMNTY COLLEGE,0.0631
2019/2020,05805,COUNTY,0.0000
2019/2020,05805,GENERAL,1.0000
2019/2020,05805,METRO WATER DIST,0.0035
2019/2020,05805,UNIFIED SCHOOLS,0.1433
2019/2020,05809,CITY-LANCASTER,0.0000
2019/2020,05809,COMMNTY COLLEGE,0.0472
2019/2020,05809,COUNTY,0.0000
2019/2020,05809,ELEM SCHOOLS,0.0586
2019/2020,05809,GENERAL,1.0000
2019/2020,05809,HIGH SCHOOLS,0.0219
2019/2020,05809,SPECIAL WATER,0.0705
2019/2020,00581,CITY-GARDENA,0.0000
2019/2020,00581,COMMNTY COLLEGE,0.0272
2019/2020,00581,COUNTY,0.0000
2019/2020,00581,GENERAL,1.0000
2019/2020,00581,METRO WATER DIST,0.0035
2019/2020,00581,UNIFIED SCHOOLS,0.1255
2019/2020,05811,CITY-SANTA FE SP,0.0000
2019/2020,05811,COMMNTY COLLEGE,0.0257
2019/2020,05811,COUNTY,0.0000
2019/2020,05811,ELEM SCHOOLS,0.0843
2019/2020,05811,GENERAL,1.0000
2019/2020,05811,HIGH SCHOOLS,0.0550
2019/2020,05811,METRO WATER DIST,0.0035
2019/2020,05812,CITY-LANCASTER,0.0000
2019/2020,05812,COMMNTY COLLEGE,0.0472
2019/2020,05812,COUNTY,0.0000
2019/2020,05812,ELEM SCHOOLS,0.0586
2019/2020,05812,GENERAL,1.0000
2019/2020,05812,HIGH SCHOOLS,0.0219
2019/2020,05812,SPECIAL WATER,0.0705
2019/2020,05813,CITY-LANCASTER,0.0000
2019/2020,05813,COMMNTY COLLEGE,0.0472
2019/2020,05813,COUNTY,0.0000
2019/2020,05813,ELEM SCHOOLS,0.0586
2019/2020,05813,GENERAL,1.0000
2019/2020,05813,HIGH SCHOOLS,0.0219
2019/2020,05813,SPECIAL WATER,0.0705
2019/2020,05814,CITY-LANCASTER,0.0000
2019/2020,05814,COMMNTY COLLEGE,0.0472
2019/2020,05814,COUNTY,0.0000
2019/2020,05814,ELEM SCHOOLS,0.0586
2019/2020,05814,GENERAL,1.0000
2019/2020,05814,HIGH SCHOOLS,0.0219
2019/2020,05814,SPECIAL WATER,0.0705
2019/2020,05815,CITY-LANCASTER,0.0000
2019/2020,05815,COMMNTY COLLEGE,0.0472
2019/2020,05815,COUNTY,0.0000
2019/2020,05815,ELEM SCHOOLS,0.0586
2019/2020,05815,GENERAL,1.0000
2019/2020,05815,HIGH SCHOOLS,0.0219
2019/2020,05815,SPECIAL WATER,0.0705
2019/2020,05816,CITY-LANCASTER,0.0000
2019/2020,05816,COMMNTY COLLEGE,0.0472
2019/2020,05816,COUNTY,0.0000
2019/2020,05816,ELEM SCHOOLS,0.0586
2019/2020,05816,GENERAL,1.0000
2019/2020,05816,HIGH SCHOOLS,0.0219
2019/2020,05816,SPECIAL WATER,0.0705
2019/2020,05924,GENERAL,1.0000
2019/2020,05924,HIGH SCHOOLS,0.0550
2019/2020,05924,METRO WATER DIST,0.0035
2019/2020,05925,CITY-SANTA FE SP,0.0000
2019/2020,05925,COMMNTY COLLEGE,0.0257
2019/2020,05925,COUNTY,0.0000
2019/2020,05925,ELEM SCHOOLS,0.0658
2019/2020,05925,GENERAL,1.0000
2019/2020,05925,HIGH SCHOOLS,0.0550
2019/2020,05925,METRO WATER DIST,0.0035
2019/2020,05926,CITY-SANTA FE SP,0.0000
2019/2020,05926,COMMNTY COLLEGE,0.0257
2019/2020,05926,COUNTY,0.0000
2019/2020,05926,ELEM SCHOOLS,0.0658
2019/2020,05926,GENERAL,1.0000
2019/2020,05926,HIGH SCHOOLS,0.0550
2019/2020,05926,METRO WATER DIST,0.0035
2019/2020,05927,CITY-SANTA FE SP,0.0000
2019/2020,05927,COMMNTY COLLEGE,0.0257
2019/2020,05927,COUNTY,0.0000
2019/2020,05927,ELEM SCHOOLS,0.0658
2019/2020,05927,GENERAL,1.0000
2019/2020,05927,HIGH SCHOOLS,0.0550
2019/2020,05927,METRO WATER DIST,0.0035
2019/2020,05928,CITY-SANTA FE SP,0.0000
2019/2020,05928,COMMNTY COLLEGE,0.0257
2019/2020,05928,COUNTY,0.0000
2019/2020,05928,ELEM SCHOOLS,0.0653
2019/2020,05928,GENERAL,1.0000
2019/2020,05928,HIGH SCHOOLS,0.0550
2019/2020,05928,METRO WATER DIST,0.0035
2019/2020,00593,CITY-CUDAHY CITY,0.0000
2019/2020,00593,COMMNTY COLLEGE,0.0272
2019/2020,00593,COUNTY,0.0000
2019/2020,00593,GENERAL,1.0000
2019/2020,00593,METRO WATER DIST,0.0035
2019/2020,00593,UNIFIED SCHOOLS,0.1255
2019/2020,05930,CITY-WHITTIER,0.0000
2019/2020,05930,COMMNTY COLLEGE,0.0257
2019/2020,05930,COUNTY,0.0000
2019/2020,05930,ELEM SCHOOLS,0.0658
2019/2020,05930,GENERAL,1.0000
2019/2020,05930,HIGH SCHOOLS,0.0550
2019/2020,05930,METRO WATER DIST,0.0035
2019/2020,05931,CITY-WHITTIER,0.0000
2019/2020,05931,COMMNTY COLLEGE,0.0257
2019/2020,05931,COUNTY,0.0000
2019/2020,05931,ELEM SCHOOLS,0.0658
2019/2020,05931,GENERAL,1.0000
2019/2020,05931,HIGH SCHOOLS,0.0550
2019/2020,05931,METRO WATER DIST,0.0035
2019/2020,05932,CITY-WHITTIER,0.0000
2019/2020,05932,COMMNTY COLLEGE,0.0257
2019/2020,05932,COUNTY,0.0000
2019/2020,05932,ELEM SCHOOLS,0.0658
2019/2020,05932,GENERAL,1.0000
2019/2020,05932,HIGH SCHOOLS,0.0550
2019/2020,05932,METRO WATER DIST,0.0035
2019/2020,05934,CITY-WHITTIER,0.0000
2019/2020,05934,COMMNTY COLLEGE,0.0257
2019/2020,05934,COUNTY,0.0000
2019/2020,05934,ELEM SCHOOLS,0.0658
2019/2020,05934,GENERAL,1.0000
2019/2020,05934,HIGH SCHOOLS,0.0550
2019/2020,05934,METRO WATER DIST,0.0035
2019/2020,05936,CITY-SANTA FE SP,0.0000
2019/2020,05936,COMMNTY COLLEGE,0.0257
2019/2020,05936,COUNTY,0.0000
2019/2020,05936,ELEM SCHOOLS,0.0658
2019/2020,05936,GENERAL,1.0000
2019/2020,05936,HIGH SCHOOLS,0.0550
2019/2020,05936,METRO WATER DIST,0.0035
2019/2020,05937,CITY-SANTA FE SP,0.0000
2019/2020,05937,COMMNTY COLLEGE,0.0257
2019/2020,05937,COUNTY,0.0000
2019/2020,05937,ELEM SCHOOLS,0.0658
2019/2020,05937,GENERAL,1.0000
2019/2020,05937,HIGH SCHOOLS,0.0550
2019/2020,05937,METRO WATER DIST,0.0035
2019/2020,05938,CITY-WHITTIER,0.0000
2019/2020,05938,COMMNTY COLLEGE,0.0257
2019/2020,05938,COUNTY,0.0000
2019/2020,05938,ELEM SCHOOLS,0.0658
2019/2020,05938,GENERAL,1.0000
2019/2020,05938,HIGH SCHOOLS,0.0550
2019/2020,05938,METRO WATER DIST,0.0035
2019/2020,05939,COMMNTY COLLEGE,0.0257
2019/2020,05939,COUNTY,0.0000
2019/2020,05939,ELEM SCHOOLS,0.0658
2019/2020,05939,GENERAL,1.0000
2019/2020,05939,HIGH SCHOOLS,0.0550
2019/2020,05939,METRO WATER DIST,0.0035
2019/2020,00594,CITY-HUNTINGTN P,0.2100
2019/2020,00594,COMMNTY COLLEGE,0.0272
2019/2020,00594,COUNTY,0.0000
2019/2020,00594,GENERAL,1.0000
2019/2020,00594,METRO WATER DIST,0.0035
2019/2020,00594,UNIFIED SCHOOLS,0.1255
2019/2020,05940,COMMNTY COLLEGE,0.0257
2019/2020,06039,HIGH SCHOOLS,0.0278
2019/2020,06039,METRO WATER DIST,0.0035
2019/2020,06040,COMMNTY COLLEGE,0.0241
2019/2020,06040,COUNTY,0.0000
2019/2020,06040,ELEM SCHOOLS,0.0290
2019/2020,06040,GENERAL,1.0000
2019/2020,06040,HIGH SCHOOLS,0.0278
2019/2020,06040,METRO WATER DIST,0.0035
2019/2020,06041,COMMNTY COLLEGE,0.0241
2019/2020,06041,COUNTY,0.0000
2019/2020,06041,ELEM SCHOOLS,0.0290
2019/2020,06041,GENERAL,1.0000
2019/2020,06041,HIGH SCHOOLS,0.0278
2019/2020,06041,METRO WATER DIST,0.0035
2019/2020,06042,CITY-LA HABRA HT,0.0000
2019/2020,06042,COMMNTY COLLEGE,0.0241
2019/2020,06042,COUNTY,0.0000
2019/2020,06042,ELEM SCHOOLS,0.0290
2019/2020,06042,GENERAL,1.0000
2019/2020,06042,HIGH SCHOOLS,0.0278
2019/2020,06042,METRO WATER DIST,0.0035
2019/2020,06043,COMMNTY COLLEGE,0.0241
2019/2020,06043,COUNTY,0.0000
2019/2020,06043,ELEM SCHOOLS,0.0290
2019/2020,06043,GENERAL,1.0000
2019/2020,06043,HIGH SCHOOLS,0.0278
2019/2020,06043,METRO WATER DIST,0.0035
2019/2020,06044,COMMNTY COLLEGE,0.0241
2019/2020,06044,COUNTY,0.0000
2019/2020,06044,ELEM SCHOOLS,0.0290
2019/2020,06044,GENERAL,1.0000
2019/2020,06044,HIGH SCHOOLS,0.0278
2019/2020,06044,METRO WATER DIST,0.0035
2019/2020,06045,COMMNTY COLLEGE,0.0241
2019/2020,06045,COUNTY,0.0000
2019/2020,06045,ELEM SCHOOLS,0.0290
2019/2020,06045,GENERAL,1.0000
2019/2020,06045,HIGH SCHOOLS,0.0278
2019/2020,06045,METRO WATER DIST,0.0035
2019/2020,06046,COMMNTY COLLEGE,0.0241
2019/2020,06046,COUNTY,0.0000
2019/2020,06046,ELEM SCHOOLS,0.0290
2019/2020,06046,GENERAL,1.0000
2019/2020,06046,HIGH SCHOOLS,0.0278
2019/2020,06046,METRO WATER DIST,0.0035
2019/2020,06047,CITY-INDUSTRY,0.7375
2019/2020,06047,COMMNTY COLLEGE,0.0478
2019/2020,06047,COUNTY,0.0000
2019/2020,06047,GENERAL,1.0000
2019/2020,06047,METRO WATER DIST,0.0035
2019/2020,06047,UNIFIED SCHOOLS,0.0954
2019/2020,06048,CITY-LANCASTER T,0.0000
2019/2020,06048,COMMNTY COLLEGE,0.0472
2019/2020,06048,COUNTY,0.0000
2019/2020,06048,ELEM SCHOOLS,0.0586
2019/2020,06048,GENERAL,1.0000
2019/2020,06048,HIGH SCHOOLS,0.0219
2019/2020,06048,SPECIAL WATER,0.0705
2019/2020,06050,CITY-INDUSTRY,0.7375
2019/2020,06050,COMMNTY COLLEGE,0.0478
2019/2020,06050,COUNTY,0.0000
2019/2020,06050,GENERAL,1.0000
2019/2020,06050,METRO WATER DIST,0.0035
2019/2020,06050,UNIFIED SCHOOLS,0.2067
2019/2020,06051,COMMNTY COLLEGE,0.0241
2019/2020,06051,COUNTY,0.0000
2019/2020,06051,ELEM SCHOOLS,0.0290
2019/2020,06051,GENERAL,1.0000
2019/2020,06051,HIGH SCHOOLS,0.0278
2019/2020,06051,METRO WATER DIST,0.0035
2019/2020,06052,COMMNTY COLLEGE,0.0241
2019/2020,06052,COUNTY,0.0000
2019/2020,06052,ELEM SCHOOLS,0.0290
2019/2020,06052,GENERAL,1.0000
2019/2020,06052,HIGH SCHOOLS,0.0278
2019/2020,06052,METRO WATER DIST,0.0035
2019/2020,06053,COMMNTY COLLEGE,0.0241
2019/2020,06053,COUNTY,0.0000
2019/2020,06053,ELEM SCHOOLS,0.0290
2019/2020,06053,GENERAL,1.0000
2019/2020,06053,HIGH SCHOOLS,0.0278
2019/2020,06053,METRO WATER DIST,0.0035
2019/2020,06054,CITY-LA HABRA HT,0.0000
2019/2020,06054,COMMNTY COLLEGE,0.0241
2019/2020,06054,COUNTY,0.0000
2019/2020,06054,ELEM SCHOOLS,0.0290
2019/2020,06054,GENERAL,1.0000
2019/2020,06054,HIGH SCHOOLS,0.0278
2019/2020,06054,METRO WATER DIST,0.0035
2019/2020,06055,CITY-LA HABRA HT,0.0000
2019/2020,06055,COMMNTY COLLEGE,0.0241
2019/2020,06055,COUNTY,0.0000
2019/2020,06055,ELEM SCHOOLS,0.0290
2019/2020,06055,GENERAL,1.0000
2019/2020,06055,HIGH SCHOOLS,0.0278
2019/2020,06055,METRO WATER DIST,0.0035
2019/2020,06056,CITY-LA HABRA HT,0.0000
2019/2020,06056,COMMNTY COLLEGE,0.0241
2019/2020,06056,COUNTY,0.0000
2019/2020,06214,GENERAL,1.0000
2019/2020,06214,METRO WATER DIST,0.0035
2019/2020,06214,UNIFIED SCHOOLS,0.0830
2019/2020,06215,CITY-MONROVIA,0.1285
2019/2020,06215,COMMNTY COLLEGE,0.0217
2019/2020,06215,COUNTY,0.0000
2019/2020,06215,GENERAL,1.0000
2019/2020,06215,METRO WATER DIST,0.0035
2019/2020,06215,UNIFIED SCHOOLS,0.0830
2019/2020,06216,CITY-MONROVIA,0.1285
2019/2020,06216,COMMNTY COLLEGE,0.0217
2019/2020,06216,COUNTY,0.0000
2019/2020,06216,GENERAL,1.0000
2019/2020,06216,METRO WATER DIST,0.0035
2019/2020,06216,UNIFIED SCHOOLS,0.0830
2019/2020,06217,CITY-MONROVIA,0.1285
2019/2020,06217,COMMNTY COLLEGE,0.0217
2019/2020,06217,COUNTY,0.0000
2019/2020,06217,GENERAL,1.0000
2019/2020,06217,METRO WATER DIST,0.0035
2019/2020,06217,UNIFIED SCHOOLS,0.0830
2019/2020,06218,CITY-MONROVIA,0.1285
2019/2020,06218,COMMNTY COLLEGE,0.0217
2019/2020,06218,COUNTY,0.0000
2019/2020,06218,GENERAL,1.0000
2019/2020,06218,METRO WATER DIST,0.0035
2019/2020,06218,UNIFIED SCHOOLS,0.0830
2019/2020,06219,CITY-MONROVIA,0.1285
2019/2020,06219,COMMNTY COLLEGE,0.0217
2019/2020,06219,COUNTY,0.0000
2019/2020,06219,GENERAL,1.0000
2019/2020,06219,METRO WATER DIST,0.0035
2019/2020,06219,UNIFIED SCHOOLS,0.0830
2019/2020,00622,CITY-INGLEWOOD,0.1470
2019/2020,00622,COMMNTY COLLEGE,0.0272
2019/2020,00622,COUNTY,0.0000
2019/2020,00622,GENERAL,1.0000
2019/2020,00622,METRO WATER DIST,0.0035
2019/2020,00622,UNIFIED SCHOOLS,0.1255
2019/2020,06220,CITY-DUARTE,0.0000
2019/2020,06220,COMMNTY COLLEGE,0.0217
2019/2020,06220,COUNTY,0.0000
2019/2020,06220,GENERAL,1.0000
2019/2020,06220,METRO WATER DIST,0.0035
2019/2020,06220,UNIFIED SCHOOLS,0.0830
2019/2020,06221,CITY-MONROVIA,0.1285
2019/2020,06221,COMMNTY COLLEGE,0.0217
2019/2020,06221,COUNTY,0.0000
2019/2020,06221,GENERAL,1.0000
2019/2020,06221,METRO WATER DIST,0.0035
2019/2020,06221,UNIFIED SCHOOLS,0.0830
2019/2020,06222,CITY-MONROVIA,0.1285
2019/2020,06222,COMMNTY COLLEGE,0.0217
2019/2020,06222,COUNTY,0.0000
2019/2020,06222,GENERAL,1.0000
2019/2020,06222,METRO WATER DIST,0.0035
2019/2020,06222,UNIFIED SCHOOLS,0.0830
2019/2020,06223,COMMNTY COLLEGE,0.0478
2019/2020,06223,COUNTY,0.0000
2019/2020,06223,GENERAL,1.0000
2019/2020,06223,METRO WATER DIST,0.0035
2019/2020,06223,UNIFIED SCHOOLS,0.0825
2019/2020,06224,CITY-MONROVIA,0.1285
2019/2020,06224,COMMNTY COLLEGE,0.0217
2019/2020,06224,COUNTY,0.0000
2019/2020,06224,GENERAL,1.0000
2019/2020,06224,METRO WATER DIST,0.0035
2019/2020,06224,UNIFIED SCHOOLS,0.0830
2019/2020,06225,CITY-MONROVIA,0.1285
2019/2020,06225,COMMNTY COLLEGE,0.0217
2019/2020,06225,COUNTY,0.0000
2019/2020,06225,GENERAL,1.0000
2019/2020,06225,METRO WATER DIST,0.0035
2019/2020,06225,UNIFIED SCHOOLS,0.0830
2019/2020,06226,COMMNTY COLLEGE,0.0217
2019/2020,06226,COUNTY,0.0000
2019/2020,06226,GENERAL,1.0000
2019/2020,06226,METRO WATER DIST,0.0035
2019/2020,06226,UNIFIED SCHOOLS,0.0830
2019/2020,06228,CITY-LANCASTER,0.0000
2019/2020,06228,COMMNTY COLLEGE,0.0472
2019/2020,06228,COUNTY,0.0000
2019/2020,06228,ELEM SCHOOLS,0.0586
2019/2020,06228,GENERAL,1.0000
2019/2020,06228,HIGH SCHOOLS,0.0219
2019/2020,06228,SPECIAL WATER,0.0705
2019/2020,06229,CITY NORWALK TD,0.0000
2019/2020,06229,COMMNTY COLLEGE,0.0445
2019/2020,06229,COUNTY,0.0000
2019/2020,06229,GENERAL,1.0000
2019/2020,06229,METRO WATER DIST,0.0035
2019/2020,06229,UNIFIED SCHOOLS,0.0819
2019/2020,00623,CITY-SANTA CLARI,0.0000
2019/2020,00623,COMMNTY COLLEGE,0.0295
2019/2020,00623,COUNTY,0.0000
2019/2020,00623,ELEM SCHOOLS,0.0198
2019/2020,00623,GENERAL,1.0000
2019/2020,00623,HIGH SCHOOLS,0.0549
2019/2020,06346,UNIFIED SCHOOLS,0.0931
2019/2020,06347,CITY-MONTEBELLO,0.1979
2019/2020,06347,COMMNTY COLLEGE,0.0272
2019/2020,06347,COUNTY,0.0000
2019/2020,06347,GENERAL,1.0000
2019/2020,06347,METRO WATER DIST,0.0035
2019/2020,06347,UNIFIED SCHOOLS,0.0931
2019/2020,06348,CITY-MONTEBELLO,0.1979
2019/2020,06348,COMMNTY COLLEGE,0.0272
2019/2020,06348,COUNTY,0.0000
2019/2020,06348,GENERAL,1.0000
2019/2020,06348,METRO WATER DIST,0.0035
2019/2020,06348,UNIFIED SCHOOLS,0.0931
2019/2020,06349,CITY-BELL GARDEN,0.0000
2019/2020,06349,COMMNTY COLLEGE,0.0272
2019/2020,06349,COUNTY,0.0000
2019/2020,06349,GENERAL,1.0000
2019/2020,06349,METRO WATER DIST,0.0035
2019/2020,06349,UNIFIED SCHOOLS,0.0931
2019/2020,00635,CITY-CUDAHY,0.0000
2019/2020,00635,COMMNTY COLLEGE,0.0272
2019/2020,00635,COUNTY,0.0000
2019/2020,00635,GENERAL,1.0000
2019/2020,00635,METRO WATER DIST,0.0035
2019/2020,00635,UNIFIED SCHOOLS,0.1255
2019/2020,06350,CITY-BELL GARDEN,0.0000
2019/2020,06350,COMMNTY COLLEGE,0.0272
2019/2020,06350,COUNTY,0.0000
2019/2020,06350,GENERAL,1.0000
2019/2020,06350,METRO WATER DIST,0.0035
2019/2020,06350,UNIFIED SCHOOLS,0.0931
2019/2020,06351,CITY-BELL GARDEN,0.0000
2019/2020,06351,COMMNTY COLLEGE,0.0272
2019/2020,06351,COUNTY,0.0000
2019/2020,06351,GENERAL,1.0000
2019/2020,06351,METRO WATER DIST,0.0035
2019/2020,06351,UNIFIED SCHOOLS,0.0931
2019/2020,06352,CITY-BELL GARDEN,0.0000
2019/2020,06352,COMMNTY COLLEGE,0.0272
2019/2020,06352,COUNTY,0.0000
2019/2020,06352,GENERAL,1.0000
2019/2020,06352,METRO WATER DIST,0.0035
2019/2020,06352,UNIFIED SCHOOLS,0.0931
2019/2020,06353,CITY-BELL GARDEN,0.0000
2019/2020,06353,COMMNTY COLLEGE,0.0272
2019/2020,06353,COUNTY,0.0000
2019/2020,06353,GENERAL,1.0000
2019/2020,06353,METRO WATER DIST,0.0035
2019/2020,06353,UNIFIED SCHOOLS,0.0931
2019/2020,06354,CITY-BELL GARDEN,0.0000
2019/2020,06354,COMMNTY COLLEGE,0.0272
2019/2020,06354,COUNTY,0.0000
2019/2020,06354,GENERAL,1.0000
2019/2020,06354,METRO WATER DIST,0.0035
2019/2020,06354,UNIFIED SCHOOLS,0.0931
2019/2020,06355,CITY-BELL GARDEN,0.0000
2019/2020,06355,COMMNTY COLLEGE,0.0272
2019/2020,06355,COUNTY,0.0000
2019/2020,06355,GENERAL,1.0000
2019/2020,06355,METRO WATER DIST,0.0035
2019/2020,06355,UNIFIED SCHOOLS,0.0931
2019/2020,06356,CITY MONTEREY PK,0.0912
2019/2020,06356,COMMNTY COLLEGE,0.0272
2019/2020,06356,COUNTY,0.0000
2019/2020,06356,GENERAL,1.0000
2019/2020,06356,MUNICIPAL WATER,0.0300
2019/2020,06356,UNIFIED SCHOOLS,0.0931
2019/2020,06357,CITY-MONTEBELLO,0.1979
2019/2020,06357,COMMNTY COLLEGE,0.0272
2019/2020,06357,COUNTY,0.0000
2019/2020,06357,GENERAL,1.0000
2019/2020,06357,METRO WATER DIST,0.0035
2019/2020,06357,UNIFIED SCHOOLS,0.0931
2019/2020,06358,CITY-MONTEREY PK,0.0912
2019/2020,06358,COMMNTY COLLEGE,0.0272
2019/2020,06358,COUNTY,0.0000
2019/2020,06358,GENERAL,1.0000
2019/2020,06358,MUNICIPAL WATER,0.0300
2019/2020,06358,UNIFIED SCHOOLS,0.0931
2019/2020,06359,CITY MONTEREY PK,0.0912
2019/2020,06359,COMMNTY COLLEGE,0.0272
2019/2020,06359,COUNTY,0.0000
2019/2020,06359,GENERAL,1.0000
2019/2020,06359,METRO WATER DIST,0.0035
2019/2020,06359,UNIFIED SCHOOLS,0.0931
2019/2020,00636,CITY-CUDAHY CITY,0.0000
2019/2020,00636,COMMNTY COLLEGE,0.0272
2019/2020,00636,COUNTY,0.0000
2019/2020,00636,GENERAL,1.0000
2019/2020,00636,METRO WATER DIST,0.0035
2019/2020,00636,UNIFIED SCHOOLS,0.1255
2019/2020,06360,CITY-MONTEBELLO,0.1979
2019/2020,06360,COMMNTY COLLEGE,0.0272
2019/2020,06360,COUNTY,0.0000
2019/2020,06360,GENERAL,1.0000
2019/2020,06360,METRO WATER DIST,0.0035
2019/2020,06360,UNIFIED SCHOOLS,0.0931
2019/2020,06361,CITY-MONTEREY PK,0.0912
2019/2020,06486,COUNTY,0.0000
2019/2020,06486,GENERAL,1.0000
2019/2020,06486,METRO WATER DIST,0.0035
2019/2020,06486,UNIFIED SCHOOLS,0.0931
2019/2020,06487,CITY-BELL GARDEN,0.0000
2019/2020,06487,COMMNTY COLLEGE,0.0272
2019/2020,06487,COUNTY,0.0000
2019/2020,06487,GENERAL,1.0000
2019/2020,06487,METRO WATER DIST,0.0035
2019/2020,06487,UNIFIED SCHOOLS,0.0931
2019/2020,06488,CITY-BELL GARDEN,0.0000
2019/2020,06488,COMMNTY COLLEGE,0.0272
2019/2020,06488,COUNTY,0.0000
2019/2020,06488,GENERAL,1.0000
2019/2020,06488,METRO WATER DIST,0.0035
2019/2020,06488,UNIFIED SCHOOLS,0.0931
