Notice Date,"Effective
Date","Received
Date",Company,City,"No. Of
Employees",Layoff/Closure
04/07/2016,06/13/2016,04/07/2016,Chevron,Bakersfield,98,Layoff Permanent
04/07/2016,04/30/2016,04/08/2016,PULAU Corporation,Fort Irwin,91,Layoff Permanent
04/08/2016,06/19/2016,04/11/2016,"Kohl's Department Stores, Inc.",Cypress,89,Closure Permanent
04/08/2016,06/19/2016,04/11/2016,"Kohl's Department Stores, Inc.",Rancho Cordova,91,Closure Permanent
04/08/2016,06/19/2016,04/11/2016,"Kohl's Department Stores, Inc.",San Diego,81,Closure Permanent
04/08/2016,06/19/2016,04/11/2016,"Kohl's Department Stores, Inc.",San Jose,91,Closure Permanent
04/08/2016,06/19/2016,04/11/2016,"Kohl's Department Stores, Inc.",Santa Ana,92,Closure Permanent
04/08/2016,06/19/2016,04/11/2016,"Kohl's Department Stores, Inc.",Upland,79,Closure Permanent
04/08/2016,06/19/2016,04/12/2016,"Kohl's Department Stores, Inc.",Ladera Ranch,75,Closure Permanent
04/08/2016,06/19/2016,04/12/2016,"Kohl's Department Stores, Inc.",San Gabriel,83,Closure Permanent
04/08/2016,06/19/2016,04/12/2016,"Kohl's Department Stores, Inc.",West Hills,99,Closure Permanent
04/13/2016,06/13/2016,04/13/2016,Kubota Tractor Corporation,Torrance,72,Closure Permanent
04/13/2016,06/30/2016,04/14/2016,"Sage Software, Inc.",Irvine,26,Layoff Permanent
04/14/2016,06/16/2016,04/14/2016,Sonora Packing Company,Gonzales,176,Closure Permanent
03/31/2016,05/31/2016,04/15/2016,"Toshiba Logistics America, Inc.",Irvine,4,Layoff Permanent
04/14/2016,06/17/2016,04/15/2016,"Western Digital Technology, Inc.",San Jose,71,Layoff Permanent
04/15/2016,06/14/2016,04/15/2016,Sport Chalet LLC,La Canada,37,Closure Permanent
04/15/2016,06/14/2016,04/15/2016,Sport Chalet LLC,La Canada,66,Closure Permanent
04/15/2016,06/14/2016,04/15/2016,Sport Chalet LLC,Ontario,82,Closure Permanent
04/15/2016,06/14/2016,04/15/2016,Sport Chalet LLC,Palmdale,59,Closure Permanent
04/15/2016,06/14/2016,04/15/2016,Sport Chalet LLC,San Diego,67,Closure Permanent
04/15/2016,06/14/2016,04/15/2016,Sport Chalet LLC,West Hills,56,Closure Permanent
04/15/2016,06/15/2016,04/15/2016,"Terex USA, LLC",Stockton,51,Layoff Permanent
04/14/2016,06/30/2016,04/18/2016,First Student,Santa Rosa,131,Closure Permanent
04/14/2016,06/30/2016,04/18/2016,First Student,Yucca Valley,71,Closure Permanent
04/15/2016,06/19/2016,04/18/2016,Burke Williams Day Spa,Los Angeles,101,Closure Temporary
04/14/2016,06/30/2016,04/19/2016,First Student,Santa Rosa,5,Closure Permanent
04/14/2016,06/30/2016,04/19/2016,First Student,Yucca Valley,5,Closure Permanent
04/15/2016,06/18/2016,04/21/2016,Southern California Edison Company,Rosemead,43,Layoff Permanent
04/18/2016,06/15/2016,04/21/2016,Veritas Technologies LLC,Mountain View,6,Layoff Permanent
04/18/2016,06/20/2016,04/22/2016,Normandie Casino,Gardena,380,Closure Permanent
04/22/2016,06/21/2016,04/22/2016,MSE Technologies LLC,Van Nuys,205,Layoff Permanent
04/25/2016,05/31/2016,04/25/2016,Intel Corporation,Folsom,269,Layoff Permanent
04/25/2016,05/31/2016,04/25/2016,Intel Corporation,Santa Clara,296,Layoff Permanent
04/20/2016,06/22/2016,04/26/2016,World Service West,Los Angeles,137,Closure Permanent
04/25/2016,06/30/2016,04/26/2016,"Solera Holdings, Inc.",San Diego,83,Closure Permanent
04/22/2016,06/24/2016,04/27/2016,Boeing Company,El Segundo,36,Layoff Unknown at this time
04/22/2016,06/24/2016,04/27/2016,Boeing Company,Huntington Beach,36,Layoff Unknown at this time
04/27/2016,06/30/2016,04/27/2016,Diversified Transportation,South Lake Tahoe,65,Closure Permanent
04/27/2016,07/01/2016,04/28/2016,"Andromeda Entertainment Enterprises,",Los Angeles,96,Closure Permanent
04/28/2016,06/29/2016,04/28/2016,Quantum Fuel Systems Technologies,Lake Forest,110,Closure Permanent
04/28/2016,06/30/2016,04/28/2016,"Xerox Business Services, LLC",Riverside,55,Layoff Permanent
04/25/2016,06/19/2016,04/29/2016,Bank of America,Simi Valley,40,Layoff Permanent
04/25/2016,06/19/2016,04/29/2016,Bank of America,Simi Valley,50,Layoff Permanent
04/26/2016,04/27/2016,04/29/2016,"Cisco Systems, Inc.",San Jose,83,Layoff Permanent
04/27/2016,06/30/2016,04/29/2016,"Sempermed USA, Inc.",Ontario,2,Closure Permanent
04/28/2016,05/27/2016,04/29/2016,"ecoATM, Inc.",San Diego,107,Layoff Permanent
04/29/2016,07/01/2016,04/29/2016,Freeport-McMoRan Oil & Gas LLC,Orcutt,9,Layoff Permanent
04/29/2016,07/01/2016,04/29/2016,Nortek Security & Control LLC,Eastvale,25,Closure Permanent
04/25/2016,06/22/2016,05/02/2016,"Zodiac Seat Shells U.S., LLC",Santa Maria,168,Layoff Permanent
04/28/2016,07/01/2016,05/02/2016,Ralphs Grocery Company,Indian Wells,63,Closure Unknown at this time
04/29/2016,07/01/2016,05/02/2016,Boeing Company,El Segundo,2,Layoff Unknown at this time
05/01/2016,06/30/2016,05/02/2016,Aramark Sports and Entertainment,Palm Springs,68,Closure Permanent
05/02/2016,07/01/2016,05/03/2016,"Versi-Staff Solutions, Inc.",North Hollywood,150,Layoff Permanent
05/03/2016,07/05/2016,05/04/2016,Prosper Marketplace Inc.,San Francisco,65,Layoff Permanent
05/04/2016,07/08/2016,05/04/2016,"Actavis, Inc.",Corona,19,Layoff Permanent
02/25/2016,05/29/2016,05/05/2016,Kmart,Los Angeles,132,Closure Permanent
05/02/2016,07/01/2016,05/05/2016,Maggiano's Little Italy,Sacramento,103,Closure Permanent
05/02/2016,07/08/2016,05/05/2016,Ardea Biosciences,San Diego,141,Layoff Permanent
05/04/2016,06/17/2016,05/05/2016,"Western Digital Technology, Inc.",Irvine,81,Layoff Permanent
05/04/2016,06/17/2016,05/05/2016,"Western Digital Technology, Inc.",Santa Ana,18,Layoff Permanent
03/04/2016,05/01/2016,05/06/2016,Visiting Nurse Association of the Inland,Redlands,8,Layoff Permanent
03/04/2016,05/01/2016,05/06/2016,Visiting Nurse Association of the Inland,Riverside,8,Layoff Permanent
05/04/2016,07/03/2016,05/06/2016,"Western Digital Technology, Inc.",Fremont,105,Layoff Permanent
05/06/2016,07/08/2016,05/06/2016,Pactiv LLC,Vernon,108,Closure Permanent
04/29/2016,06/10/2016,05/09/2016,Symantec Corporation,Mountain View,15,Layoff Permanent
04/29/2016,06/30/2016,05/09/2016,First Student,Yucca Valley,5,Closure Permanent
04/29/2016,06/30/2016,05/09/2016,The Declan Suites San Diego,San Diego,65,Layoff Permanent
05/05/2016,05/02/2016,05/09/2016,Homemade Real Foods,Vernon,316,Layoff Permanent
05/05/2016,07/07/2016,05/09/2016,"Roof Diagnostics Solar and Electric, LLC",San Francisco,48,Layoff Permanent
05/06/2016,07/06/2016,05/09/2016,Brake Parts Inc.,Chowchilla,1,Layoff Permanent
05/09/2016,07/10/2016,05/09/2016,Los Angeles Guild LLC,Hawthorne,57,Layoff Permanent
"Summary by
Month",Notices,"Employees
Affected","Permanent
Layoff","Temporary
Layoff","Not Identified
Layoff","Permanent
Closure","Temporary
Closure",Not Identified Closure
July 2015,63,"8,574",23,2,12,25,1,0
August 2015,56,"5,890",26,2,7,20,0,1
September 2015,48,"4,864",25,2,12,7,2,0
October 2015,67,"6,102",36,1,8,17,2,3
November 2015,39,"2,940",12,0,12,10,3,2
December 2015,64,"8,729",20,2,7,31,2,2
January 2016,74,"6,617",22,0,7,42,0,3
February 2016,80,"6,799",46,2,8,22,1,1
March 2016,48,"4,017",25,0,5,16,2,0
April 2016,63,"5,253",21,2,3,35,1,1
May 2016,23,"1,746",16,0,1,5,0,1
Total,625,"61,531",272,13,82,230,14,14
