category,position
firefighter,FIREFIGHTER / PARAME
firefighter,FIREFIGHTER / PARAMEDIC
firefighter,FIREFIGHTER / PARAMEDIC II
other,FIREFIGHTER /EMT (VOLUNTEER)
firefighter,FIREFIGHTER /EMT B
firefighter,FIREFIGHTER + 15% ASSIGNMENT
firefighter,FIREFIGHTER + 5%
firefighter,FIREFIGHTER + 5% ASSIGNMENT
firefighter,FIREFIGHTER + 7.5%
firefighter,FIREFIGHTER +3.75%
firefighter,FIREFIGHTER +5%
firefighter,FIREFIGHTER +7.5%
firefighter,FIREFIGHTER 112
firefighter,FIREFIGHTER 2.5%
firefighter,FIREFIGHTER 24 HOURS
firefighter,FIREFIGHTER 24 HRS
firefighter,FIREFIGHTER 4%
firefighter,FIREFIGHTER 40 HRS
firefighter,FIREFIGHTER 56 HOUR WEEK
firefighter,FIREFIGHTER 56 HR. WEEK
firefighter,FIREFIGHTER 56.3
firefighter,FIREFIGHTER 80 HOURS
firefighter,FIREFIGHTER APPRENTICE
firefighter,FIREFIGHTER BASE
firefighter,FIREFIGHTER BASE ONLY
firefighter,FIREFIGHTER BASE SALARY
firefighter,FIREFIGHTER EMT
firefighter,FIREFIGHTER EMT  I
other,FIREFIGHTER EMT - PART TIME
firefighter,FIREFIGHTER EMT I
firefighter,FIREFIGHTER EMT PT
firefighter,FIREFIGHTER ENGINEER
firefighter,FIREFIGHTER FULL TIME
firefighter,FIREFIGHTER HAZMAT EMT
firefighter,FIREFIGHTER I
firefighter,FIREFIGHTER I 24 HOURS
firefighter,FIREFIGHTER I CAPTAIN VOLUNTEER
firefighter,FIREFIGHTER I/EMT B
firefighter,FIREFIGHTER I/FIREFIGHTER I LATERAL
firefighter,FIREFIGHTER I/MET B
firefighter,FIREFIGHTER I/PARAMEDIC
firefighter,FIREFIGHTER II
firefighter,FIREFIGHTER II 24 HOURS
firefighter,FIREFIGHTER II/FIREFIGHTER II LATERAL
firefighter,FIREFIGHTER III
firefighter,FIREFIGHTER L
firefighter,FIREFIGHTER LATERAL
firefighter,FIREFIGHTER LL
firefighter,FIREFIGHTER LLL
firefighter,FIREFIGHTER MECHANIC
firefighter,FIREFIGHTER MEDIC
firefighter,FIREFIGHTER PAID CALL
firefighter,FIREFIGHTER PARAMEDIC
other,FIREFIGHTER PARAMEDIC - PART TIME
firefighter,FIREFIGHTER PARAMEDIC (56 HOUR)
firefighter,FIREFIGHTER PARAMEDIC 112
firefighter,FIREFIGHTER PARAMEDIC PT
firefighter,FIREFIGHTER PARAMEDIC-12.5 EMT
firefighter,FIREFIGHTER PARAMEDIC/BILINGUAL
other,FIREFIGHTER PART TIME
firefighter,FIREFIGHTER PT
firefighter,FIREFIGHTER RECRUIT
other,FIREFIGHTER RESERVE
firefighter,FIREFIGHTER SEASONAL
other,FIREFIGHTER SEASONAL
firefighter,FIREFIGHTER SEASONAL I
other,FIREFIGHTER SEASONAL I
firefighter,FIREFIGHTER SEASONAL II
other,FIREFIGHTER SEASONAL II
firefighter,FIREFIGHTER SHIFT
firefighter,FIREFIGHTER SHIFT HRS
firefighter,FIREFIGHTER SPECIALIST
firefighter,FIREFIGHTER STAFF
other,FIREFIGHTER TEMP
other,FIREFIGHTER TEMP.
other,FIREFIGHTER TEMPORARY
firefighter,FIREFIGHTER TIER 2
firefighter,FIREFIGHTER TIER 3
firefighter,FIREFIGHTER TIER1
firefighter,FIREFIGHTER TIER2
other,FIREFIGHTER TRAINEE
other,FIREFIGHTER TRAINEE - DAYS
other,FIREFIGHTER TRAINEE (40 HR)
firefighter,FIREFIGHTER W/ PM BONUS
firefighter,FIREFIGHTER- PARAMEDIC
other,FIREFIGHTER- PART TIME
firefighter,FIREFIGHTER-A
firefighter,FIREFIGHTER-BILINGUAL
firefighter,FIREFIGHTER-C
firefighter,FIREFIGHTER-C-A
firefighter,FIREFIGHTER-EMERGENCY MEDICAL TECHNICIAN
firefighter,FIREFIGHTER-EMERGENCY MEDICAL TECHNICIAN A-3
firefighter,FIREFIGHTER-EMERGENCY MEDICAL TECHNICIAN B-6
firefighter,FIREFIGHTER-EMT
firefighter,FIREFIGHTER-EMT A-3
firefighter,FIREFIGHTER-EMT B-6
firefighter,FIREFIGHTER-ENGINEER
firefighter,FIREFIGHTER-ENGINEER-EMERGENCY MEDICAL TECHNICIAN A-6
firefighter,FIREFIGHTER-ENGINEER-EMERGENCY MEDICAL TECHNICIAN B-6
firefighter,FIREFIGHTER-ENGINEER-EMT A-6
firefighter,FIREFIGHTER-ENGINEER-EMT B-6
firefighter,FIREFIGHTER-FOC 4%
firefighter,FIREFIGHTER-FULL TIME
firefighter,FIREFIGHTER-PARAMEDIC
firefighter,FIREFIGHTER-PARAMEDIC A-3
firefighter,FIREFIGHTER-PARAMEDIC A-6
firefighter,FIREFIGHTER-PARAMEDIC B-6
firefighter,FIREFIGHTER-PARAMEDIC RECRUIT
other,FIREFIGHTER-PARAMEDIC TRAINEE
firefighter,FIREFIGHTER-PARAMEDIC/40 HOUR
firefighter,FIREFIGHTER-PARAMEDIC/56 HOUR
other,FIREFIGHTER-PART TIME
other,FIREFIGHTER-PARTIME
firefighter,FIREFIGHTER-RECRUIT
other,FIREFIGHTER-SEASONAL
firefighter,FIREFIGHTER-SHIFT HRS
other,"FIREFIGHTER, P/T"
firefighter,FIREFIGHTER(PT)
firefighter,FIREFIGHTER/ PARAMED
firefighter,FIREFIGHTER/ PARAMEDIC
firefighter,FIREFIGHTER/40
firefighter,FIREFIGHTER/56 HOUR
firefighter,FIREFIGHTER/56.3
firefighter,FIREFIGHTER/AA
firefighter,FIREFIGHTER/BA
firefighter,FIREFIGHTER/BB
firefighter,FIREFIGHTER/BUREAU
firefighter,FIREFIGHTER/BUREAU/INSPECTOR
firefighter,FIREFIGHTER/EMT
other,FIREFIGHTER/EMT (VOLUNTEER)
firefighter,FIREFIGHTER/EMT B
firefighter,FIREFIGHTER/EMT I
firefighter,FIREFIGHTER/ENGINEER
firefighter,FIREFIGHTER/HAZ MAT I
firefighter,FIREFIGHTER/HAZ MAT II
firefighter,FIREFIGHTER/MEDIC (INACTIVE)
firefighter,FIREFIGHTER/MEDIC/HAZMAT I
firefighter,FIREFIGHTER/MEDIC/HAZMAT II
firefighter,FIREFIGHTER/MEDIC/HM I
firefighter,FIREFIGHTER/MEDIC/HM II
firefighter,FIREFIGHTER/MET B
firefighter,FIREFIGHTER/PARA
firefighter,FIREFIGHTER/PARAMED
firefighter,FIREFIGHTER/PARAMEDI
firefighter,FIREFIGHTER/PARAMEDIC
other,FIREFIGHTER/PARAMEDIC (VOLUNTEER)
firefighter,FIREFIGHTER/PARAMEDIC (W/ FLSA)
firefighter,FIREFIGHTER/PARAMEDIC 80
firefighter,FIREFIGHTER/PARAMEDIC COORDINA
firefighter,FIREFIGHTER/PARAMEDIC COORDINATOR
firefighter,FIREFIGHTER/PARAMEDIC I
firefighter,FIREFIGHTER/PARAMEDIC II
firefighter,FIREFIGHTER/PARAMEDIC III
other,FIREFIGHTER/PARAMEDIC TRAINEE
other,FIREFIGHTER/PARAMEDIC VOLUNTEER
firefighter,FIREFIGHTER/PERMIT TECH
other,FIREFIGHTER/TRAINEE
firefighter,FIREFIGHTER+3.75%
firefighter,FIREFIGHTER+5.%
firefighter,FIREFIGHTER+5%
firefighter,FIREFIGHTER+6.25%
firefighter,FIREFIGHTER+7.5%
firefighter,FIREFIGHTER+8.75%
firefighter,FIREFIGHTR/PARAMEDIC
firefighter,FIREMAN/PARAMEDIC
other,FISCAL SUPPORT TECHNICIAN
other,FISCAL SYSTEMS SPECIALIST I
other,FISCAL SYSTEMS SPECIALIST L
other,FISCAL TECHNICIAN
other,FISCAL TECHNICIAN I
firefighter,FLIGHT PARAMEDIC
other,FLIGHT PARAMEDIC-PT
other,FORENSIC SPECIALIST NON-SWORN P/T
other,FORESTRY TECHNICIAN
other,FULL TIME TEMPORARY
other,GARAGE ATTENDANT
other,GEOGRAPHIC INFORMATION SPECIALIST
other,GEOGRAPHIC INFORMATION SYSTEMS SUPERVISOR I
other,GIS INTERN
other,GIS MAPPING TECHNICIAN
firefighter,H/FIRE SWORN
firefighter,HARBOR PATROL OFFICER/FIREFIGHTER
other,HAZ MAT TECHNICIAN
other,HAZMAT SPEC TRAINEE
other,HEAVY DUTY EQUIPMENT MECHANIC
other,HOURLY CLERICAL
other,HOURLY TEMPORARY
firefighter,HOURLY/FIRE SWORN
other,HRLY-OFFICE/CLERICAL
other,HUMAN RELATIONS ADVOCATE
other,INDEPENDENT ASSESSOR FIRE COMMISSION
other,INDUSTRIAL HYGIENIST
other,INFO SYS TECHNICIAN I
other,INFO SYS TECHNICIAN II
firefighter,INFORMATION SERVICES ENGINEER - ASSISTANT
firefighter,INFORMATION SERVICES ENGINEER - JOURNEY
other,INFORMATION TECHNOLOGY COMMUNICATION TECHNICIAN III
other,INFORMATION TECHNOLOGY COMMUNICATIONS TECHNICIAN III
other,INFORMATION TECHNOLOGY USER SUPPORT TECHNICIAN II
other,INFORMATION TECHNOLOGY USER SUPPORT TECHNICIAN III
firefighter,INTERIM BATTALION CHIEF OF OPERATIONS
firefighter,INTERIM DEPUTY FIRE CHIEF
firefighter,INTERIM FIRE CAPTAIN
firefighter,INTERIM FIRE CHIEF
firefighter,INTERIM FIRE CHIEF - PT
firefighter,INTERIM FIRE CHIEF (PT)
firefighter,INTERIM FIRE CHIEF(PT)
firefighter,INTERIM FIRE MARSHAL
firefighter,INTERIM FIRE MARSHALL
firefighter,INTERMITTEN FIRE ENGINEER
firefighter,INTERMITTENT FIRE ENGINEER
other,INTERN
other,INTERN FIRE FIGHTER
other,INTERN I
other,INTERN I P/T
other,INTERN II
other,INTERN III
other,INTERN P/T
other,INTERNAL AUDITOR IV
other,INTERNAL AUDITOR LV
firefighter,IS ENGINEER-ASSISTANT
firefighter,IS ENGINEER-JOURNEY
other,JR. ADMINISTRATIVE INTERN
firefighter,LG OPS ASSISTANT CHIEF
firefighter,LG OPS ASSISTANT CHIEF (MEDICARE-EXEMPT)
other,LIBRARY CLERK I PART-TIME
firefighter,"LIEUT,FIRE PREV"
firefighter,LIEUTENANT
firefighter,LIEUTENANT - CAREER
firefighter,LIEUTENANT - VOLUNTEER
firefighter,LIEUTENANT OF FIRE DEPARTMENT
firefighter,"LIEUTENANT, (FIRE DEPARTMENT)"
firefighter,"LIEUTENANT, BUR OF FIRE PREVENTION & PUBLIC SAFETY"
firefighter,"LIEUTENANT, BUREAU OF FIRE PREVENTION AND PUBLIC S"
firefighter,"LIEUTENANT, FIRE DEPARTMENT"
firefighter,"LIEUTENANT, FIRE PREVENTION"
firefighter,"LIEUTENANT, FIRE SUPPRESSION"
firefighter,LIFEGUARD  CAPTAIN + 7.5%
firefighter,LIFEGUARD BATTALION CHIEF
firefighter,LIFEGUARD BATTALION CHIEF (MEDICARE-EXEMPT)
firefighter,LIFEGUARD CAPTAIN
firefighter,LIFEGUARD CAPTAIN (MEDICARE-EXEMPT)
firefighter,LIFEGUARD CAPTAIN BOAT
firefighter,"LIFEGUARD CAPTAIN, BOAT"
firefighter,LIFEGUARD CHIEF
other,LIFEGUARD TRAINEE
firefighter,LIMITED TERM FIREFIGHTER
firefighter,LTD TERM FIREFIGHTER
other,MACHINIST
other,MAINTENANCE LABORER
other,MAINTENANCE TEMP
other,MANAGEMENT AIDE
other,MANAGEMENT ANALYST I
other,MANAGEMENT ANALYST II
other,MANAGEMENT ANALYST L
other,MANAGEMENT ANALYST LL
other,MANAGEMENT ASSISTANT
other,MANAGEMENT INTERN
other,"MANAGEMENT INTERN, PT"
other,MANAGEMENT PROF & TECH ASSISTANT - TEMP
other,MANAGEMENT SECRETARY III
other,MANAGEMENT SECRETARY V
other,MAPPING/GIS TECHNICIAN
firefighter,MARINE ENGINEER OF FIRE BOATS
firefighter,MARINE SAFETY CAPTAIN
firefighter,MARINE SAFETY CHIEF
firefighter,MARINE SAFETY LIEUTENANT
firefighter,MEASURE M BATTALION CHIEF
firefighter,MEASURE M FIRE CAPTAIN
firefighter,MEASURE M FIRE FIGHTER
firefighter,MEASURE M FIRE FIGHTER ENGINEER
other,MECHANIC TECHNICIAN
other,MECHANICAL HELPER
other,MEDICAL RECORDS TECHNICIAN
other,MISCELLANEOUS HOURLY - BASIC LIFE SUPPORT - EMERGENCY MEDICAL TECHNICIAN
other,MOBILE INTENSIVE CARE UNIT EMERGENCY MEDICAL TECHNICIAN
other,MOTIVE SERVICE TECHNICIAN
other,NETWORK TECHNICIAN II
other,OCEAN RESCUE VOLUNTEER
other,OFFICE ASSISTANT - PART-TIME
other,OFFICE MANAGER - PART TIME
other,"OFFICE MANAGER (TEMP, PT)"
other,OFFICE SERVICES TECHNICIAN
other,OFFICE SPECIALIST II TEMPORARY PART TIME
other,OFFICE TECHNICIAN
other,OFFICE TECHNICIAN III
firefighter,OFIREFIGHTERICE ASSISTANT II
firefighter,OFIREFIGHTERICE TECHNICIAN I
other,ON CALL CLERICAL
firefighter,ON-CALL FIRE FIGHTER
other,ON-CALL SEASONAL FIREFIGHTER
firefighter,OP PARAMEDIC-12.5 EMT
firefighter,OPERATIONS DIVISION CHIEF
firefighter,P.T. FIRE CAPTAIN
other,P/T ADMIN ASSIST
other,P/T ADMIN ASSISTANT
other,P/T ADMIN CLERK
other,P/T FIRE CAPTAIN
other,P/T FIRE ENGINEER I
other,P/T FIRE ENGINEER II
other,P/T FIRE INSPECTOR
other,P/T FIRE MECHANIC
other,P/T GENERAL (EXECUTIVE)
other,P/T GENERAL (PROF./SUPV.)
other,P/T GENERAL (TECHNICIAN)
firefighter,PAID CALL FIRE CAPTAIN
other,PAID CALL FIRE CAPTAIN (PT)
firefighter,PAID CALL FIRE ENGINEER
firefighter,PAID CALL FIRE FIGHTER
firefighter,PAID CALL FIRE PARAMEDIC
firefighter,PAID CALL FIREFIGHTER
firefighter,PAID CALL FIREFIGHTER (PT)
other,PAID CALL RESERVE FIREFIGHTER
other,PAID CALL VOLUNTEER FIREFIGHTER
firefighter,PAID-CALL BATTALION CHIEF
firefighter,PAID-CALL FIREFIGHTER
firefighter,PAID/CALL FIREFIGHTER
firefighter,PARAMED/FIREFIGHTER
firefighter,PARAMEDIC
firefighter,PARAMEDIC (NON-SAFETY)
firefighter,PARAMEDIC ASSIGNMENT
firefighter,PARAMEDIC COORDINATOR
other,PARAMEDIC COORDINATOR
firefighter,PARAMEDIC FIREFIGHTER
firefighter,PARAMEDIC II
firefighter,PARAMEDIC SUPERVISOR I
firefighter,PARAMEDIC/ENGINEER
firefighter,PARAMEDIC/ENGINEER  1/2 YR-VACANT
firefighter,PARAMEDIC/ENGINEER 1/2 YR -VACANT
firefighter,PARAMEDIC/FF
firefighter,PARAMEDIC/FIRE FIGHTER
firefighter,PARAMEDIC/FIREFIGHTER
firefighter,PARAMEDIC/FIREFIGHTER 5%
other,PARAPROFESSIONAL TEMP
other,PART TIME (80018)
other,PART TIME (FIRE RESERVE)
other,PART TIME ADMINISTRATIVE ASSISTANT
other,PART TIME ADMINISTRATIVE CLERK
other,PART TIME COURT SECTY
other,PART TIME EMERGENCY MED SERVICE QI NURSE
other,PART TIME EMERGENCY MEDICAL TECHNICIAN
other,PART TIME EMPLOYEE
other,PART TIME EMS QI NURSE
other,PART TIME EMT
other,PART TIME EQUIPMENT MECHANIC
other,PART TIME FIRE BATTALION CHIEF
other,PART TIME FIRE CLERK
other,PART TIME FIRE INSPECTOR
other,PART TIME FIRE PREVENTION ASSISTANT
other,PART TIME FIRE PREVENTION OFFICER
other,PART TIME FIRE PREVENTION TECH
other,PART TIME FIRE PREVENTION TECHNICIAN
other,PART TIME FIREFIGHTER
other,PART TIME MANAGEMENT AIDE
other,PART TIME MANAGEMENT ANALYST I
other,PART TIME MISC
other,PART TIME OFFICE SPECIALIST I
other,PART TIME SECRETARY
other,PART TIME TEMPORARY
other,PART TIME WORKER 30-501.5030
other,PART TIME WORKER 501.5030
other,PART TIME WORKER 5030
other,"PART TIME, MAIL CLERK"
other,PART-TIME
other,PART-TIME ADMINISTRATIVE CLERK
other,PART-TIME ADMINISTRATIVE CLERK II
other,PART-TIME ADMINISTRATIVE FIRE CAPTAIN
other,PART-TIME ADMINISTRATIVE OFFICER
other,PART-TIME APPRENTICE FIREFIGHTER
other,PART-TIME CLERICAL
other,PART-TIME CLERK
other,PART-TIME DEPUTY EMERGENCY OPERATIONS CHIEF
other,PART-TIME EMT
other,PART-TIME FIRE
other,PART-TIME FIRE CAPTAIN
other,PART-TIME FIRE CHIEF
other,PART-TIME FIRE INSPECTOR
other,PART-TIME FIRE PREVENTION OFFICER
other,PART-TIME FIREFIGHTER
other,PART-TIME HELP
other,PART-TIME HELP SEASONAL
other,PART-TIME LEVEL 14 PARS
other,PART-TIME LEVEL 16 PARS
other,PART-TIME LEVEL 17 PARS
other,PART-TIME LEVEL 17 PUBLIC AGENCY RETIREMENT SERVICES
other,PART-TIME LEVEL 18 PARS
other,PART-TIME LEVEL 18 PERS
other,PART-TIME LEVEL 18 PUBLIC AGENCY RETIREMENT SERVICES
other,PART-TIME LEVEL 18 PUBLIC EMPLOYEES' RETIREMENT SYSTEM
other,PART-TIME LEVEL 2 PARS
other,PART-TIME LEVEL 2 PUBLIC AGENCY RETIREMENT SERVICES
other,PART-TIME LEVEL 21 PARS
other,PART-TIME LEVEL 22 PERS
other,PART-TIME LEVEL 22 PUBLIC AGENCY RETIREMENT SERVICES
other,PART-TIME LEVEL 22 PUBLIC EMPLOYEES' RETIREMENT SYSTEM
other,PART-TIME LEVEL 23 PARS
other,PART-TIME LEVEL 23 PUBLIC AGENCY RETIREMENT SERVICES
other,PART-TIME MEDIC
other,PART-TIME RECREATIONAL
other,PART-TIME SECRETARY
other,PART-TIME WORKER 01
other,PART-TIME WORKER 01-501
other,PART-TIME WORKER 04-501
other,PART-TIME WORKER 20
other,PART-TIME WORKER 20-501
other,PART-TIME WORKER 23-501.5030
other,PART-TIME WORKER 30
other,PART-TIME WORKER 30-501.5030
other,PART-TIME WORKER 30-5030
other,PART-TIME WORKER 501.5030
other,PART-TIME WORKER 5030
other,PARTTIME CLERK-AMB
firefighter,PATROL FIRE FIGHTER NC
firefighter,"PATROL FIRE FIGHTER,NC"
other,PAYROLL SUPERVISOR I
other,PAYROLL SUPERVISOR II
other,PAYROLL SUPERVISOR IL
firefighter,PER DIEM FIREFIGHTER
other,PERMIT TECHNICIAN
other,PERMIT TECHNICIAN II
other,PERSONNEL ANALYST II
other,PERSONNEL ANALYST LL
other,PERSONNEL DIRECTOR II
other,PERSONNEL DIRECTOR LL
other,PERSONNEL RECORDS SUPERVISOR
other,PERSONNEL TECHNICIAN
other,PHOTOGRAPHER II
other,PHOTOGRAPHER LL
other,PHYSICIAN II
firefighter,PLAN CHECK ENGINEER
firefighter,POINT PAY FIRE FIGHTER
firefighter,POINT PAY FIREFIGHTER
other,POLICE RESERVE
other,PRESERVATION SERVICES TECHNICIAN
other,PRINCIPAL ACCOUNTANT
other,PRINCIPAL ACCOUNTANT I
other,PRINCIPAL ACCOUNTANT II
other,PRINCIPAL ACCOUNTANT L
other,PRINCIPAL ACCOUNTANT LL
other,PRINCIPAL CLERK
firefighter,PRINCIPAL ENGINEER
firefighter,PRINCIPAL SYSTEMS ENGINEER
firefighter,PROBATION FIREFIGHTER MEDIC
firefighter,PROBATIONARY FIREFIGHTER/PARAMEDIC
other,PROFESSIONAL & TECHNICAL ASSISTANT - TEMP
other,PROFESSIONAL INTERN
other,PROFESSIONAL TEMP
firefighter,PROGRAM/BUS LDR-DIV CHIEF
firefighter,PROGRAM/BUSINESS LEADER-DIVISION CHIEF
other,PROGRAMMER/ANALYST III
law-enforcement,PROGRAMMER/ANALYST LLL
other,PROGRAMMER/ANALYST V
firefighter,PROVISIONAL FIREFIGHTER/PARAMEDIC
firefighter,PT ANIMAL CONTROL OFIREFIGHTERICER
firefighter,PT BACKFILL FIREFIGHTER
firefighter,PT BAILIFIREFIGHTER
firefighter,PT OFIREFIGHTERICE TECHNICIAN
other,PT SECRETARY
firefighter,PT SHERIFIREFIGHTER DEPUTY
firefighter,PT SHERIFIREFIGHTER SERGEANT
other,PT VOL FIRE MEMBERSHIP COOR
other,PT VOL FIRE MEMBERSHIP COORD
other,PT VOL FIRE MEMBERSHIP COORDINATOR
other,PT VOLUNTEER FIRE MEMBERSHIP COORD
firefighter,PT-ADMIN. BATTALION CHIEF
firefighter,PT-ADMIN. FIRE CAPTAIN
firefighter,PT-APPRENTICE FIREFIGHTER
firefighter,PT-DEPUTY EMERGENCY OPER CHIEF
firefighter,PT.-ADMIN. BATTALION CHIEF
firefighter,PT.-ADMIN. FIRE CAPTAIN
firefighter,PT.-APPRENTICE FIREFIGHTER
firefighter,PT.-DEPUTY EMERGENCY OPERATOR CHIEF
other,PUBLIC SAFETY RADIO DISPATCHER TRAINEE
other,PUBLIC SFTY RADIO DISP TRAINEE
other,RECEPTIONIST/OFFICE SPECIALIST (P/T)
other,RECEPTIONIST/OFFICE SPECIALIST PART TIME
other,RECORDS TECHNICIAN III
firefighter,RECRUIT FIREFIGHTER-PARAMEDIC
other,REGIONAL FIRE COMM P/T
other,REGIONAL FIRE COMMUNICATION P/T
other,REGIONAL FIRE COMMUNITY P/T
other,REGIONAL FIRE TRAINING OFF RELIEF
firefighter,REGIONAL TRAINING CAPTAIN
other,REGULAR TEMPORARY
other,RELIEF FIRE COMM OPER II
other,RELIEF FIREFIGHTER
other,RELIEF FIREFIGHTER - HOURLY
other,RELIEF FIREFIGHTER (HRLY - U)
other,RELIEF RETIREMENT WORKER
other,RELIEF SPECIALIST
firefighter,RESCUE BOAT CAPTAIN
other,RESCUE BOAT CAPTAIN
other,RESERVE
other,RESERVE ASSIST. CAPTAIN
other,RESERVE CAPTAIN
other,RESERVE CODE ENFORCEMENT OFFICER
other,RESERVE COMMAND CHIEF
other,RESERVE DIVISION CHIEF
other,RESERVE EMT/FIREFIGHTER
other,RESERVE ENGINEER
other,RESERVE ENGINEER I
other,RESERVE ENGINEER II
other,RESERVE ENGINEER W EMT
other,RESERVE FF/EMT
other,RESERVE FIRE FIGHTER
other,RESERVE FIRE FIGHTER I
other,RESERVE FIRE FIGHTER II
other,RESERVE FIREFIGHTER
other,RESERVE FIREFIGHTER / FT FF
other,RESERVE FIREFIGHTER I
other,RESERVE FIREFIGHTER II
other,RESERVE FIREFIGHTER LIEUTENANT
other,RESERVE FIREFIGHTER-LIEUTENANT
other,RESERVE FIREFIGHTER/PARA
other,RESERVE OFFICE AID
other,RESERVE OFFICE AID-PT
other,RESERVE OFFICER
other,RESERVE POLICE OFFICER
other,RESERVE VOLUNTEER FIRE
firefighter,RESERVICE FIREFIGHTER
other,RESIDENT FIREFIGHTER TRAINEE
firefighter,RETIRED: FIREFIGHTER/ ENGINEER
other,REVENUE AND RECOVERY TECHNICIAN II
other,RISK MANAGEMENT AND PREVENTION PROGRAM SPECIALIST
other,SAFETY DISPATCHER P/T
other,SEASONAL FIRE
other,SEASONAL FIRE FIGHTER
other,SEASONAL FIRE SUPERVISOR
other,SEASONAL FIRE WORKER
other,SEASONAL FIREFIGHTER
other,SEASONAL FIREFIGHTER I
other,SEASONAL FIREFIGHTER II
other,SEASONAL FIREFIGHTER III
other,SECRETARY
other,SECRETARY - CLERK
other,SECRETARY - EXTRA HELP
other,SECRETARY (PERM P/T)
other,SECRETARY 2
other,SECRETARY CONFIDENTIAL
other,SECRETARY I
other,SECRETARY II
other,SECRETARY III
other,SECRETARY P/T
other,SECRETARY PT
other,SECRETARY SAF SUPP
other,SECRETARY SAF SUPPORT
other,SECRETARY SAFETY SUPP
other,SECRETARY TO THE BOARD
other,SECRETARY TO THE FIRE CHIEF
other,SECRETARY-ADVANCED LEVEL
other,SECRETARY/FIRE
firefighter,"SECTION CHIEF, LIFEGUARD SERVICES, FIRE"
other,"SECTION CHIEF, LIFEGUARD SERVICES, FIRE"
firefighter,"SECTION CHIEF,LIFEGUARD SERVS,FIRE"
other,SELF CONTAINED BREATHING APPARATUS TECHNICIAN
other,SENIOR ACCOUNTANT
other,SENIOR ACCOUNTANT I
other,SENIOR ACCOUNTANT II
other,SENIOR ACCOUNTANT LL
other,SENIOR ADMINISTRATIVE INTERN
other,SENIOR ADMINISTRATIVE SECRETARY
other,SENIOR ADMINISTRATIVE TECHNICIAN
other,SENIOR AUDITOR
other,SENIOR AUTOMOTIVE SUPERVISOR
other,SENIOR CARPENTER
other,SENIOR CIVIL ENGINEER
other,SENIOR CIVIL ENGINEER-FIRE HOURLY
other,SENIOR CLERICAL AIDE
other,SENIOR CLERK TYPIST
other,SENIOR CODE COMPLIANCE TECHNICIAN
other,SENIOR DEPARTMENT ACCOUNTING/BUDGET TECHNICIAN
firefighter,SENIOR DEPUTY FIRE CHIEF
firefighter,SENIOR DEPUTY FIRE MARSHAL
other,SENIOR ELECTRONICS/COMMUNICATIONS TECHNICIAN
firefighter,SENIOR ENGINEER
other,SENIOR EQUIPMENT MECHANIC V
firefighter,SENIOR FIRE CAPTAIN
other,SENIOR GARAGE ATTENDANT
other,SENIOR MANAGEMENT ANALYST I
other,SENIOR MANAGEMENT ANALYST II
other,SENIOR MANAGEMENT ANALYST L
other,SENIOR MANAGEMENT ANALYST LL
other,SENIOR MANAGEMENT SECRETARY III
other,SENIOR PERMIT TECHNICIAN
other,SENIOR PERSONNEL ANALYST I
other,SENIOR PERSONNEL ANALYST II
other,SENIOR PERSONNEL ANALYST LL
other,SENIOR PROJECT COORDINATOR
firefighter,SENIOR RESCUE BOAT CAPTAIN
other,SENIOR SECRETARY
other,SENIOR SECRETARY II
other,SENIOR SECRETARY III
other,SENIOR SURVEY-MAPPING TECHNICIAN
other,SENIOR SYSTEMS ANALYST I
other,SENIOR SYSTEMS ANALYST II
other,SENIOR SYSTEMS ANALYST L
other,SENIOR SYSTEMS ANALYST LL
firefighter,SENIOR SYSTEMS ENGINEER
firefighter,SENR ENGINEER
other,SHEET METAL WORKER
firefighter,SHERIFIREFIGHTER ADMINISTRATIVE ASSIST.
firefighter,SHERIFIREFIGHTER BAILIFIREFIGHTER
firefighter,SHERIFIREFIGHTER CAPTAIN
firefighter,SHERIFIREFIGHTER DEPUTY
firefighter,SHERIFIREFIGHTER DISPATCHER
firefighter,SHERIFIREFIGHTER EVIDENCE TECHNICIAN
firefighter,SHERIFIREFIGHTER SERGEANT
firefighter,SHERIFIREFIGHTER/CORONER
firefighter,SPECIAL ASSISTANT TO FIRE CHIEF
other,SPECIAL INVESTIGATOR II
other,SPECIAL PROJECT COORDINATOR (PART-TIME)
other,SPECIAL PROJECT COORDINATOR PART-TIME
other,SR ADMINISTRATIVE SECRETARY
firefighter,SR DEPUTY FIRE MARSHALL
other,SR. CODE COMPLIANCE TECHNICIAN
firefighter,STAFF FIRE CAPTAIN
firefighter,STAFF FIRE CAPTAIN          (40 HR)
firefighter,STATIONARY ENGINEER
other,STOREKEEPER II
other,STOREKEEPER LL
firefighter,STUDENT FIREFIGHTER/PARAMEDIC
other,STUDENT INTERN
other,STUDENT INTERN I  PER DIEM
other,STUDENT INTERN II PER DIEM
other,STUDENT INTERN U PT
other,STUDENT INTERN-COLLEGE PART-TIME
other,STUDENT PROFESSIONAL WORKER
other,"STUDENT TRAINEE, PT"
other,STUDENT WORKER
firefighter,SUBJ SPEC II/DEP FIRE MARSHAL
firefighter,SUBJ SPEC II/TRAINING CAPTAIN
firefighter,SUPERVISING CADASTRAL ENGINEER I
firefighter,SUPERVISING FIRE PREVENTION ENGINEERING ASSISTANT
other,SUPERVISING FIRE PREVENTION TECHNICIAN
other,SUPPORT SERVICES AIDE P/T
other,SUPPORT SERVICES AIDE PART-TIME
firefighter,SUPVG FIRE PREVENTION ENGINEERING ASSISTANT
