agency,amount,state,origin,house_requestor,house_requestor2,house_requestor3,senate_requestor,senate_requestor2,senate_requestor2,senate_requestor4
Department of Health & Human Services,200000,GA,H/S,Williams ,,,Ossoff, Warnock,,
Department of Housing and Urban Development,1000000,,H,McBath," Scott, David",,Ossoff,,,
Department of Transportation,2500000,,H/S,"Scott, David",,,Ossoff, Warnock,,
Department of Labor,720000,,H/S,Bourdeaux,,,Ossoff, Warnock,,
Department of Transportation,8000000,,S,,,,Ossoff,,,
Department of Transportation,993000,,S,,,,Ossoff,,,
Department of Transportation,3850000,,S,,,,Ossoff,,,
Rural Development,299000,,S,,,,Ossoff,,,
Army,5000000,,S,,,,Ossoff, Warnock,,
Department of Transportation,5000000,,S,,,,Ossoff, Warnock,,
Environmental Protection Agency,6300000,,S,,,,Ossoff, Warnock,,
Air Force,12500000,,S,,,,Ossoff, Warnock,,
Department of Health & Human Services,3512000,,S,,,,Ossoff,,,
Department of Health & Human Services,430000,,S,,,,Ossoff,,,
Department of Health & Human Services,500000,,S,,,,Ossoff,,,
Department of Health & Human Services,1154000,,S,,,,Ossoff,,,
Department of Education,1000000,,S,,,,Ossoff,,,
Department of Education,2500000,,S,,,,Ossoff,,,
Department of Health & Human Services,399000,,S,,,,Ossoff, Warnock,,
Department of Education,636000,,S,,,,Ossoff, Warnock,,
DOJ,1800000,CA,H,Thompson ,,,Padilla,,,
Forest Service,500000,CA,H,Kim ,,,Padilla,,,
Department of Transportation,1120000,CA,H,Garcia ,,,Padilla,,,
Department of Transportation,1500000,CA,H,Garcia ,,,Padilla,,,
Department of Transportation,2200000,CA,H,Kim ,,,Padilla,,,
Department of Transportation,5000000,CA,H,Kim ,,,Padilla,,,
Department of Health & Human Services,1230000,CA,H,Lee ,,,Padilla,,,
Department of Health & Human Services,1600000,CA,H,Thompson ,,,Padilla,,,
Department of Education,500000,CA,H,Kim ,,,Padilla,,,
Department of Transportation,1500000,,H,McNerney,,,Padilla,,,
Department of Housing and Urban Development,1500000,,H,Swalwell,,,Padilla,,,
Department of Housing and Urban Development,700000,,H,DeSaulnier,,,Padilla,,,
Department of Housing and Urban Development,1000000,,H,Bass,,,Padilla,,,
Department of Housing and Urban Development,1300000,,H,Carbajal,,,Padilla,,,
Department of Housing and Urban Development,1000000,,H,Ruiz,,,Padilla,,,
Department of Housing and Urban Development,1500000,,H,McNerney,,,Padilla,,,
Department of Housing and Urban Development,1000000,,H,Lieu,,,Padilla,,,
Department of Housing and Urban Development,2000000,,H,Lieu,,,Padilla,,,
Department of Housing and Urban Development,1000000,,H,LaMalfa,,,Padilla,,,
Department of Housing and Urban Development,1500000,,H,Napolitano,,,Padilla,,,
Department of Housing and Urban Development,1500000,,H,Napolitano,,,Padilla,,,
Department of Housing and Urban Development,300000,,H,McNerney,,,Padilla,,,
DOJ,5600000,,H,Carbajal,,,Padilla,,,
DOJ,4800000,,H,LaMalfa,,,Padilla,,,
DOJ,950000,,H,Brownley,,,Padilla,,,
Forest Service,225000,,H,Schiff,,,Padilla,,,
Department of Transportation,350000,,H,DeSaulnier,,,Padilla,,,
Environmental Protection Agency,375000,,H,Carbajal,,,Padilla,,,
Department of Transportation,700000,,H,Huffman,,,Padilla,,,
Environmental Protection Agency,938000,,H,Waters,,,Padilla,,,
Department of Transportation,1000000,,H,Aguilar,,,Padilla,,,
Environmental Protection Agency,1500000,,H,Matsui,,,Padilla,,,
Environmental Protection Agency,1500000,,H,Brownley,,,Padilla,,,
Department of Transportation,1500000,,H,Ruiz,,,Padilla,,,
Department of Transportation,2000000,,H,Swalwell,,,Padilla,,,
Department of Transportation,2200000,,H,Matsui,,,Padilla,,,
Environmental Protection Agency,2500000,,H,Sanchez,,,Padilla,,,
Department of Transportation,2725000,,H,Khanna,,,Padilla,,,
Environmental Protection Agency,3500000,,H,Swalwell,,,Padilla,,,
Department of Transportation,5000000,,H,Calvert,,,Padilla,,,
Department of Transportation,5000000,,H,Huffman,,,Padilla,,,
Department of Health & Human Services,1000000,,H,Lieu,,,Padilla,,,
Department of Health & Human Services,1000000,,H,Ruiz,,,Padilla,,,
Department of Health & Human Services,350000,,H,Ruiz,,,Padilla,,,
Department of Health & Human Services,1700000,,H,Matsui,,,Padilla,,,
Department of Health & Human Services,450000,,H,Swalwell,,,Padilla,,,
Department of Education,1000000,,H,Pelosi,,,Padilla,,,
Department of Education,975000,,H,Schiff,,,Padilla,,,
Rural Development,1000000,,H/S,McNerney,,,Padilla,,,
DOC,2000000,,H/S,Huffman,,,Padilla,,,
Department of Health & Human Services,1100000,,H/S,DeSaulnier,,,Padilla,,,
DOC,600000,,S,,,,Padilla,,,
FEMA,500000,,S,,,,Padilla,,,
Department of Transportation,5000000,,S,,,,Padilla,,,
Department of Transportation,5000000,,S,,,,Padilla,,,
Department of Transportation,1000000,,S,,,,Padilla,,,
Department of Housing and Urban Development,1000000,,S,,,,Padilla,,,
Department of Housing and Urban Development,2000000,,S,,,,Padilla,,,
DOJ,350000,,S,,,,Padilla,,,
Department of Transportation,2000000,,S,,,,Padilla,,,
Environmental Protection Agency,2400000,,S,,,,Padilla,,,
Department of Labor,1320000,,S,,,,Padilla,,,
Department of Labor,1500000,,S,,,,Padilla,,,
Department of Health & Human Services,1500000,,S,,,,Padilla,,,
Department of Health & Human Services,734000,,S,,,,Padilla,,,
Department of Education,1000000,,S,,,,Padilla,,,
Rural Development,1200000,,H,Bergman,,,Peters, Stabe- now,,
DOJ,715000,,H/S,Lawrence,,,Peters, Stabenow,,
DOJ,258000,,S,,,,Peters, Stabenow,,
DOJ,180000,,S,,,,Peters, Stabenow,,
DOJ,1503000,,S,,,,Peters, Stabenow,,
Department of Energy,680000,,S,,,,Peters, Stabenow,,
Environmental Protection Agency,4500000,MI,H/S,Levin ,,,Peters,Stabenow,,
Environmental Protection Agency,1000000,,H,McClain,,,Peters, Stabenow,,
Environmental Protection Agency,1000000,,H,McClain,,,Peters,,,
Environmental Protection Agency,1000000,,H,McClain,,,Peters, Stabenow,,
Environmental Protection Agency,3500000,,H,Bergman,,,Peters, Stabenow,,
Department of Transportation,1294000,,H/S,Meijer,,,Peters,,,
Department of Health & Human Services,960000,,H/S,Moolenaar,,,Peters,,,
Department of Health & Human Services,400000,,H/S,Slotkin,,,Peters,,,
DOJ,350000,,S,,,,Peters,,,
Department of Transportation,300000,,S,,,,Peters,,,
Department of Transportation,300000,,S,,,,Peters,,,
Department of Housing and Urban Development,100000,,S,,,,Peters,,,
Department of Housing and Urban Development,750000,,S,,,,Peters,,,
Department of Housing and Urban Development,850000,,S,,,,Peters,,,
Department of Housing and Urban Development,1000000,,S,,,,Peters,,,
Rural Development,1500000,,S,,,,Peters,,,
Rural Development,750000,,S,,,,Peters,,,
DOJ,350000,,S,,,,Peters,,,
DOJ,235000,,S,,,,Peters,,,
Army Corps of Engineers (Civil),100000,,S,,,,Peters, Stabenow,,
Department of Energy,200000,,S,,,,Peters,,,
Department of Energy,350000,,S,,,,Peters,,,
National Archives and Records Administration,135000,,S,,,,Peters, Stabenow,,
Department of Transportation,500000,,S,,,,Peters, Stabenow,,
Department of Transportation,700000,,S,,,,Peters,,,
Environmental Protection Agency,970000,,S,,,,Peters, Stabenow,,
Environmental Protection Agency,1000000,,S,,,,Peters, Stabenow,,
Department of Transportation,1000000,,S,,,,Peters, Stabenow,,
Environmental Protection Agency,2000000,,S,,,,Peters, Stabenow,,
Department of Transportation,8183000,,S,,,,Peters, Stabenow,,
Department of Labor,610000,,S,,,,Peters,,,
Department of Health & Human Services,1000000,,S,,,,Peters,,,
Department of Education,600000,,S,,,,Peters,,,
Department of Health & Human Services,1600000,,S,,,,Peters,,,
Department of Health & Human Services,1500000,,S,,,,Peters,,,
Department of Education,1000000,,S,,,,Peters,,,
Department of Education,1100000,,S,,,,Peters,,,
Department of Education,3000000,,S,,,,Peters,,,
Rural Development,2000000,,H/S,Cicilline,,,Reed, White- house,,
DOJ,1201000,,S,,,,Reed, Whitehouse,,
DOC,1600000,,S,,,,Reed, Whitehouse,,
Department of Energy,2900000,,S,,,,Reed, Whitehouse,,
Department of Housing and Urban Development,295000,,H,Cicilline,,,Reed,,,
Department of Housing and Urban Development,400000,,H,Cicilline,,,Reed,,,
Department of Housing and Urban Development,500000,,H/S,Langevin,,,Reed,,,
DOC,1000000,,H/S,Langevin,,,Reed,,,
Department of Health & Human Services,1000000,,H/S,Langevin,,,Reed,,,
Department of Education,1060000,,H/S,Langevin,,,Reed,,,
Department of Education,500000,,H/S,Langevin,,,Reed,,,
DOJ,150000,,S,,,,Reed,,,
DOJ,120000,,S,,,,Reed,,,
DOC,250000,,S,,,,Reed,,,
DOJ,1375000,,S,,,,Reed,,,
DOJ,140000,,S,,,,Reed,,,
DOJ,900000,,S,,,,Reed,,,
Department of Transportation,2500000,,S,,,,Reed,,,
Department of Transportation,4000000,,S,,,,Reed,,,
Department of Housing and Urban Development,200000,,S,,,,Reed,,,
Department of Housing and Urban Development,1000000,,S,,,,Reed,,,
Department of Housing and Urban Development,1082000,,S,,,,Reed,,,
Department of Housing and Urban Development,2000000,,S,,,,Reed,,,
Department of Housing and Urban Development,3000000,,S,,,,Reed,,,
Department of Housing and Urban Development,5000000,,S,,,,Reed,,,
Rural Development,2000000,,S,,,,Reed,,,
Rural Development,150000,,S,,,,Reed,,,
Natural Resources Conservation Service,290000,,S,,,,Reed,,,
DOC,1000000,,S,,,,Reed,,,
DOC,300000,,S,,,,Reed,,,
Army Corps of Engineers (Civil),50000,,S,,,,Reed,,,
Army Corps of Engineers (Civil),50000,,S,,,,Reed, Whitehouse,,
Army Corps of Engineers (Civil),125000,,S,,,,Reed,,,
Army Corps of Engineers (Civil),225000,,S,,,,Reed,,,
Department of Energy,5000000,,S,,,,Reed,,,
National Park Service,100000,,S,,,,Reed,,,
Small Business Administration,275000,,S,,,,Reed,,,
Environmental Protection Agency,325000,,S,,,,Reed,,,
Environmental Protection Agency,375000,,S,,,,Reed, Whitehouse,,
Small Business Administration,475000,,S,,,,Reed,,,
National Archives and Records Administration,500000,,S,,,,Reed,,,
National Park Service,500000,,S,,,,Reed,,,
Environmental Protection Agency,775000,,S,,,,Reed, Whitehouse,,
Small Business Administration,1000000,,S,,,,Reed,,,
Department of Transportation,1000000,,S,,,,Reed,,,
Environmental Protection Agency,1175000,,S,,,,Reed,,,
Navy,1200000,,S,,,,Reed,,,
Environmental Protection Agency,1350000,,S,,,,Reed, Whitehouse,,
Navy,1400000,,S,,,,Reed,,,
Environmental Protection Agency,1500000,,S,,,,Reed, Whitehouse,,
Navy,1700000,,S,,,,Reed,,,
Department of Transportation,2500000,,S,,,,Reed,,,
Environmental Protection Agency,3200000,,S,,,,Reed, Whitehouse,,
Department of Transportation,3200000,,S,,,,Reed,,,
Environmental Protection Agency,3300000,,S,,,,Reed, Whitehouse,,
Department of Transportation,3400000,,S,,,,Reed,,,
Navy,4000000,,S,,,,Reed,,,
Department of Transportation,5000000,,S,,,,Reed,,,
Department of Transportation,6600000,,S,,,,Reed,,,
Department of Labor,500000,,S,,,,Reed,,,
Department of Labor,230000,,S,,,,Reed,,,
Department of Labor,100000,,S,,,,Reed,,,
Department of Health & Human Services,200000,,S,,,,Reed,,,
Department of Health & Human Services,100000,,S,,,,Reed,,,
Department of Health & Human Services,750000,,S,,,,Reed,,,
Department of Education,100000,,S,,,,Reed,,,
Department of Education,100000,,S,,,,Reed,,,
Department of Education,100000,,S,,,,Reed,,,
Department of Education,100000,,S,,,,Reed,,,
Department of Education,850000,,S,,,,Reed,,,
Department of Education,1200000,,S,,,,Reed,,,
Department of Labor,3000000,,S,,,,Reed,,,
Department of Labor,140000,,S,,,,Reed,,,
Department of Labor,175000,,S,,,,Reed,,,
Department of Labor,3700000,,S,,,,Reed,,,
Department of Labor,1250000,,S,,,,Reed,,,
Department of Health & Human Services,750000,,S,,,,Reed,,,
Department of Health & Human Services,300000,,S,,,,Reed,,,
Department of Health & Human Services,1498000,,S,,,,Reed,,,
Department of Health & Human Services,300000,,S,,,,Reed,,,
Department of Housing and Urban Development,2406000,,S,,,,Rounds,,,
Army Corps of Engineers (Civil),200000,,S,,,,Rounds,,,
Department of Transportation,17000000,,S,,,,Rounds,,,
Department of Housing and Urban Development,1277000,,H/S,Welch,,,Sanders,,,
DOJ,4500000,,S,,,,Sanders,,,
FEMA,151000,,S,,,,Sanders,,,
Department of Transportation,800000,,S,,,,Sanders,,,
Department of Housing and Urban Development,200000,,S,,,,Sanders,,,
Department of Housing and Urban Development,1000000,,S,,,,Sanders,,,
Department of Housing and Urban Development,1300000,,S,,,,Sanders,,,
Department of Housing and Urban Development,1575000,,S,,,,Sanders,,,
Rural Development,189000,,S,,,,Sanders,,,
Rural Development,125000,,S,,,,Sanders,,,
Natural Resources Conservation Service,500000,,S,,,,Sanders,,,
Rural Development,500000,,S,,,,Sanders,,,
Department of Energy,150000,,S,,,,Sanders,,,
Department of Energy,1000000,,S,,,,Sanders,,,
Department of Energy,1000000,,S,,,,Sanders,,,
Small Business Administration,100000,,S,,,,Sanders,,,
Environmental Protection Agency,143000,,S,,,,Sanders,,,
Small Business Administration,158000,,S,,,,Sanders,,,
Small Business Administration,200000,,S,,,,Sanders,,,
National Park Service,221000,,S,,,,Sanders,,,
Small Business Administration,250000,,S,,,,Sanders,,,
National Archives and Records Administration,350000,,S,,,,Sanders,,,
National Park Service,400000,,S,,,,Sanders,,,
Environmental Protection Agency,500000,,S,,,,Sanders,,,
Environmental Protection Agency,600000,,S,,,,Sanders,,,
Department of Transportation,2000000,,S,,,,Sanders,,,
Environmental Protection Agency,2800000,,S,,,,Sanders,,,
Department of Labor,1000000,,S,,,,Sanders,,,
Department of Health & Human Services,149000,,S,,,,Sanders,,,
Department of Health & Human Services,160000,,S,,,,Sanders,,,
Department of Health & Human Services,350000,,S,,,,Sanders,,,
Department of Health & Human Services,200000,,S,,,,Sanders,,,
Department of Health & Human Services,1334000,,S,,,,Sanders,,,
Department of Health & Human Services,46000,,S,,,,Sanders,,,
Department of Health & Human Services,200000,,S,,,,Sanders,,,
Department of Health & Human Services,199000,,S,,,,Sanders,,,
Department of Health & Human Services,50000,,S,,,,Sanders,,,
Department of Health & Human Services,549000,,S,,,,Sanders,,,
Department of Health & Human Services,1000000,,S,,,,Sanders,,,
Department of Health & Human Services,515000,,S,,,,Sanders,,,
Department of Health & Human Services,220000,,S,,,,Sanders,,,
Department of Health & Human Services,395000,,S,,,,Sanders,,,
Department of Health & Human Services,77000,,S,,,,Sanders,,,
Department of Health & Human Services,503000,,S,,,,Sanders,,,
Department of Health & Human Services,600000,,S,,,,Sanders,,,
Department of Education,458000,,S,,,,Sanders,,,
Department of Education,883000,,S,,,,Sanders,,,
Department of Health & Human Services,1000000,,H,Case,,,Schatz,,,
Department of Health & Human Services,2000000,,H/S,Case,,,Schatz,,,
DOC,2100000,,S,,,,Schatz,,,
DOC,1500000,,S,,,,Schatz,,,
FEMA,1805000,,S,,,,Schatz,,,
Department of Transportation,10000000,,S,,,,Schatz,,,
Department of Housing and Urban Development,2698000,,S,,,,Schatz,,,
Department of Housing and Urban Development,3500000,,S,,,,Schatz,,,
Animal and Plant Health Inspection Service,600000,,S,,,,Schatz,,,
DOJ,367000,,S,,,,Schatz,,,
DOC,445000,,S,,,,Schatz,,,
DOC,445000,,S,,,,Schatz,,,
DOC,141000,,S,,,,Schatz,,,
Department of Energy,1000000,,S,,,,Schatz,,,
Fish and Wildlife Service,350000,,S,,,,Schatz,,,
Fish and Wildlife Service,900000,,S,,,,Schatz,,,
Fish and Wildlife Service,955000,,S,,,,Schatz,,,
Department of Transportation,1960000,,S,,,,Schatz,,,
Department of Transportation,23000000,,S,,,,Schatz,,,
Department of Labor,270000,,S,,,,Schatz,,,
Department of Health & Human Services,3000000,,S,,,,Schatz,,,
Department of Health & Human Services,475000,,S,,,,Schatz,,,
Department of Health & Human Services,383000,,S,,,,Schatz,,,
Department of Health & Human Services,3000000,,S,,,,Schatz,,,
Department of Health & Human Services,300000,,S,,,,Schatz,,,
Department of Health & Human Services,200000,,S,,,,Schatz,,,
Department of Education,430000,,S,,,,Schatz,,,
Department of Education,2000000,,S,,,,Schatz,,,
Department of Education,791000,,S,,,,Schatz,,,
Department of Education,100000,,S,,,,Schatz,,,
Department of Housing and Urban Development,900000,NY,H,Jacobs ,,,Schumer,,,
Department of Housing and Urban Development,500000,NY,H,Torres ,,,Schumer,,,
Rural Development,379432,NY,H,Jacobs ,,,Schumer,,,
Environmental Protection Agency,1000000,NY,H,Rice ,,,Schumer,,,
Department of Health & Human Services,2000000,NY,H,Jacobs ,,,Schumer,,,
Department of Health & Human Services,975000,NY,H,Clarke ,,,Schumer,,,
Department of Housing and Urban Development,1000000,,H,Espaillat,,,Schumer,,,
Department of Housing and Urban Development,494000,,H,Malliotakis,,,Schumer,,,
Department of Housing and Urban Development,3000000,,H,Katko,,,Schumer,,,
Environmental Protection Agency,160000,,H,Katko,,,Schumer,,,
Environmental Protection Agency,640000,,H,Reed,,,Schumer,,,
Environmental Protection Agency,1800000,,H,"Maloney, Sean",,,Schumer,,,
Department of Transportation,2000000,,H,Tenney,,,Schumer,,,
Environmental Protection Agency,3000000,,H,Tenney,,,Schumer,,,
Environmental Protection Agency,3000000,,H,Tenney,,,Schumer,,,
Department of Transportation,3000000,,H,Stefanik,,,Schumer,,,
Environmental Protection Agency,3500000,,H,"Maloney, Sean",,,Schumer,,,
Department of Labor,1000000,,H,"Maloney, Carolyn B.",,,Schumer,,,
Department of Labor,525000,,H,Morelle,,,Schumer,,,
Department of Health & Human Services,100000,,H,Garbarino,,,Schumer,,,
Department of Health & Human Services,875000,,H,"Jeffries, Clarke",,,Schumer,,,
Department of Health & Human Services,925000,,H,"Maloney, Carolyn B.",,,Schumer,,,
Department of Health & Human Services,1500000,,H,Meeks,,,Schumer,,,
Department of Health & Human Services,3350000,,H,"Espaillat, Torres",,,Schumer,,,
Department of Health & Human Services,1000000,,H,Meng,,,Schumer,,,
Department of Health & Human Services,180000,,H,Katko,,,Schumer,,,
Department of Health & Human Services,1000000,,H,Stefanik,,,Schumer,,,
Department of Health & Human Services,2000000,,H,Suozzi,,,Schumer,,,
Department of Health & Human Services,1815000,,H,Malliotakis,,,Schumer,,,
Department of Health & Human Services,1000000,,H,Morelle,,,Schumer,,,
Department of Health & Human Services,1500000,,H,Jones,,,Schumer,,,
Department of Health & Human Services,750000,,H,Tonko,,,Schumer,,,
Department of Health & Human Services,1250000,,H,Meeks,,,Schumer,,,
Department of Housing and Urban Development,3000000,,H/S,Jeffries,,,Schumer,,,
Department of Housing and Urban Development,3000000,,H/S,Tonko,,,Schumer,,,
Rural Development,100000,,H/S,Delgado,,,Schumer,,,
Department of Labor,800000,,H/S,"Ocasio-Cortez, Suozzi",,,Schumer,,,
Department of Health & Human Services,225000,,H/S,Morelle,,,Schumer,,,
DOC,984000,,S,,,,Schumer,,,
FEMA,2000000,,S,,,,Schumer,,,
FEMA,250000,,S,,,,Schumer,,,
Department of Transportation,656000,,S,,,,Schumer,,,
Department of Housing and Urban Development,300000,,S,,,,Schumer,,,
Department of Housing and Urban Development,300000,,S,,,,Schumer,,,
Department of Housing and Urban Development,400000,,S,,,,Schumer,,,
Department of Housing and Urban Development,450000,,S,,,,Schumer,,,
Department of Housing and Urban Development,480000,,S,,,,Schumer,,,
Department of Housing and Urban Development,800000,,S,,,,Schumer,,,
Department of Housing and Urban Development,900000,,S,,,,Schumer,,,
Department of Housing and Urban Development,1500000,,S,,,,Schumer,,,
Department of Housing and Urban Development,2000000,,S,,,,Schumer,,,
Department of Housing and Urban Development,2000000,,S,,,,Schumer,,,
Rural Development,2750113,,S,,,,Schumer,,,
Rural Development,89000,,S,,,,Schumer,,,
Rural Development,315000,,S,,,,Schumer,,,
Rural Development,1973000,,S,,,,Schumer,,,
Rural Development,605000,,S,,,,Schumer,,,
Rural Development,44000,,S,,,,Schumer,,,
DOJ,750000,,S,,,,Schumer,,,
DOJ,250000,,S,,,,Schumer,,,
DOJ,4990000,,S,,,,Schumer,,,
Department of Energy,50000,,S,,,,Schumer,,,
Army Corps of Engineers (Civil),100000,,S,,,,Schumer,,,
Army Corps of Engineers (Civil),100000,,S,Jacobs,,,Schumer,,,
Army Corps of Engineers (Civil),100000,,S,,,,Schumer,,,
Army Corps of Engineers (Civil),300000,,S,,,,Schumer,,,
Army Corps of Engineers (Civil),1000000,,S,,,,Schumer,,,
National Archives and Records Administration,60000,,S,,,,Schumer,,,
National Park Service,400000,,S,,,,Schumer,,,
National Park Service,500000,,S,,,,Schumer,,,
National Park Service,500000,,S,,,,Schumer,,,
Environmental Protection Agency,1500000,,S,,,,Schumer,,,
Environmental Protection Agency,3200000,,S,,,,Schumer,,,
Department of Labor,200000,,S,,,,Schumer,,,
Department of Health & Human Services,990000,,S,,,,Schumer,,,
Department of Health & Human Services,10000000,,S,,,,Schumer,,,
Department of Health & Human Services,200000,,S,,,,Schumer,,,
Department of Education,200000,,S,,,,Schumer,,,
Rural Development,1650000,,H,Pappas,,,Shaheen,,,
Fish and Wildlife Service,3700000,,H,Kuster,,,Shaheen,,,
Department of Health & Human Services,500000,,H,Kuster,,,Shaheen,,,
Department of Health & Human Services,750000,,H,Pappas,,,Shaheen,,,
DOJ,752000,,H/S,Pappas,,,Shaheen,,,
DOJ,750000,,S,,,,Shaheen,,,
DOJ,900000,,S,,,,Shaheen,,,
DOJ,232000,,S,,,,Shaheen,,,
DOC,1000000,,S,,,,Shaheen,,,
DOJ,70000,,S,,,,Shaheen,,,
DOJ,15000,,S,,,,Shaheen,,,
DOC,50000,,S,,,,Shaheen,,,
DOC,3813000,,S,,,,Shaheen,,,
DOJ,415000,,S,,,,Shaheen,,,
NASA,348000,,S,,,,Shaheen,,,
DOJ,95000,,S,,,,Shaheen,,,
FEMA,200000,,S,,,,Shaheen,,,
FEMA,543000,,S,,,,Shaheen,,,
Department of Housing and Urban Development,250000,,S,,,,Shaheen,,,
Department of Housing and Urban Development,343000,,S,,,,Shaheen,,,
Department of Housing and Urban Development,556000,,S,,,,Shaheen,,,
Department of Housing and Urban Development,771000,,S,,,,Shaheen,,,
Department of Housing and Urban Development,900000,,S,,,,Shaheen,,,
Department of Housing and Urban Development,950000,,S,,,,Shaheen,,,
Department of Housing and Urban Development,970000,,S,,,,Shaheen,,,
Department of Housing and Urban Development,1000000,,S,,,,Shaheen,,,
Department of Housing and Urban Development,1000000,,S,,,,Shaheen,,,
Department of Housing and Urban Development,1000000,,S,,,,Shaheen,,,
Department of Housing and Urban Development,1000000,,S,,,,Shaheen,,,
Rural Development,175000,,S,,,,Shaheen,,,
Rural Development,200000,,S,,,,Shaheen,,,
Rural Development,200000,,S,,,,Shaheen,,,
Rural Development,100000,,S,,,,Shaheen,,,
Rural Development,200000,,S,,,,Shaheen,,,
Rural Development,200000,,S,,,,Shaheen,,,
DOJ,1224000,,S,,,,Shaheen,,,
DOJ,500000,,S,,,,Shaheen,,,
DOC,1000000,,S,,,,Shaheen,,,
DOJ,1472000,,S,,,,Shaheen,,,
NASA,501000,,S,,,,Shaheen,,,
Department of Energy,250000,,S,,,,Shaheen,,,
Department of Energy,271000,,S,,,,Shaheen,,,
Department of Energy,500000,,S,,,,Shaheen,,,
Department of Energy,500000,,S,,,,Shaheen,,,
Department of Energy,1150000,,S,,,,Shaheen,,,
Environmental Protection Agency,325000,,S,,,,Shaheen,,,
National Park Service,500000,,S,,,,Shaheen,,,
National Park Service,500000,,S,,,,Shaheen,,,
Department of Transportation,650000,,S,,,,Shaheen,,,
Environmental Protection Agency,750000,,S,,,,Shaheen,,,
Environmental Protection Agency,900000,,S,,,,Shaheen,,,
Environmental Protection Agency,1000000,,S,,,,Shaheen,,,
Department of Transportation,1000000,,S,,,,Shaheen,,,
Environmental Protection Agency,1050000,,S,,,,Shaheen,,,
Forest Service,1125000,,S,,,,Shaheen,,,
Environmental Protection Agency,1470000,,S,,,,Shaheen,,,
Environmental Protection Agency,1936000,,S,,,,Shaheen,,,
Department of Transportation,9350000,,S,,,,Shaheen,,,
Department of Health & Human Services,500000,,S,,,,Shaheen,,,
Department of Health & Human Services,2000000,,S,,,,Shaheen,,,
Department of Health & Human Services,500000,,S,,,,Shaheen,,,
Department of Health & Human Services,1000000,,S,,,,Shaheen,,,
Department of Health & Human Services,1500000,,S,,,,Shaheen,,,
Department of Health & Human Services,1500000,,S,,,,Shaheen,,,
Department of Health & Human Services,448000,,S,,,,Shaheen,,,
Department of Health & Human Services,1000000,,S,,,,Shaheen,,,
Department of Health & Human Services,192000,,S,,,,Shaheen,,,
Department of Health & Human Services,1000000,,S,,,,Shaheen,,,
Department of Health & Human Services,2000000,,S,,,,Shaheen,,,
Department of Health & Human Services,500000,,S,,,,Shaheen,,,
Department of Health & Human Services,25000,,S,,,,Shaheen,,,
Department of Health & Human Services,350000,,S,,,,Shaheen,,,
Department of Health & Human Services,150000,,S,,,,Shaheen,,,
Department of Health & Human Services,100000,,S,,,,Shaheen,,,
Department of Education,325000,,S,,,,Shaheen,,,
Department of Education,1000000,,S,,,,Shaheen,,,
Department of Education,782000,,S,,,,Shaheen,,,
Department of Education,170000,,S,,,,Shaheen,,,
Department of Education,250000,,S,,,,Shaheen,,,
Department of Education,233000,,S,,,,Shaheen,,,
Army Corps of Engineers (Civil),3023000,,H/S,Carl,,,Shelby,,,
Department of Transportation,67300000,,S,,,,Shelby,,,
Department of Housing and Urban Development,132700000,,S,,,,Shelby,,,
DOC,60000000,,S,,,,Shelby,,,
Army Corps of Engineers (Civil),400000,,S,,,,Shelby,,,
Army Corps of Engineers (Civil),2000000,,S,,,,Shelby,,,
Army Corps of Engineers (Civil),3000000,,S,,,,Shelby,,,
Army Corps of Engineers (Civil),3200000,,S,,,,Shelby,,,
Army Corps of Engineers (Civil),4000000,,S,,,,Shelby,,,
Army Corps of Engineers (Civil),4493000,,S,,,,Shelby,,,
Army Corps of Engineers (Civil),4972000,,S,,,,Shelby,,,
Army Corps of Engineers (Civil),8380000,,S,,,,Shelby,,,
Army Corps of Engineers (Civil),32000000,,S,,,,Shelby,,,
Department of Transportation,100000000,,S,,,,Shelby,,,
Department of Health & Human Services,76000000,,S,,,,Shelby,,,
Department of Education,50000000,,S,,,,Shelby,,,
Environmental Protection Agency,990000,,H,Stanton,,,Sinema,,,
Department of Health & Human Services,900000,,H,Gallego,,,Sinema,,,
Department of Education,175000,,H,Gallego,,,Sinema,,,
Department of Transportation,2745000,,S,,,,Sinema,,,
Rural Development,240000,,S,,,,Sinema,,,
National Park Service,500000,,S,,,,Sinema,,,
Department of Transportation,2070000,,S,,,,Sinema,,,
Department of Education,1000000,,S,,,,Sinema,,,
Small Business Administration,1000000,,H,Omar,,,Smith,,,
Department of Transportation,2000000,,H,Emmer,,,Smith,,,
Department of Health & Human Services,140000,,H,Phillips,,,Smith,,,
Department of Transportation,5000000,,S,,,,Smith,,,
Department of Housing and Urban Development,300000,,S,,,,Smith,,,
Department of Housing and Urban Development,1500000,,S,,,,Smith,,,
Rural Development,193000,,S,,,,Smith,,,
DOJ,305000,,S,,,,Smith,,,
Department of Labor,350000,,S,,,,Smith,,,
Department of Health & Human Services,136000,,S,,,,Smith,,,
Department of Health & Human Services,1000000,,S,,,,Smith,,,
Department of Education,449000,,S,,,,Smith,,,
Department of Education,400000,,S,,,,Smith,,,
Department of Education,14000,,S,,,,Smith,,,
Department of Transportation,2355200,,H,Meijer,,,Stabenow,,,
Department of Housing and Urban Development,500000,,H,Moolenaar,,,Stabenow,,,
Environmental Protection Agency,750000,,H,Moolenaar,,,Stabenow,,,
Environmental Protection Agency,800000,,H,Lawrence,,,Stabenow,,,
Department of Transportation,4797600,,H,Stevens,,,Stabenow,,,
