,position,total
1107,FIRE DEPARTMENT DEPUTY DIRECTOR-OFFICE OF EMERGENCY SERVICES,2
1108,FIRE DEPARTMENT DIVISION CHIEF,13
1109,FIRE DEPARTMENT FACILITIES COORDINATOR,1
1110,FIRE DEPARTMENT FACILITIES PLANNER,4
1111,FIRE DEPARTMENT FIN SERVICE ANALYST,3
1112,FIRE DEPARTMENT FINANCIAL SERVICES MANAGER,1
1113,FIRE DEPARTMENT FLEET SERVICES MANAGER,1
1114,FIRE DEPARTMENT FLEET SRVS MANAGER,1
1115,FIRE DEPARTMENT GENERAL SERVICES MANAGER,1
1116,FIRE DEPARTMENT GENERAL SRVS MANAGER,1
1117,FIRE DEPARTMENT MANAGEMENT CONSULTANT,1
1118,FIRE DEPARTMENT MECHANIC,17
1119,FIRE DEPARTMENT PERSNL PROT EQUIPMENT,1
1120,FIRE DEPARTMENT PERSONNEL PROTECTION EQUIPMENT,1
1121,FIRE DEPARTMENT PLAN CHECKER,3
1122,FIRE DEPARTMENT SECRETARY,2
1123,FIRE DEPARTMENT SECRETARY II,9
1124,FIRE DEPARTMENT SECRETARY/TREASURER,3
1125,FIRE DEPARTMENT SPECIALIST CLERK,6
1126,FIRE DEPARTMENT TELECOM SPECIALIST,1
1127,FIRE DEPARTMENT TELECOMMUNICATION TECH,2
1128,FIRE DEPARTMENT TELECOMMUNICATIONS TECH,1
1129,FIRE DEPARTMENT UTILITY WORKER I,12
1130,FIRE DEPARTMENT VIDEOGRAPHER SAN,1
1131,FIRE DEPARTMETN FACILITIES PLANNER,1
1132,FIRE DEPT ACCOUNT CLERK,7
1133,FIRE DEPT ADMIN SECRETARY,2
1134,FIRE DEPT ADMIN SRVC DIRECTOR,2
1135,FIRE DEPT AIDE SAN,8
1136,FIRE DEPT AIDE/LEAD,10
1137,FIRE DEPT AIDE/LEAD  HOURLY,2
1138,FIRE DEPT AIDE/LEAD  HRLY,2
1139,FIRE DEPT APPARATUS PART TECH,1
1140,FIRE DEPT CLERK II P,1
1141,FIRE DEPT DEPUTY CHIEF,2
1142,FIRE DEPT DIVISION CHIEF,7
1143,FIRE DEPT FACILITIES COORD,1
1144,FIRE DEPT FACILITIES PLANNER,4
1145,FIRE DEPT FIN SRVC ANALYST,3
1146,FIRE DEPT FINANCIAL SVCS MGR,2
1147,FIRE DEPT FLEET SRVS MGR,1
1148,FIRE DEPT GENERAL SRVS MGR,1
1149,FIRE DEPT MECHANIC,10
1150,FIRE DEPT PERSNL PROT EQUIPMT,2
1151,FIRE DEPT SECRETARY,1
1152,FIRE DEPT SECRETARY II,4
1153,FIRE DEPT SECRETARY/TREASURER,5
1154,FIRE DEPT SPECIALIST CLERK,4
1155,FIRE DEPT SYSTEM ADMIN,1
1156,FIRE DEPT TELECOM SPECIALIST,2
1157,FIRE DEPT TELECOMMUNICATION TECH,1
1158,FIRE DEPT TELECOMMUNICATN TECH,1
1159,FIRE DEPT UTILITY WORKER I,57
1160,FIRE DEPT VIDEOGRAPHER N,1
1161,FIRE DEPT. SECRETARY,1
1162,FIRE DEPT. SECRETARY/TREASURER,2
1163,FIRE DEPT. UTILITY WORKER I,9
1164,FIRE DEPUTY (VOLUNTEER),1
1165,FIRE DEPUTY CHIEF,165
1166,FIRE DEPUTY CHIEF - OPERATIONS,1
1167,FIRE DEPUTY DIRECTOR-OFFICE OF EMERGENCY SERVICES,1
1168,FIRE DEVELOPMENT SPECIALIST,3
1169,FIRE DISPATCH,4
1170,FIRE DISPATCH ADMINISTRATOR,11
1171,FIRE DISPATCH MANAGER,3
1172,FIRE DISPATCH OPERATIONS MANAGER,8
1173,FIRE DISPATCH P/T,1
1174,FIRE DISPATCH SUPERVISOR,72
1175,FIRE DISPATCH SUPV,31
1176,FIRE DISPATCHER,475
1177,FIRE DISPATCHER  II,18
1178,FIRE DISPATCHER ASSISTANT,26
1179,FIRE DISPATCHER I,244
1180,FIRE DISPATCHER I (FLEX)(PART-TIME),1
1181,FIRE DISPATCHER II,1016
1182,FIRE DISPATCHER II (PART-TIME),1
1183,FIRE DISPATCHER LL,10
1184,FIRE DISPATCHER LL (PT),1
1185,FIRE DISPATCHER M1,13
1186,FIRE DISPATCHER SPECIALIST,45
1187,FIRE DISPATCHER SUPERVISOR,9
1188,FIRE DISPATCHER TEMP,2
1189,FIRE DISPATCHER TRAINEE,8
1190,FIRE DIST AIDE-EX,1
1191,FIRE DIST COMM CENTER MANAGER,5
1192,FIRE DISTRICT APPARATUS MNGR,4
1193,FIRE DISTRICT CHIEF/ADMIN SERVICES,3
1194,FIRE DISTRICT CHIEF/ADMIN SVCS,9
1195,FIRE DISTRICT DISPATCHER,127
1196,FIRE DISTRICT FACILITIES MANGER,1
1197,FIRE DISTRICT FACILITIES MGR.,2
1198,FIRE DISTRICT FACILITIES MNGR,9
1199,FIRE DISTRICT FISCAL SPECIALIST,6
1200,FIRE DISTRICT FISCAL SPECIALST,5
1201,FIRE DISTRICT INFO SYST MANGR,8
1202,FIRE DISTRICT INFO SYSTEM MANGER,2
1203,FIRE DISTRICT LOGISTICS MANAGER,1
1204,FIRE DISTRICT LOGISTICS MGR,8
1205,FIRE DISTRICT LOGISTICS MGR.,3
1206,FIRE DISTRICT TELECOM SPEC,21
1207,FIRE DISTRICT TELECOMM MANAGER,7
1208,FIRE DIV CHIEF,3
1209,FIRE DIV CHIEF P/T,1
1210,FIRE DIV CHIEF-TRAINING,2
1211,FIRE DIV. CHIEF,5
1212,FIRE DIV. CHIEF-TRAINING,2
1213,FIRE DIV. CHIEF/TRAINING & OPS.,1
1214,FIRE DIVISION CAPTAIN ADMINISTRATION/FM-PDP L 3,2
1215,FIRE DIVISION CAPTAIN ADMINISTRATION/FM-PDP L 4,2
1216,FIRE DIVISION CHIEF,774
1217,FIRE DIVISION CHIEF  NCFM,9
1218,FIRE DIVISION CHIEF (MARSHAL),10
1219,FIRE DIVISION CHIEF - OPERATIONS,3
1220,FIRE DIVISION CHIEF - PART TIME,1
1221,FIRE DIVISION CHIEF - TEMP EXHLP,1
1222,FIRE DIVISION CHIEF 112,6
1223,FIRE DIVISION CHIEF 112 (MEDICARE-EXEMPT),2
1224,FIRE DIVISION CHIEF ADMIN,6
1225,FIRE DIVISION CHIEF ADMINISTRATION/FIRE MARSHAL-PDP LEVEL 3,1
1226,FIRE DIVISION CHIEF ADMINISTRATION/FIRE MARSHAL-PDP LEVEL 4,1
1227,FIRE DIVISION CHIEF ADMINISTRATION/FIRE MARSHALL - PDP L3,1
1228,FIRE DIVISION CHIEF ADMINISTRATION/FIRE MARSHALL- PDP L4,1
1229,FIRE DIVISION CHIEF PART TME,2
1230,FIRE DIVISION CHIEF PER DIEM,1
1231,FIRE DIVISION CHIEF PERS RETIREE TEMPORARY PART-TIME,1
1232,FIRE DIVISION CHIEF PROFESSIONAL DEVELOPMENT PAY LEVEL 4,1
1233,FIRE DIVISION CHIEF SHIFT,11
1234,FIRE DIVISION CHIEF TEMP/PART-TIME,1
1235,FIRE DIVISION CHIEF-TEMP EXHLP,2
1236,FIRE DIVISION CHIEF-TRAINING,3
1237,FIRE DIVISION CHIEF/FIRE MARSHAL,2
1238,FIRE DIVISION MANAGER,20
1239,FIRE EDUCATION COORDINATOR,4
1240,FIRE EDUCATION SPECIALIST,2
1241,FIRE EMD QA COORDINATOR,1
1242,FIRE EMERGENCY COMMUNICATION CENTER MANAG,3
1243,FIRE EMERGENCY COMMUNICATION CENTER MANAGER,7
1244,FIRE EMERGENCY MEDICAL DISPATCH QQUALITY ASSURANCE COORDINATOR,1
1245,FIRE EMERGENCY MEDICAL OFFICER,5
1246,FIRE EMERGENCY PREPARE MANAGER,2
1247,FIRE EMERGENCY PREPARE MGR,3
1248,FIRE EMS QLTY IMPVMT & ED COR,1
1249,FIRE EMS QLTY IMPVMT&EDCOR,1
1250,FIRE EMS QUALITY IMPR COORD,13
1251,FIRE EMS QUALITY IMPR COORDINATOR,5
1252,FIRE EMS QUALITY IMPROVEMENT & EDCOR,4
1253,FIRE EMS QUALITY IMPROVEMENT & EDCOR N,1
1254,FIRE ENG,25
1255,FIRE ENG (112 HR),265
1256,FIRE ENG (80 HR),7
1257,FIRE ENG + 15% ASSIGN-,1
1258,FIRE ENG + 15% ASSIGN-Y RATED,3
1259,FIRE ENG INSPECTOR SHIFT,55
1260,FIRE ENG INSPECTOR STAFF,7
1261,FIRE ENG PARAMEDIC,3
1262,FIRE ENG/PARAMDIC,4
1263,FIRE ENG/PARAMED,10
1264,FIRE ENG/PARAMEDIC,67
1265,FIRE ENG/PM/HM,1
1266,FIRE ENGINE CAPTAIN,2
1267,FIRE ENGINEER,22747
1268,FIRE ENGINEER                    SHIFT HRS,105
1269,FIRE ENGINEER                    SHIFT HRS.,24
1270,FIRE ENGINEER     112 HRS,138
1271,FIRE ENGINEER     112 HRS (MEDICARE-EXEMPT),1
1272,FIRE ENGINEER  + 7.5%,2
1273,FIRE ENGINEER  + 8.75%,4
1274,FIRE ENGINEER  + PARAMEDIC,32
1275,FIRE ENGINEER (112 HR),33
1276,FIRE ENGINEER (40 HOUR),2
1277,FIRE ENGINEER (40-HOUR),5
1278,FIRE ENGINEER (56 HOUR),246
1279,FIRE ENGINEER (56 HOURS/WEEKS),7
1280,FIRE ENGINEER (56 HOURS/WORK),9
1281,FIRE ENGINEER (56 HRS./WK),5
1282,FIRE ENGINEER (56 HRS/WK),36
1283,FIRE ENGINEER (56-HOUR),236
1284,FIRE ENGINEER (56HRS/WK),6
1285,FIRE ENGINEER (ADMIN),6
1286,FIRE ENGINEER (D),1
1287,FIRE ENGINEER (INTERIM),1
1288,FIRE ENGINEER (P/T),1
1289,FIRE ENGINEER (PAR),614
1290,FIRE ENGINEER (PARAMEDIC),5
1291,FIRE ENGINEER (S),261
1292,FIRE ENGINEER (W/ FLSA),36
1293,FIRE ENGINEER + 15% AS,2
1294,FIRE ENGINEER + 15% ASSIGNMENT,21
1295,FIRE ENGINEER + 5%,8
1296,FIRE ENGINEER + 5% ASS,4
1297,FIRE ENGINEER + 5% ASSIGNMENT,20
1298,FIRE ENGINEER + 7.5%,1
1299,FIRE ENGINEER +3.75%,1
1300,FIRE ENGINEER +5%,1
1301,FIRE ENGINEER - 112 HOURS,30
1302,FIRE ENGINEER - 4%,6
1303,FIRE ENGINEER - 40 HRS,1
1304,FIRE ENGINEER - 40/HR,1
1305,FIRE ENGINEER - 5%,10
1306,FIRE ENGINEER - 53 HR,78
1307,FIRE ENGINEER - 56,37
1308,FIRE ENGINEER - 56 HR,18
1309,FIRE ENGINEER - 8 HOUR,2
1310,FIRE ENGINEER - 80 HOURS,3
1311,FIRE ENGINEER - A,37
1312,FIRE ENGINEER - C,1
1313,FIRE ENGINEER - LD,2
1314,FIRE ENGINEER - MAST,4
1315,FIRE ENGINEER - PARAMEDIC,7
1316,FIRE ENGINEER - PM CERT,48
1317,FIRE ENGINEER - PT,1
1318,FIRE ENGINEER - RELIEF,81
1319,FIRE ENGINEER - SHIFT A,7
1320,FIRE ENGINEER - SHIFT C,1
1321,FIRE ENGINEER - SHIFT HOURS,25
1322,FIRE ENGINEER - SUPPRESSION,838
1323,FIRE ENGINEER - TEMPORARY,3
1324,FIRE ENGINEER - TRAINEE/VOLUNTEER,18
1325,FIRE ENGINEER - VOLUNTEER,8
1326,FIRE ENGINEER / PARAMEDIC,27
1327,FIRE ENGINEER 112,186
1328,FIRE ENGINEER 112 HR,90
1329,FIRE ENGINEER 2.5%,45
1330,FIRE ENGINEER 4%,2
1331,FIRE ENGINEER 40 HOUR,1
1332,FIRE ENGINEER 40 HRS,4
1333,FIRE ENGINEER 5%,17
1334,FIRE ENGINEER 80 HR,1
1335,FIRE ENGINEER A/A,5
1336,FIRE ENGINEER A/A 2.5%,33
1337,FIRE ENGINEER A/A 5%,11
1338,FIRE ENGINEER B/A,8
1339,FIRE ENGINEER B/A 2.5%,60
1340,FIRE ENGINEER BASE ONLY,63
1341,FIRE ENGINEER EMT,7
1342,FIRE ENGINEER HAZ MAT,1
1343,FIRE ENGINEER I,17
1344,FIRE ENGINEER II,149
1345,FIRE ENGINEER III,219
1346,FIRE ENGINEER IV,111
1347,FIRE ENGINEER OPERATOR,209
1348,FIRE ENGINEER PARAMEDIC,371
1349,FIRE ENGINEER PARAMEDIC HAZ MAT,1
1350,FIRE ENGINEER PART TIME,1
1351,FIRE ENGINEER SHIFT HRS,24
1352,FIRE ENGINEER SPECIAL ASSIGNMENT,3
1353,FIRE ENGINEER SPECIAL ASSIGNMT,4
1354,FIRE ENGINEER STEP 2,24
1355,FIRE ENGINEER SUPPRESSION,1
1356,FIRE ENGINEER TEMP APPT L,1
1357,FIRE ENGINEER TIER 2,2
1358,FIRE ENGINEER W/ PM BONUS,11
1359,FIRE ENGINEER WITH PARAMEDIC LICENSE,26
1360,FIRE ENGINEER(56HRS),26
1361,FIRE ENGINEER(PARAMEDIC-ADMIN),10
1362,FIRE ENGINEER+3.75%,1
1363,FIRE ENGINEER+5%,1
1364,FIRE ENGINEER+7.5%,1
1365,"FIRE ENGINEER, EMT - VOLUNTEER",4
1366,FIRE ENGINEER- PARAMEDIC,7
1367,FIRE ENGINEER- SHIFT A,1
1368,FIRE ENGINEER- SHIFT B,1
1369,FIRE ENGINEER- SHIFT C,7
1370,FIRE ENGINEER-40/HR,2
1371,FIRE ENGINEER-A,40
1372,FIRE ENGINEER-ACTING CAPTAIN,7
1373,FIRE ENGINEER-ACTNG CAPTAIN,3
1374,FIRE ENGINEER-C,1257
1375,FIRE ENGINEER-C-A,99
1376,FIRE ENGINEER-MAST,23
1377,FIRE ENGINEER-PARA12+5%,1
1378,FIRE ENGINEER-PARAMEDIC,78
1379,FIRE ENGINEER-SCHED B,9
1380,FIRE ENGINEER-SHIFT HRS,56
1381,FIRE ENGINEER/ HAZMAT II,1
1382,FIRE ENGINEER/ PARAMEDIC,13
1383,FIRE ENGINEER/40 HOUR,12
1384,FIRE ENGINEER/56 HOUR,799
1385,FIRE ENGINEER/A,1
1386,FIRE ENGINEER/AA,20
1387,FIRE ENGINEER/BA,7
1388,FIRE ENGINEER/BB,2
1389,FIRE ENGINEER/BUREAU,3
1390,FIRE ENGINEER/EMT,3
1391,FIRE ENGINEER/HAZ MAT,5
1392,FIRE ENGINEER/HAZ MAT I,8
1393,FIRE ENGINEER/HAZ MAT II,13
1394,FIRE ENGINEER/HAZMAT,1
1395,FIRE ENGINEER/HAZMAT- SHIFT A,2
1396,FIRE ENGINEER/HAZMAT- SHIFT C,1
1397,FIRE ENGINEER/HM I,2
1398,FIRE ENGINEER/HM II,3
1399,FIRE ENGINEER/HMI,2
1400,FIRE ENGINEER/HMII,3
1401,FIRE ENGINEER/OIC - SHIFT A,1
1402,FIRE ENGINEER/OIC - SHIFT C,1
1403,FIRE ENGINEER/PARA,7
1404,FIRE ENGINEER/PARAMED,5
1405,FIRE ENGINEER/PARAMED - SHIFT,2
1406,FIRE ENGINEER/PARAMED- SHIFT A,2
1407,FIRE ENGINEER/PARAMED- SHIFT B,7
1408,FIRE ENGINEER/PARAMED- SHIFT C,2
1409,FIRE ENGINEER/PARAMEDIC,504
1410,FIRE ENGINEER/PARAMEDIC - SHIFT,3
1411,FIRE ENGINEER/PARAMEDIC - SHIFT A,2
1412,FIRE ENGINEER/PARAMEDIC - SHIFT C,1
1413,FIRE ENGINEER/PARAMEDIC- SHIFT B,6
1414,FIRE ENGINEER/PARAMEDIC- SHIFT C,2
1415,FIRE ENGINEER/PARAMEDIC/BILINGUAL,1
1416,FIRE ENGINEER/PARAMEDIC/HM,2
1417,FIRE ENGINEER/PARAMEDIC/OIC - SHIFT C,1
1418,FIRE ENGINEER/PARAMEDIC/OIC- SHIFT B,1
1419,FIRE ENGINEERING INSPECTOR SHIFT,465
1420,FIRE ENGINEERING INSPECTOR STAFF,49
1421,FIRE ENGINNER/PARAMEDIC,1
1422,FIRE ENGR (S),156
1423,FIRE ENGR/HM,4
1424,FIRE ENGR/HMI,5
1425,FIRE ENGR/HMII,6
1426,FIRE ENGR/PARA,15
1427,FIRE ENGR/PARAMED/HAZ- SHIFT C,3
1428,FIRE ENGR/PARAMEDIC,45
1429,FIRE ENGR/PARAMEDIC/HAZ- SHIFT C,1
1430,FIRE ENVIRONMENTAL SPEC I,12
1431,FIRE ENVIRONMENTAL SPEC II,27
1432,FIRE ENVIRONMENTAL SPECIALIST,19
1433,FIRE EQUIP MECHANIC,1
1434,FIRE EQUIPMENT APPRENTICE MECH,2
1435,FIRE EQUIPMENT APPRENTICE MECHANIC,2
1436,FIRE EQUIPMENT LEAD MECHANIC,3
1437,FIRE EQUIPMENT MAINTENANCE SUPERVISOR,8
1438,FIRE EQUIPMENT MANAGER,11
1439,FIRE EQUIPMENT MECH LEAD,7
1440,FIRE EQUIPMENT MECHANIC,606
1441,FIRE EQUIPMENT MECHANIC I,26
1442,FIRE EQUIPMENT MECHANIC I (FLEX),2
1443,FIRE EQUIPMENT MECHANIC II,140
1444,FIRE EQUIPMENT MECHANIC LEAD,2
1445,FIRE EQUIPMENT MECHANIC LL,2
1446,FIRE EQUIPMENT MECHANIC/COORD,3
1447,FIRE EQUIPMENT MECHANIC/COORDINATOR,1
1448,FIRE EQUIPMENT OPER,3
1449,FIRE EQUIPMENT OPER ASST,1
1450,FIRE EQUIPMENT OPER SUPV,1
1451,FIRE EQUIPMENT OPERATOR,53
1452,FIRE EQUIPMENT OPERATOR ASSISTANT,9
1453,FIRE EQUIPMENT OPERATOR SUPERVISOR,9
1454,FIRE EQUIPMENT OPERATORE,7
1455,FIRE EQUIPMENT SERVICE WORKER,28
1456,FIRE EQUIPMENT SPECIALIST,15
1457,FIRE EQUIPMENT SUPPLY SPEC,10
1458,FIRE EQUIPMENT TECHNICIAN,66
1459,FIRE EQUIPMENT TRAINEE,1
1460,FIRE EQUIPMENT WAREHOUSE SUPERVISOR,2
1461,FIRE EQUIPMENT WAREHOUSE WORKER,4
1462,FIRE EXECUTIVE ASSISTANT,2
1463,FIRE EXPLORER INTERN (PART-TIME),20
1464,FIRE FACILITES & MAINT COORD,1
1465,FIRE FACILITY COORD,1
1466,FIRE FACILITY COORDINATOR,5
1467,FIRE FAE,1
1468,FIRE FEIGHTER,1
1469,FIRE FGHTR HZ MT EMT,9
1470,FIRE FIGHTER,12143
1471,FIRE FIGHTER (56 HOUR),11679
1472,FIRE FIGHTER (56 HOURS/WEEKS),5
1473,FIRE FIGHTER (56 HOURS/WORK),8
1474,FIRE FIGHTER (56 HRS./WK),16
1475,FIRE FIGHTER (56 HRS/WK),61
1476,FIRE FIGHTER (ADMINISTRATIVE),4
1477,FIRE FIGHTER (CHIEF),1
1478,FIRE FIGHTER (LIGHT DUTY - 40 HOURS/WEEKS),3
1479,FIRE FIGHTER (LIGHT DUTY - 40 HOURS/WORK),1
1480,FIRE FIGHTER (LIGHT DUTY - 40 HRS/WK),3
1481,FIRE FIGHTER (P/T),3
1482,FIRE FIGHTER (PARAMEDIC),6
1483,FIRE FIGHTER (PART TIME),19
1484,FIRE FIGHTER (SEASONAL),7
1485,FIRE FIGHTER (VOL),9
1486,FIRE FIGHTER (VOLUNTEER CAPTAIN),4
1487,FIRE FIGHTER (VOLUNTEER),363
1488,FIRE FIGHTER - 40 HR,2
1489,FIRE FIGHTER - 40 HR.,2
1490,FIRE FIGHTER - 56,38
1491,FIRE FIGHTER - 56 HR,21
1492,FIRE FIGHTER - ADMIN,4
1493,FIRE FIGHTER - FULL TIME,1
1494,FIRE FIGHTER - INTERN,1
1495,FIRE FIGHTER - JAPE 6,4
1496,FIRE FIGHTER - OVERHIRE,1
1497,FIRE FIGHTER - PARAMEDIC,70
1498,FIRE FIGHTER - PART TIME,5
1499,FIRE FIGHTER - PART-TIME,13
1500,FIRE FIGHTER - PROBATION,1
1501,FIRE FIGHTER - RESERVE,40
1502,FIRE FIGHTER - SEASONAL,16
1503,FIRE FIGHTER - STRIKE TEAM,7
1504,FIRE FIGHTER - TRAINEE/VOLUNTEER,8
1505,FIRE FIGHTER - VOLUNTEER,18
1506,FIRE FIGHTER / PARAMEDIC,60
1507,FIRE FIGHTER 1,389
1508,FIRE FIGHTER 1ST RESPONDER,1
1509,FIRE FIGHTER 2,1543
1510,FIRE FIGHTER 2.5%,43
1511,FIRE FIGHTER 3,454
1512,FIRE FIGHTER 5%,7
1513,FIRE FIGHTER A/A,30
1514,FIRE FIGHTER A/A 2.5%,4
1515,FIRE FIGHTER A/A 5%,1
1516,FIRE FIGHTER B/A,43
1517,FIRE FIGHTER B/A 2.5%,12
1518,FIRE FIGHTER CAPTAIN,3
1519,FIRE FIGHTER CHIEF,1
1520,FIRE FIGHTER EMT,86
1521,FIRE FIGHTER EMT HAZ MAT PARAMEDIC,2
1522,FIRE FIGHTER ENGINEER,232
1523,FIRE FIGHTER ENGR,387
1524,FIRE FIGHTER ENGR (22 YEARS),2
1525,FIRE FIGHTER ENGR (CONDITIONAL),2
1526,FIRE FIGHTER ENGR - ADMIN,3
1527,FIRE FIGHTER FIRE POINT,1
1528,FIRE FIGHTER FIREPOINT,1
1529,FIRE FIGHTER FLEX,1
1530,FIRE FIGHTER FULL TIME,1
1531,FIRE FIGHTER GRANT,3
1532,FIRE FIGHTER HAZ MAT EMT,1
1533,FIRE FIGHTER HAZMAT EMT SHFT,1
1534,FIRE FIGHTER I,382
1535,FIRE FIGHTER I (40),13
1536,FIRE FIGHTER I (40-HOUR),4
1537,FIRE FIGHTER I (56-HOUR),92
1538,FIRE FIGHTER I - 112 HOURS,9
1539,FIRE FIGHTER I - ENGINEER,6
1540,FIRE FIGHTER I -ENGINEER,8
1541,FIRE FIGHTER II,1495
1542,FIRE FIGHTER II (40-HOUR),46
1543,FIRE FIGHTER II (56 HOUR),20
1544,FIRE FIGHTER II (56-HOUR),598
1545,FIRE FIGHTER II-80,4
1546,FIRE FIGHTER III,310
1547,FIRE FIGHTER IV,139
1548,FIRE FIGHTER PARAMEDIC,1290
1549,FIRE FIGHTER PARAMEDIC HAZ MAT,1
1550,FIRE FIGHTER PARAMEDIC II,19
1551,FIRE FIGHTER PARAMEDIC TRAINEE,38
1552,FIRE FIGHTER PART TIME,8
1553,FIRE FIGHTER PART-TIME,20
1554,FIRE FIGHTER PEPRA,7
1555,FIRE FIGHTER PRMDC-12.5 EMT,5
1556,FIRE FIGHTER PT,15
1557,FIRE FIGHTER RECRUIT,29
1558,FIRE FIGHTER RESERVE,102
1559,FIRE FIGHTER SAFER GRANT-SHIFT C,1
1560,FIRE FIGHTER SPECIALIST (56 HOUR),7096
1561,FIRE FIGHTER SPECIALIST(56 HOURS),792
1562,FIRE FIGHTER TRAINEE,559
1563,FIRE FIGHTER V,32
1564,FIRE FIGHTER VI,8
1565,FIRE FIGHTER VOLUNTEER,46
1566,FIRE FIGHTER(56 HOURS),1265
1567,FIRE FIGHTER(PART TIME HELP),28
1568,FIRE FIGHTER(PART TIME),19
1569,FIRE FIGHTER(VOLUNTEER,3
1570,FIRE FIGHTER(VOLUNTEER CAPTAIN,5
1571,FIRE FIGHTER(VOLUNTEER CAPTAIN),16
1572,FIRE FIGHTER(VOLUNTEER),103
1573,"FIRE FIGHTER, PARAMEDIC, 7.5%",1
1574,FIRE FIGHTER- SHIFT A,3
1575,FIRE FIGHTER- SHIFT B,10
1576,FIRE FIGHTER- SHIFT C,2
1577,FIRE FIGHTER-EMT,15
1578,FIRE FIGHTER-PAID CALL,124
1579,FIRE FIGHTER-PARAMEDIC,4
1580,FIRE FIGHTER-PART TIME,24
1581,FIRE FIGHTER-VOLUNTEER,31
1582,FIRE FIGHTER-VOLUNTEERS,1
1583,FIRE FIGHTER/ VOLUNTEER,88
1584,FIRE FIGHTER/BC AIDE,9
1585,FIRE FIGHTER/EMT,5
1586,FIRE FIGHTER/EMT - FULL TIME,1
1587,FIRE FIGHTER/EMT - PART TIME,6
1588,FIRE FIGHTER/EMT/FIRE CAPTAIN,1
1589,FIRE FIGHTER/ENGINEER,256
1590,FIRE FIGHTER/FIRE BOAT OPERATOR,1
1591,FIRE FIGHTER/MEDIC,7
1592,FIRE FIGHTER/MEDIC - FULL TIME,2
1593,FIRE FIGHTER/MEDIC - PART TIME,7
1594,FIRE FIGHTER/MEDIC/CAPTAIN,1
1595,FIRE FIGHTER/PARA,7
1596,FIRE FIGHTER/PARAMED,2
1597,FIRE FIGHTER/PARAMED - SHIFT A,2
1598,FIRE FIGHTER/PARAMED - SHIFT C,1
1599,FIRE FIGHTER/PARAMED/HAZMAT,1
1600,FIRE FIGHTER/PARAMED/HAZMAT-B,1
1601,FIRE FIGHTER/PARAMEDIC,487
1602,FIRE FIGHTER/PARAMEDIC - JAPE 6,1
1603,FIRE FIGHTER/PARAMEDIC - SHIFT,1
1604,"FIRE FIGHTER/PARAMEDIC A,B,C",20
1605,FIRE FIGHTER/PARAMEDIC I,21
1606,FIRE FIGHTER/TRAINEE,2
1607,FIRE FIGHTER/TRAINING,1
1608,FIRE FIGHTER/VOLUNTEER,277
1609,FIRE FIGHTERVOLUNTEER,14
1610,FIRE FIGHTING CONST EQUIP OPERATOR,7
1611,FIRE FIGHTING CONSTRUCT EQUIP OPER,56
1612,FIRE FIGHTING CONSTRUCT EQUIP OPERATOR,7
1613,FIRE FLEET MAINTENANCE COORDINATOR,2
1614,FIRE FLEET SERVICES MANAGER,7
1615,FIRE FUELS PROGRAM SUPERVISOR,7
1616,FIRE GEO INFO SYSTEMS TECH,4
1617,FIRE HEAVY EQUIPMENT OPERATOR,32
1618,FIRE HEAVY EQUIPMENT SPECIALIST I,13
1619,FIRE HEAVY EQUIPMENT SPECIALIST I-C,3
1620,FIRE HEAVY EQUIPMENT SPECIALIST II,6
1621,FIRE HEAVY EQUIPMENT SPECIALIST II-C,42
1622,FIRE HELICOPTER PILOT,48
1623,FIRE HELICOPTER PILOT I,16
1624,FIRE HELICOPTER PILOT II,18
1625,FIRE HELICOPTER PILOT III,61
1626,FIRE HELICOPTER PILOT IV,32
1627,FIRE HELICOPTER PILOT L,1
1628,FIRE HELICOPTER PILOT V,11
1629,FIRE HOUSING INSPECTOR,2
1630,FIRE HOUSING INSPECTOR I,1
1631,FIRE INFO & BILLING SPEC,1
1632,FIRE INFO SYSTEM ANALYST,1
1633,FIRE INFO SYSTEMS MANAGER,10
1634,FIRE INFORMATION SYSTEMS COORDINATOR,2
1635,FIRE INFORMATION SYSTEMS MANAGER,1
1636,FIRE INSP. (PT TIME),1
1637,FIRE INSP/INVEST I,7
1638,FIRE INSP/INVEST I (HRLY),1
1639,FIRE INSP/INVEST II,34
1640,FIRE INSP/INVEST II HOURLY,7
1641,FIRE INSPECIALISTTOR,12
1642,FIRE INSPECTION MANAGER,3
1643,FIRE INSPECTION SPECIALIST,4
1644,FIRE INSPECTION SUPERVISOR,14
1645,FIRE INSPECTOR,712
1646,FIRE INSPECTOR       (RETIRED),1
1647,FIRE INSPECTOR (CIVILIAN) - TEMP,2
1648,FIRE INSPECTOR (CIVILIAN) - TEMPORARY,2
1649,FIRE INSPECTOR (CIVILIAN)-TE,1
1650,FIRE INSPECTOR (CIVILIAN)-TEMP,2
1651,FIRE INSPECTOR (PT TIME),1
1652,FIRE INSPECTOR (PT),7
1653,FIRE INSPECTOR (TEMP/PART-TIME),1
1654,FIRE INSPECTOR (TEMP/PT-TIME),1
1655,FIRE INSPECTOR (WILSON),1
1656,FIRE INSPECTOR - PART TIME,6
1657,FIRE INSPECTOR - TEMPORARY,3
1658,FIRE INSPECTOR / INVESTIGATOR,1
1659,FIRE INSPECTOR / INVESTIGATOR II,1
1660,FIRE INSPECTOR 1,11
1661,FIRE INSPECTOR 2,6
1662,FIRE INSPECTOR AIDE,8
1663,FIRE INSPECTOR EMT,13
