agency,amount,state,origin,house_requestor,house_requestor2,house_requestor3,senate_requestor,senate_requestor2,senate_requestor2.1,senate_requestor4,party
Department of Education,500000,CA,H,Kim,,,Padilla,,,,D
Department of Transportation,1500000,,H,McNerney,,,Padilla,,,,D
Department of Housing and Urban Development,1500000,,H,Swalwell,,,Padilla,,,,D
Department of Housing and Urban Development,700000,,H,DeSaulnier,,,Padilla,,,,D
Department of Housing and Urban Development,1000000,,H,Bass,,,Padilla,,,,D
Department of Housing and Urban Development,1300000,,H,Carbajal,,,Padilla,,,,D
Department of Housing and Urban Development,1000000,,H,Ruiz,,,Padilla,,,,D
Department of Housing and Urban Development,1500000,,H,McNerney,,,Padilla,,,,D
Department of Housing and Urban Development,1000000,,H,Lieu,,,Padilla,,,,D
Department of Housing and Urban Development,2000000,,H,Lieu,,,Padilla,,,,D
Department of Housing and Urban Development,1000000,,H,LaMalfa,,,Padilla,,,,R
Department of Housing and Urban Development,1500000,,H,Napolitano,,,Padilla,,,,D
Department of Housing and Urban Development,1500000,,H,Napolitano,,,Padilla,,,,D
Department of Housing and Urban Development,300000,,H,McNerney,,,Padilla,,,,D
DOJ,5600000,,H,Carbajal,,,Padilla,,,,D
DOJ,4800000,,H,LaMalfa,,,Padilla,,,,R
DOJ,950000,,H,Brownley,,,Padilla,,,,D
Forest Service,225000,,H,Schiff,,,Padilla,,,,D
Department of Transportation,350000,,H,DeSaulnier,,,Padilla,,,,D
Environmental Protection Agency,375000,,H,Carbajal,,,Padilla,,,,D
Department of Transportation,700000,,H,Huffman,,,Padilla,,,,D
Environmental Protection Agency,938000,,H,Waters,,,Padilla,,,,D
Department of Transportation,1000000,,H,Aguilar,,,Padilla,,,,D
Environmental Protection Agency,1500000,,H,Matsui,,,Padilla,,,,D
Environmental Protection Agency,1500000,,H,Brownley,,,Padilla,,,,D
Department of Transportation,1500000,,H,Ruiz,,,Padilla,,,,D
Department of Transportation,2000000,,H,Swalwell,,,Padilla,,,,D
Department of Transportation,2200000,,H,Matsui,,,Padilla,,,,D
Environmental Protection Agency,2500000,,H,Sanchez,,,Padilla,,,,D
Department of Transportation,2725000,,H,Khanna,,,Padilla,,,,D
Environmental Protection Agency,3500000,,H,Swalwell,,,Padilla,,,,D
Department of Transportation,5000000,,H,Calvert,,,Padilla,,,,R
Department of Transportation,5000000,,H,Huffman,,,Padilla,,,,D
Department of Health & Human Services,1000000,,H,Lieu,,,Padilla,,,,D
Department of Health & Human Services,1000000,,H,Ruiz,,,Padilla,,,,D
Department of Health & Human Services,350000,,H,Ruiz,,,Padilla,,,,D
Department of Health & Human Services,1700000,,H,Matsui,,,Padilla,,,,D
Department of Health & Human Services,450000,,H,Swalwell,,,Padilla,,,,D
Department of Education,1000000,,H,Pelosi,,,Padilla,,,,D
Department of Education,975000,,H,Schiff,,,Padilla,,,,D
Rural Development,1000000,,H/S,McNerney,,,Padilla,,,,D
DOC,2000000,,H/S,Huffman,,,Padilla,,,,D
Department of Health & Human Services,1100000,,H/S,DeSaulnier,,,Padilla,,,,D
DOC,600000,,S,,,,Padilla,,,,D
FEMA,500000,,S,,,,Padilla,,,,D
Department of Transportation,5000000,,S,,,,Padilla,,,,D
Department of Transportation,5000000,,S,,,,Padilla,,,,D
Department of Transportation,1000000,,S,,,,Padilla,,,,D
Department of Housing and Urban Development,1000000,,S,,,,Padilla,,,,D
Department of Housing and Urban Development,2000000,,S,,,,Padilla,,,,D
DOJ,350000,,S,,,,Padilla,,,,D
Department of Transportation,2000000,,S,,,,Padilla,,,,D
Environmental Protection Agency,2400000,,S,,,,Padilla,,,,D
Department of Labor,1320000,,S,,,,Padilla,,,,D
Department of Labor,1500000,,S,,,,Padilla,,,,D
Department of Health & Human Services,1500000,,S,,,,Padilla,,,,D
Department of Health & Human Services,734000,,S,,,,Padilla,,,,D
Department of Education,1000000,,S,,,,Padilla,,,,D
Rural Development,1200000,,H,Bergman,,,Peters,Stabe- now,,,R
DOJ,715000,,H/S,Lawrence,,,Peters,Stabenow,,,D
DOJ,258000,,S,,,,Peters,Stabenow,,,D
DOJ,180000,,S,,,,Peters,Stabenow,,,D
DOJ,1503000,,S,,,,Peters,Stabenow,,,D
Department of Energy,680000,,S,,,,Peters,Stabenow,,,D
Environmental Protection Agency,4500000,MI,H/S,Levin,,,Peters,Stabenow,,,D
Environmental Protection Agency,1000000,,H,McClain,,,Peters,Stabenow,,,R
Environmental Protection Agency,1000000,,H,McClain,,,Peters,,,,R
Environmental Protection Agency,1000000,,H,McClain,,,Peters,Stabenow,,,R
Environmental Protection Agency,3500000,,H,Bergman,,,Peters,Stabenow,,,R
Department of Transportation,1294000,,H/S,Meijer,,,Peters,,,,R
Department of Health & Human Services,960000,,H/S,Moolenaar,,,Peters,,,,R
Department of Health & Human Services,400000,,H/S,Slotkin,,,Peters,,,,D
DOJ,350000,,S,,,,Peters,,,,D
Department of Transportation,300000,,S,,,,Peters,,,,D
Department of Transportation,300000,,S,,,,Peters,,,,D
Department of Housing and Urban Development,100000,,S,,,,Peters,,,,D
Department of Housing and Urban Development,750000,,S,,,,Peters,,,,D
Department of Housing and Urban Development,850000,,S,,,,Peters,,,,D
Department of Housing and Urban Development,1000000,,S,,,,Peters,,,,D
Rural Development,1500000,,S,,,,Peters,,,,D
Rural Development,750000,,S,,,,Peters,,,,D
DOJ,350000,,S,,,,Peters,,,,D
DOJ,235000,,S,,,,Peters,,,,D
Army Corps of Engineers (Civil),100000,,S,,,,Peters,Stabenow,,,D
Department of Energy,200000,,S,,,,Peters,,,,D
Department of Energy,350000,,S,,,,Peters,,,,D
National Archives and Records Administration,135000,,S,,,,Peters,Stabenow,,,D
Department of Transportation,500000,,S,,,,Peters,Stabenow,,,D
Department of Transportation,700000,,S,,,,Peters,,,,D
Environmental Protection Agency,970000,,S,,,,Peters,Stabenow,,,D
Environmental Protection Agency,1000000,,S,,,,Peters,Stabenow,,,D
Department of Transportation,1000000,,S,,,,Peters,Stabenow,,,D
Environmental Protection Agency,2000000,,S,,,,Peters,Stabenow,,,D
Department of Transportation,8183000,,S,,,,Peters,Stabenow,,,D
Department of Labor,610000,,S,,,,Peters,,,,D
Department of Health & Human Services,1000000,,S,,,,Peters,,,,D
Department of Education,600000,,S,,,,Peters,,,,D
Department of Health & Human Services,1600000,,S,,,,Peters,,,,D
Department of Health & Human Services,1500000,,S,,,,Peters,,,,D
Department of Education,1000000,,S,,,,Peters,,,,D
Department of Education,1100000,,S,,,,Peters,,,,D
Department of Education,3000000,,S,,,,Peters,,,,D
Rural Development,2000000,,H/S,Cicilline,,,Reed,White- house,,,D
DOJ,1201000,,S,,,,Reed,Whitehouse,,,D
DOC,1600000,,S,,,,Reed,Whitehouse,,,D
Department of Energy,2900000,,S,,,,Reed,Whitehouse,,,D
Department of Housing and Urban Development,295000,,H,Cicilline,,,Reed,,,,D
Department of Housing and Urban Development,400000,,H,Cicilline,,,Reed,,,,D
Department of Housing and Urban Development,500000,,H/S,Langevin,,,Reed,,,,D
DOC,1000000,,H/S,Langevin,,,Reed,,,,D
Department of Health & Human Services,1000000,,H/S,Langevin,,,Reed,,,,D
Department of Education,1060000,,H/S,Langevin,,,Reed,,,,D
Department of Education,500000,,H/S,Langevin,,,Reed,,,,D
DOJ,150000,,S,,,,Reed,,,,D
DOJ,120000,,S,,,,Reed,,,,D
DOC,250000,,S,,,,Reed,,,,D
DOJ,1375000,,S,,,,Reed,,,,D
DOJ,140000,,S,,,,Reed,,,,D
DOJ,900000,,S,,,,Reed,,,,D
Department of Transportation,2500000,,S,,,,Reed,,,,D
Department of Transportation,4000000,,S,,,,Reed,,,,D
Department of Housing and Urban Development,200000,,S,,,,Reed,,,,D
Department of Housing and Urban Development,1000000,,S,,,,Reed,,,,D
Department of Housing and Urban Development,1082000,,S,,,,Reed,,,,D
Department of Housing and Urban Development,2000000,,S,,,,Reed,,,,D
Department of Housing and Urban Development,3000000,,S,,,,Reed,,,,D
Department of Housing and Urban Development,5000000,,S,,,,Reed,,,,D
Rural Development,2000000,,S,,,,Reed,,,,D
Rural Development,150000,,S,,,,Reed,,,,D
Natural Resources Conservation Service,290000,,S,,,,Reed,,,,D
DOC,1000000,,S,,,,Reed,,,,D
DOC,300000,,S,,,,Reed,,,,D
Army Corps of Engineers (Civil),50000,,S,,,,Reed,,,,D
Army Corps of Engineers (Civil),50000,,S,,,,Reed,Whitehouse,,,D
Army Corps of Engineers (Civil),125000,,S,,,,Reed,,,,D
Army Corps of Engineers (Civil),225000,,S,,,,Reed,,,,D
Department of Energy,5000000,,S,,,,Reed,,,,D
National Park Service,100000,,S,,,,Reed,,,,D
Small Business Administration,275000,,S,,,,Reed,,,,D
Environmental Protection Agency,325000,,S,,,,Reed,,,,D
Environmental Protection Agency,375000,,S,,,,Reed,Whitehouse,,,D
Small Business Administration,475000,,S,,,,Reed,,,,D
National Archives and Records Administration,500000,,S,,,,Reed,,,,D
National Park Service,500000,,S,,,,Reed,,,,D
Environmental Protection Agency,775000,,S,,,,Reed,Whitehouse,,,D
Small Business Administration,1000000,,S,,,,Reed,,,,D
Department of Transportation,1000000,,S,,,,Reed,,,,D
Environmental Protection Agency,1175000,,S,,,,Reed,,,,D
Navy,1200000,,S,,,,Reed,,,,D
Environmental Protection Agency,1350000,,S,,,,Reed,Whitehouse,,,D
Navy,1400000,,S,,,,Reed,,,,D
Environmental Protection Agency,1500000,,S,,,,Reed,Whitehouse,,,D
Navy,1700000,,S,,,,Reed,,,,D
Department of Transportation,2500000,,S,,,,Reed,,,,D
Environmental Protection Agency,3200000,,S,,,,Reed,Whitehouse,,,D
Department of Transportation,3200000,,S,,,,Reed,,,,D
Environmental Protection Agency,3300000,,S,,,,Reed,Whitehouse,,,D
Department of Transportation,3400000,,S,,,,Reed,,,,D
Navy,4000000,,S,,,,Reed,,,,D
Department of Transportation,5000000,,S,,,,Reed,,,,D
Department of Transportation,6600000,,S,,,,Reed,,,,D
Department of Labor,500000,,S,,,,Reed,,,,D
Department of Labor,230000,,S,,,,Reed,,,,D
Department of Labor,100000,,S,,,,Reed,,,,D
Department of Health & Human Services,200000,,S,,,,Reed,,,,D
Department of Health & Human Services,100000,,S,,,,Reed,,,,D
Department of Health & Human Services,750000,,S,,,,Reed,,,,D
Department of Education,100000,,S,,,,Reed,,,,D
Department of Education,100000,,S,,,,Reed,,,,D
Department of Education,100000,,S,,,,Reed,,,,D
Department of Education,100000,,S,,,,Reed,,,,D
Department of Education,850000,,S,,,,Reed,,,,D
Department of Education,1200000,,S,,,,Reed,,,,D
Department of Labor,3000000,,S,,,,Reed,,,,D
Department of Labor,140000,,S,,,,Reed,,,,D
Department of Labor,175000,,S,,,,Reed,,,,D
Department of Labor,3700000,,S,,,,Reed,,,,D
Department of Labor,1250000,,S,,,,Reed,,,,D
Department of Health & Human Services,750000,,S,,,,Reed,,,,D
Department of Health & Human Services,300000,,S,,,,Reed,,,,D
Department of Health & Human Services,1498000,,S,,,,Reed,,,,D
Department of Health & Human Services,300000,,S,,,,Reed,,,,D
Department of Housing and Urban Development,2406000,,S,,,,Rounds,,,,R
Army Corps of Engineers (Civil),200000,,S,,,,Rounds,,,,R
Department of Transportation,17000000,,S,,,,Rounds,,,,R
Department of Housing and Urban Development,1277000,,H/S,Welch,,,Sanders,,,,D
DOJ,4500000,,S,,,,Sanders,,,,I
FEMA,151000,,S,,,,Sanders,,,,I
Department of Transportation,800000,,S,,,,Sanders,,,,I
Department of Housing and Urban Development,200000,,S,,,,Sanders,,,,I
Department of Housing and Urban Development,1000000,,S,,,,Sanders,,,,I
Department of Housing and Urban Development,1300000,,S,,,,Sanders,,,,I
Department of Housing and Urban Development,1575000,,S,,,,Sanders,,,,I
Rural Development,189000,,S,,,,Sanders,,,,I
Rural Development,125000,,S,,,,Sanders,,,,I
Natural Resources Conservation Service,500000,,S,,,,Sanders,,,,I
Rural Development,500000,,S,,,,Sanders,,,,I
Department of Energy,150000,,S,,,,Sanders,,,,I
Department of Energy,1000000,,S,,,,Sanders,,,,I
Department of Energy,1000000,,S,,,,Sanders,,,,I
Small Business Administration,100000,,S,,,,Sanders,,,,I
Environmental Protection Agency,143000,,S,,,,Sanders,,,,I
Small Business Administration,158000,,S,,,,Sanders,,,,I
Small Business Administration,200000,,S,,,,Sanders,,,,I
National Park Service,221000,,S,,,,Sanders,,,,I
Small Business Administration,250000,,S,,,,Sanders,,,,I
National Archives and Records Administration,350000,,S,,,,Sanders,,,,I
National Park Service,400000,,S,,,,Sanders,,,,I
Environmental Protection Agency,500000,,S,,,,Sanders,,,,I
Environmental Protection Agency,600000,,S,,,,Sanders,,,,I
Department of Transportation,2000000,,S,,,,Sanders,,,,I
Environmental Protection Agency,2800000,,S,,,,Sanders,,,,I
Department of Labor,1000000,,S,,,,Sanders,,,,I
Department of Health & Human Services,149000,,S,,,,Sanders,,,,I
Department of Health & Human Services,160000,,S,,,,Sanders,,,,I
Department of Health & Human Services,350000,,S,,,,Sanders,,,,I
Department of Health & Human Services,200000,,S,,,,Sanders,,,,I
Department of Health & Human Services,1334000,,S,,,,Sanders,,,,I
Department of Health & Human Services,46000,,S,,,,Sanders,,,,I
Department of Health & Human Services,200000,,S,,,,Sanders,,,,I
Department of Health & Human Services,199000,,S,,,,Sanders,,,,I
Department of Health & Human Services,50000,,S,,,,Sanders,,,,I
Department of Health & Human Services,549000,,S,,,,Sanders,,,,I
Department of Health & Human Services,1000000,,S,,,,Sanders,,,,I
Department of Health & Human Services,515000,,S,,,,Sanders,,,,I
Department of Health & Human Services,220000,,S,,,,Sanders,,,,I
Department of Health & Human Services,395000,,S,,,,Sanders,,,,I
Department of Health & Human Services,77000,,S,,,,Sanders,,,,I
Department of Health & Human Services,503000,,S,,,,Sanders,,,,I
Department of Health & Human Services,600000,,S,,,,Sanders,,,,I
Department of Education,458000,,S,,,,Sanders,,,,I
Department of Education,883000,,S,,,,Sanders,,,,I
Department of Health & Human Services,1000000,,H,Case,,,Schatz,,,,D
Department of Health & Human Services,2000000,,H/S,Case,,,Schatz,,,,D
DOC,2100000,,S,,,,Schatz,,,,D
DOC,1500000,,S,,,,Schatz,,,,D
FEMA,1805000,,S,,,,Schatz,,,,D
Department of Transportation,10000000,,S,,,,Schatz,,,,D
Department of Housing and Urban Development,2698000,,S,,,,Schatz,,,,D
Department of Housing and Urban Development,3500000,,S,,,,Schatz,,,,D
Animal and Plant Health Inspection Service,600000,,S,,,,Schatz,,,,D
DOJ,367000,,S,,,,Schatz,,,,D
DOC,445000,,S,,,,Schatz,,,,D
DOC,445000,,S,,,,Schatz,,,,D
DOC,141000,,S,,,,Schatz,,,,D
Department of Energy,1000000,,S,,,,Schatz,,,,D
Fish and Wildlife Service,350000,,S,,,,Schatz,,,,D
Fish and Wildlife Service,900000,,S,,,,Schatz,,,,D
Fish and Wildlife Service,955000,,S,,,,Schatz,,,,D
Department of Transportation,1960000,,S,,,,Schatz,,,,D
Department of Transportation,23000000,,S,,,,Schatz,,,,D
Department of Labor,270000,,S,,,,Schatz,,,,D
Department of Health & Human Services,3000000,,S,,,,Schatz,,,,D
Department of Health & Human Services,475000,,S,,,,Schatz,,,,D
Department of Health & Human Services,383000,,S,,,,Schatz,,,,D
Department of Health & Human Services,3000000,,S,,,,Schatz,,,,D
Department of Health & Human Services,300000,,S,,,,Schatz,,,,D
Department of Health & Human Services,200000,,S,,,,Schatz,,,,D
Department of Education,430000,,S,,,,Schatz,,,,D
Department of Education,2000000,,S,,,,Schatz,,,,D
Department of Education,791000,,S,,,,Schatz,,,,D
Department of Education,100000,,S,,,,Schatz,,,,D
Department of Housing and Urban Development,900000,NY,H,Jacobs,,,Schumer,,,,D
Department of Housing and Urban Development,500000,NY,H,Torres,,,Schumer,,,,D
Rural Development,379432,NY,H,Jacobs,,,Schumer,,,,D
Environmental Protection Agency,1000000,NY,H,Rice,,,Schumer,,,,D
Department of Health & Human Services,2000000,NY,H,Jacobs,,,Schumer,,,,D
Department of Health & Human Services,975000,NY,H,Clarke,,,Schumer,,,,D
Department of Housing and Urban Development,1000000,,H,Espaillat,,,Schumer,,,,D
Department of Housing and Urban Development,494000,,H,Malliotakis,,,Schumer,,,,R
Department of Housing and Urban Development,3000000,,H,Katko,,,Schumer,,,,R
Environmental Protection Agency,160000,,H,Katko,,,Schumer,,,,R
Environmental Protection Agency,640000,,H,Reed,,,Schumer,,,,R
Environmental Protection Agency,1800000,,H,"Maloney, Sean",,,Schumer,,,,D
Department of Transportation,2000000,,H,Tenney,,,Schumer,,,,R
Environmental Protection Agency,3000000,,H,Tenney,,,Schumer,,,,R
Environmental Protection Agency,3000000,,H,Tenney,,,Schumer,,,,R
Department of Transportation,3000000,,H,Stefanik,,,Schumer,,,,R
Environmental Protection Agency,3500000,,H,"Maloney, Sean",,,Schumer,,,,D
Department of Labor,1000000,,H,"Maloney, Carolyn B.",,,Schumer,,,,D
Department of Labor,525000,,H,Morelle,,,Schumer,,,,D
Department of Health & Human Services,100000,,H,Garbarino,,,Schumer,,,,R
Department of Health & Human Services,875000,,H,"Jeffries, Clarke",,,Schumer,,,,D
Department of Health & Human Services,925000,,H,"Maloney, Carolyn B.",,,Schumer,,,,D
Department of Health & Human Services,1500000,,H,Meeks,,,Schumer,,,,D
Department of Health & Human Services,3350000,,H,"Espaillat, Torres",,,Schumer,,,,D
Department of Health & Human Services,1000000,,H,Meng,,,Schumer,,,,D
Department of Health & Human Services,180000,,H,Katko,,,Schumer,,,,R
Department of Health & Human Services,1000000,,H,Stefanik,,,Schumer,,,,R
Department of Health & Human Services,2000000,,H,Suozzi,,,Schumer,,,,D
Department of Health & Human Services,1815000,,H,Malliotakis,,,Schumer,,,,R
Department of Health & Human Services,1000000,,H,Morelle,,,Schumer,,,,D
Department of Health & Human Services,1500000,,H,Jones,,,Schumer,,,,D
Department of Health & Human Services,750000,,H,Tonko,,,Schumer,,,,D
Department of Health & Human Services,1250000,,H,Meeks,,,Schumer,,,,D
Department of Housing and Urban Development,3000000,,H/S,Jeffries,,,Schumer,,,,D
Department of Housing and Urban Development,3000000,,H/S,Tonko,,,Schumer,,,,D
Rural Development,100000,,H/S,Delgado,,,Schumer,,,,D
Department of Labor,800000,,H/S,"Ocasio-Cortez, Suozzi",,,Schumer,,,,D
Department of Health & Human Services,225000,,H/S,Morelle,,,Schumer,,,,D
DOC,984000,,S,,,,Schumer,,,,D
FEMA,2000000,,S,,,,Schumer,,,,D
FEMA,250000,,S,,,,Schumer,,,,D
Department of Transportation,656000,,S,,,,Schumer,,,,D
Department of Housing and Urban Development,300000,,S,,,,Schumer,,,,D
Department of Housing and Urban Development,300000,,S,,,,Schumer,,,,D
Department of Housing and Urban Development,400000,,S,,,,Schumer,,,,D
Department of Housing and Urban Development,450000,,S,,,,Schumer,,,,D
Department of Housing and Urban Development,480000,,S,,,,Schumer,,,,D
Department of Housing and Urban Development,800000,,S,,,,Schumer,,,,D
Department of Housing and Urban Development,900000,,S,,,,Schumer,,,,D
Department of Housing and Urban Development,1500000,,S,,,,Schumer,,,,D
Department of Housing and Urban Development,2000000,,S,,,,Schumer,,,,D
Department of Housing and Urban Development,2000000,,S,,,,Schumer,,,,D
Rural Development,2750113,,S,,,,Schumer,,,,D
Rural Development,89000,,S,,,,Schumer,,,,D
Rural Development,315000,,S,,,,Schumer,,,,D
Rural Development,1973000,,S,,,,Schumer,,,,D
Rural Development,605000,,S,,,,Schumer,,,,D
Rural Development,44000,,S,,,,Schumer,,,,D
DOJ,750000,,S,,,,Schumer,,,,D
DOJ,250000,,S,,,,Schumer,,,,D
DOJ,4990000,,S,,,,Schumer,,,,D
Department of Energy,50000,,S,,,,Schumer,,,,D
Army Corps of Engineers (Civil),100000,,S,,,,Schumer,,,,D
Army Corps of Engineers (Civil),100000,,S,Jacobs,,,Schumer,,,,D
Army Corps of Engineers (Civil),100000,,S,,,,Schumer,,,,D
Army Corps of Engineers (Civil),300000,,S,,,,Schumer,,,,D
Army Corps of Engineers (Civil),1000000,,S,,,,Schumer,,,,D
National Archives and Records Administration,60000,,S,,,,Schumer,,,,D
National Park Service,400000,,S,,,,Schumer,,,,D
National Park Service,500000,,S,,,,Schumer,,,,D
National Park Service,500000,,S,,,,Schumer,,,,D
Environmental Protection Agency,1500000,,S,,,,Schumer,,,,D
Environmental Protection Agency,3200000,,S,,,,Schumer,,,,D
Department of Labor,200000,,S,,,,Schumer,,,,D
Department of Health & Human Services,990000,,S,,,,Schumer,,,,D
Department of Health & Human Services,10000000,,S,,,,Schumer,,,,D
Department of Health & Human Services,200000,,S,,,,Schumer,,,,D
Department of Education,200000,,S,,,,Schumer,,,,D
Rural Development,1650000,,H,Pappas,,,Shaheen,,,,D
Fish and Wildlife Service,3700000,,H,Kuster,,,Shaheen,,,,D
Department of Health & Human Services,500000,,H,Kuster,,,Shaheen,,,,D
Department of Health & Human Services,750000,,H,Pappas,,,Shaheen,,,,D
DOJ,752000,,H/S,Pappas,,,Shaheen,,,,D
DOJ,750000,,S,,,,Shaheen,,,,D
DOJ,900000,,S,,,,Shaheen,,,,D
DOJ,232000,,S,,,,Shaheen,,,,D
DOC,1000000,,S,,,,Shaheen,,,,D
DOJ,70000,,S,,,,Shaheen,,,,D
DOJ,15000,,S,,,,Shaheen,,,,D
DOC,50000,,S,,,,Shaheen,,,,D
DOC,3813000,,S,,,,Shaheen,,,,D
DOJ,415000,,S,,,,Shaheen,,,,D
NASA,348000,,S,,,,Shaheen,,,,D
DOJ,95000,,S,,,,Shaheen,,,,D
FEMA,200000,,S,,,,Shaheen,,,,D
FEMA,543000,,S,,,,Shaheen,,,,D
Department of Housing and Urban Development,250000,,S,,,,Shaheen,,,,D
Department of Housing and Urban Development,343000,,S,,,,Shaheen,,,,D
Department of Housing and Urban Development,556000,,S,,,,Shaheen,,,,D
Department of Housing and Urban Development,771000,,S,,,,Shaheen,,,,D
Department of Housing and Urban Development,900000,,S,,,,Shaheen,,,,D
Department of Housing and Urban Development,950000,,S,,,,Shaheen,,,,D
Department of Housing and Urban Development,970000,,S,,,,Shaheen,,,,D
Department of Housing and Urban Development,1000000,,S,,,,Shaheen,,,,D
Department of Housing and Urban Development,1000000,,S,,,,Shaheen,,,,D
Department of Housing and Urban Development,1000000,,S,,,,Shaheen,,,,D
Department of Housing and Urban Development,1000000,,S,,,,Shaheen,,,,D
Rural Development,175000,,S,,,,Shaheen,,,,D
Rural Development,200000,,S,,,,Shaheen,,,,D
Rural Development,200000,,S,,,,Shaheen,,,,D
Rural Development,100000,,S,,,,Shaheen,,,,D
Rural Development,200000,,S,,,,Shaheen,,,,D
Rural Development,200000,,S,,,,Shaheen,,,,D
DOJ,1224000,,S,,,,Shaheen,,,,D
DOJ,500000,,S,,,,Shaheen,,,,D
DOC,1000000,,S,,,,Shaheen,,,,D
DOJ,1472000,,S,,,,Shaheen,,,,D
NASA,501000,,S,,,,Shaheen,,,,D
Department of Energy,250000,,S,,,,Shaheen,,,,D
Department of Energy,271000,,S,,,,Shaheen,,,,D
Department of Energy,500000,,S,,,,Shaheen,,,,D
Department of Energy,500000,,S,,,,Shaheen,,,,D
Department of Energy,1150000,,S,,,,Shaheen,,,,D
Environmental Protection Agency,325000,,S,,,,Shaheen,,,,D
National Park Service,500000,,S,,,,Shaheen,,,,D
National Park Service,500000,,S,,,,Shaheen,,,,D
Department of Transportation,650000,,S,,,,Shaheen,,,,D
Environmental Protection Agency,750000,,S,,,,Shaheen,,,,D
Environmental Protection Agency,900000,,S,,,,Shaheen,,,,D
Environmental Protection Agency,1000000,,S,,,,Shaheen,,,,D
Department of Transportation,1000000,,S,,,,Shaheen,,,,D
Environmental Protection Agency,1050000,,S,,,,Shaheen,,,,D
Forest Service,1125000,,S,,,,Shaheen,,,,D
Environmental Protection Agency,1470000,,S,,,,Shaheen,,,,D
Environmental Protection Agency,1936000,,S,,,,Shaheen,,,,D
Department of Transportation,9350000,,S,,,,Shaheen,,,,D
Department of Health & Human Services,500000,,S,,,,Shaheen,,,,D
Department of Health & Human Services,2000000,,S,,,,Shaheen,,,,D
Department of Health & Human Services,500000,,S,,,,Shaheen,,,,D
Department of Health & Human Services,1000000,,S,,,,Shaheen,,,,D
Department of Health & Human Services,1500000,,S,,,,Shaheen,,,,D
Department of Health & Human Services,1500000,,S,,,,Shaheen,,,,D
Department of Health & Human Services,448000,,S,,,,Shaheen,,,,D
Department of Health & Human Services,1000000,,S,,,,Shaheen,,,,D
Department of Health & Human Services,192000,,S,,,,Shaheen,,,,D
Department of Health & Human Services,1000000,,S,,,,Shaheen,,,,D
Department of Health & Human Services,2000000,,S,,,,Shaheen,,,,D
Department of Health & Human Services,500000,,S,,,,Shaheen,,,,D
Department of Health & Human Services,25000,,S,,,,Shaheen,,,,D
Department of Health & Human Services,350000,,S,,,,Shaheen,,,,D
Department of Health & Human Services,150000,,S,,,,Shaheen,,,,D
Department of Health & Human Services,100000,,S,,,,Shaheen,,,,D
Department of Education,325000,,S,,,,Shaheen,,,,D
Department of Education,1000000,,S,,,,Shaheen,,,,D
Department of Education,782000,,S,,,,Shaheen,,,,D
Department of Education,170000,,S,,,,Shaheen,,,,D
Department of Education,250000,,S,,,,Shaheen,,,,D
Department of Education,233000,,S,,,,Shaheen,,,,D
Army Corps of Engineers (Civil),3023000,,H/S,Carl,,,Shelby,,,,R
Department of Transportation,67300000,,S,,,,Shelby,,,,R
Department of Housing and Urban Development,132700000,,S,,,,Shelby,,,,R
DOC,60000000,,S,,,,Shelby,,,,R
Army Corps of Engineers (Civil),400000,,S,,,,Shelby,,,,R
Army Corps of Engineers (Civil),2000000,,S,,,,Shelby,,,,R
Army Corps of Engineers (Civil),3000000,,S,,,,Shelby,,,,R
Army Corps of Engineers (Civil),3200000,,S,,,,Shelby,,,,R
Army Corps of Engineers (Civil),4000000,,S,,,,Shelby,,,,R
Army Corps of Engineers (Civil),4493000,,S,,,,Shelby,,,,R
Army Corps of Engineers (Civil),4972000,,S,,,,Shelby,,,,R
Army Corps of Engineers (Civil),8380000,,S,,,,Shelby,,,,R
Army Corps of Engineers (Civil),32000000,,S,,,,Shelby,,,,R
Department of Transportation,100000000,,S,,,,Shelby,,,,R
Department of Health & Human Services,76000000,,S,,,,Shelby,,,,R
Department of Education,50000000,,S,,,,Shelby,,,,R
Environmental Protection Agency,990000,,H,Stanton,,,Sinema,,,,D
Department of Health & Human Services,900000,,H,Gallego,,,Sinema,,,,D
Department of Education,175000,,H,Gallego,,,Sinema,,,,D
Department of Transportation,2745000,,S,,,,Sinema,,,,D
Rural Development,240000,,S,,,,Sinema,,,,D
National Park Service,500000,,S,,,,Sinema,,,,D
Department of Transportation,2070000,,S,,,,Sinema,,,,D
Department of Education,1000000,,S,,,,Sinema,,,,D
Small Business Administration,1000000,,H,Omar,,,Smith,,,,D
Department of Transportation,2000000,,H,Emmer,,,Smith,,,,R
Department of Health & Human Services,140000,,H,Phillips,,,Smith,,,,D
Department of Transportation,5000000,,S,,,,Smith,,,,D
Department of Housing and Urban Development,300000,,S,,,,Smith,,,,D
Department of Housing and Urban Development,1500000,,S,,,,Smith,,,,D
Rural Development,193000,,S,,,,Smith,,,,D
DOJ,305000,,S,,,,Smith,,,,D
Department of Labor,350000,,S,,,,Smith,,,,D
Department of Health & Human Services,136000,,S,,,,Smith,,,,D
Department of Health & Human Services,1000000,,S,,,,Smith,,,,D
Department of Education,449000,,S,,,,Smith,,,,D
Department of Education,400000,,S,,,,Smith,,,,D
Department of Education,14000,,S,,,,Smith,,,,D
Department of Transportation,2355200,,H,Meijer,,,Stabenow,,,,R
Department of Housing and Urban Development,500000,,H,Moolenaar,,,Stabenow,,,,R
Environmental Protection Agency,750000,,H,Moolenaar,,,Stabenow,,,,R
