date,value,month,month_year,series,series_name,unit
2017-11-01,4.2,November,2017-11,LNS14000000,unemployment rate,rate
2017-10-01,4.2,October,2017-10,LNS14000000,unemployment rate,rate
2017-09-01,4.3,September,2017-09,LNS14000000,unemployment rate,rate
2017-08-01,4.4,August,2017-08,LNS14000000,unemployment rate,rate
2017-07-01,4.3,July,2017-07,LNS14000000,unemployment rate,rate
2017-06-01,4.3,June,2017-06,LNS14000000,unemployment rate,rate
2017-05-01,4.4,May,2017-05,LNS14000000,unemployment rate,rate
2017-04-01,4.4,April,2017-04,LNS14000000,unemployment rate,rate
2017-03-01,4.4,March,2017-03,LNS14000000,unemployment rate,rate
2017-02-01,4.6,February,2017-02,LNS14000000,unemployment rate,rate
2017-01-01,4.7,January,2017-01,LNS14000000,unemployment rate,rate
2016-12-01,4.7,December,2016-12,LNS14000000,unemployment rate,rate
2016-11-01,4.7,November,2016-11,LNS14000000,unemployment rate,rate
2016-10-01,4.9,October,2016-10,LNS14000000,unemployment rate,rate
2016-09-01,5.0,September,2016-09,LNS14000000,unemployment rate,rate
2016-08-01,4.9,August,2016-08,LNS14000000,unemployment rate,rate
2016-07-01,4.8,July,2016-07,LNS14000000,unemployment rate,rate
2016-06-01,4.9,June,2016-06,LNS14000000,unemployment rate,rate
2016-05-01,4.8,May,2016-05,LNS14000000,unemployment rate,rate
2016-04-01,5.1,April,2016-04,LNS14000000,unemployment rate,rate
2016-03-01,5.0,March,2016-03,LNS14000000,unemployment rate,rate
2016-02-01,4.9,February,2016-02,LNS14000000,unemployment rate,rate
2016-01-01,4.8,January,2016-01,LNS14000000,unemployment rate,rate
2015-12-01,5.0,December,2015-12,LNS14000000,unemployment rate,rate
2015-11-01,5.1,November,2015-11,LNS14000000,unemployment rate,rate
2015-10-01,5.0,October,2015-10,LNS14000000,unemployment rate,rate
2015-09-01,5.0,September,2015-09,LNS14000000,unemployment rate,rate
2015-08-01,5.1,August,2015-08,LNS14000000,unemployment rate,rate
2015-07-01,5.2,July,2015-07,LNS14000000,unemployment rate,rate
2015-06-01,5.3,June,2015-06,LNS14000000,unemployment rate,rate
2015-05-01,5.6,May,2015-05,LNS14000000,unemployment rate,rate
2015-04-01,5.4,April,2015-04,LNS14000000,unemployment rate,rate
2015-03-01,5.4,March,2015-03,LNS14000000,unemployment rate,rate
2015-02-01,5.5,February,2015-02,LNS14000000,unemployment rate,rate
2015-01-01,5.7,January,2015-01,LNS14000000,unemployment rate,rate
2014-12-01,5.6,December,2014-12,LNS14000000,unemployment rate,rate
2014-11-01,5.8,November,2014-11,LNS14000000,unemployment rate,rate
2014-10-01,5.7,October,2014-10,LNS14000000,unemployment rate,rate
2014-09-01,5.9,September,2014-09,LNS14000000,unemployment rate,rate
2014-08-01,6.1,August,2014-08,LNS14000000,unemployment rate,rate
2014-07-01,6.2,July,2014-07,LNS14000000,unemployment rate,rate
2014-06-01,6.1,June,2014-06,LNS14000000,unemployment rate,rate
2014-05-01,6.3,May,2014-05,LNS14000000,unemployment rate,rate
2014-04-01,6.2,April,2014-04,LNS14000000,unemployment rate,rate
2014-03-01,6.7,March,2014-03,LNS14000000,unemployment rate,rate
2014-02-01,6.7,February,2014-02,LNS14000000,unemployment rate,rate
2014-01-01,6.6,January,2014-01,LNS14000000,unemployment rate,rate
2013-12-01,6.7,December,2013-12,LNS14000000,unemployment rate,rate
2013-11-01,6.9,November,2013-11,LNS14000000,unemployment rate,rate
2013-10-01,7.2,October,2013-10,LNS14000000,unemployment rate,rate
2013-09-01,7.2,September,2013-09,LNS14000000,unemployment rate,rate
2013-08-01,7.2,August,2013-08,LNS14000000,unemployment rate,rate
2013-07-01,7.3,July,2013-07,LNS14000000,unemployment rate,rate
2013-06-01,7.5,June,2013-06,LNS14000000,unemployment rate,rate
2013-05-01,7.5,May,2013-05,LNS14000000,unemployment rate,rate
2013-04-01,7.6,April,2013-04,LNS14000000,unemployment rate,rate
2013-03-01,7.5,March,2013-03,LNS14000000,unemployment rate,rate
2013-02-01,7.7,February,2013-02,LNS14000000,unemployment rate,rate
2013-01-01,8.0,January,2013-01,LNS14000000,unemployment rate,rate
2012-12-01,7.9,December,2012-12,LNS14000000,unemployment rate,rate
2012-11-01,7.7,November,2012-11,LNS14000000,unemployment rate,rate
2012-10-01,7.8,October,2012-10,LNS14000000,unemployment rate,rate
2012-09-01,7.8,September,2012-09,LNS14000000,unemployment rate,rate
2012-08-01,8.1,August,2012-08,LNS14000000,unemployment rate,rate
2012-07-01,8.2,July,2012-07,LNS14000000,unemployment rate,rate
2012-06-01,8.2,June,2012-06,LNS14000000,unemployment rate,rate
2012-05-01,8.2,May,2012-05,LNS14000000,unemployment rate,rate
2012-04-01,8.2,April,2012-04,LNS14000000,unemployment rate,rate
2012-03-01,8.2,March,2012-03,LNS14000000,unemployment rate,rate
2012-02-01,8.3,February,2012-02,LNS14000000,unemployment rate,rate
2012-01-01,8.3,January,2012-01,LNS14000000,unemployment rate,rate
2011-12-01,8.5,December,2011-12,LNS14000000,unemployment rate,rate
2011-11-01,8.6,November,2011-11,LNS14000000,unemployment rate,rate
2011-10-01,8.8,October,2011-10,LNS14000000,unemployment rate,rate
2011-09-01,9.0,September,2011-09,LNS14000000,unemployment rate,rate
2011-08-01,9.0,August,2011-08,LNS14000000,unemployment rate,rate
2011-07-01,9.0,July,2011-07,LNS14000000,unemployment rate,rate
2011-06-01,9.1,June,2011-06,LNS14000000,unemployment rate,rate
2011-05-01,9.0,May,2011-05,LNS14000000,unemployment rate,rate
2011-04-01,9.1,April,2011-04,LNS14000000,unemployment rate,rate
2011-03-01,9.0,March,2011-03,LNS14000000,unemployment rate,rate
2011-02-01,9.0,February,2011-02,LNS14000000,unemployment rate,rate
2011-01-01,9.1,January,2011-01,LNS14000000,unemployment rate,rate
2010-12-01,9.3,December,2010-12,LNS14000000,unemployment rate,rate
2010-11-01,9.8,November,2010-11,LNS14000000,unemployment rate,rate
2010-10-01,9.4,October,2010-10,LNS14000000,unemployment rate,rate
2010-09-01,9.5,September,2010-09,LNS14000000,unemployment rate,rate
2010-08-01,9.5,August,2010-08,LNS14000000,unemployment rate,rate
2010-07-01,9.4,July,2010-07,LNS14000000,unemployment rate,rate
2010-06-01,9.4,June,2010-06,LNS14000000,unemployment rate,rate
2010-05-01,9.6,May,2010-05,LNS14000000,unemployment rate,rate
2010-04-01,9.9,April,2010-04,LNS14000000,unemployment rate,rate
2010-03-01,9.9,March,2010-03,LNS14000000,unemployment rate,rate
2010-02-01,9.8,February,2010-02,LNS14000000,unemployment rate,rate
2010-01-01,9.8,January,2010-01,LNS14000000,unemployment rate,rate
2009-12-01,9.9,December,2009-12,LNS14000000,unemployment rate,rate
2009-11-01,9.9,November,2009-11,LNS14000000,unemployment rate,rate
2009-10-01,10.0,October,2009-10,LNS14000000,unemployment rate,rate
2009-09-01,9.8,September,2009-09,LNS14000000,unemployment rate,rate
2009-08-01,9.6,August,2009-08,LNS14000000,unemployment rate,rate
2009-07-01,9.5,July,2009-07,LNS14000000,unemployment rate,rate
2009-06-01,9.5,June,2009-06,LNS14000000,unemployment rate,rate
2009-05-01,9.4,May,2009-05,LNS14000000,unemployment rate,rate
2009-04-01,9.0,April,2009-04,LNS14000000,unemployment rate,rate
2009-03-01,8.7,March,2009-03,LNS14000000,unemployment rate,rate
2009-02-01,8.3,February,2009-02,LNS14000000,unemployment rate,rate
2009-01-01,7.8,January,2009-01,LNS14000000,unemployment rate,rate
2008-12-01,7.3,December,2008-12,LNS14000000,unemployment rate,rate
2008-11-01,6.8,November,2008-11,LNS14000000,unemployment rate,rate
2008-10-01,6.5,October,2008-10,LNS14000000,unemployment rate,rate
2008-09-01,6.1,September,2008-09,LNS14000000,unemployment rate,rate
2008-08-01,6.1,August,2008-08,LNS14000000,unemployment rate,rate
2008-07-01,5.8,July,2008-07,LNS14000000,unemployment rate,rate
2008-06-01,5.6,June,2008-06,LNS14000000,unemployment rate,rate
2008-05-01,5.4,May,2008-05,LNS14000000,unemployment rate,rate
2008-04-01,5.0,April,2008-04,LNS14000000,unemployment rate,rate
2008-03-01,5.1,March,2008-03,LNS14000000,unemployment rate,rate
2008-02-01,4.9,February,2008-02,LNS14000000,unemployment rate,rate
2008-01-01,5.0,January,2008-01,LNS14000000,unemployment rate,rate
2007-12-01,5.0,December,2007-12,LNS14000000,unemployment rate,rate
2007-11-01,4.7,November,2007-11,LNS14000000,unemployment rate,rate
2007-10-01,4.7,October,2007-10,LNS14000000,unemployment rate,rate
2007-09-01,4.7,September,2007-09,LNS14000000,unemployment rate,rate
2007-08-01,4.6,August,2007-08,LNS14000000,unemployment rate,rate
2007-07-01,4.7,July,2007-07,LNS14000000,unemployment rate,rate
2007-06-01,4.6,June,2007-06,LNS14000000,unemployment rate,rate
2007-05-01,4.4,May,2007-05,LNS14000000,unemployment rate,rate
2007-04-01,4.5,April,2007-04,LNS14000000,unemployment rate,rate
2007-03-01,4.4,March,2007-03,LNS14000000,unemployment rate,rate
2007-02-01,4.5,February,2007-02,LNS14000000,unemployment rate,rate
2007-01-01,4.6,January,2007-01,LNS14000000,unemployment rate,rate
2006-12-01,4.4,December,2006-12,LNS14000000,unemployment rate,rate
2006-11-01,4.5,November,2006-11,LNS14000000,unemployment rate,rate
2006-10-01,4.4,October,2006-10,LNS14000000,unemployment rate,rate
2006-09-01,4.5,September,2006-09,LNS14000000,unemployment rate,rate
2006-08-01,4.7,August,2006-08,LNS14000000,unemployment rate,rate
2006-07-01,4.7,July,2006-07,LNS14000000,unemployment rate,rate
2006-06-01,4.6,June,2006-06,LNS14000000,unemployment rate,rate
2006-05-01,4.6,May,2006-05,LNS14000000,unemployment rate,rate
2006-04-01,4.7,April,2006-04,LNS14000000,unemployment rate,rate
2006-03-01,4.7,March,2006-03,LNS14000000,unemployment rate,rate
2006-02-01,4.8,February,2006-02,LNS14000000,unemployment rate,rate
2006-01-01,4.7,January,2006-01,LNS14000000,unemployment rate,rate
2005-12-01,4.9,December,2005-12,LNS14000000,unemployment rate,rate
2005-11-01,5.0,November,2005-11,LNS14000000,unemployment rate,rate
2005-10-01,5.0,October,2005-10,LNS14000000,unemployment rate,rate
2005-09-01,5.0,September,2005-09,LNS14000000,unemployment rate,rate
2005-08-01,4.9,August,2005-08,LNS14000000,unemployment rate,rate
2005-07-01,5.0,July,2005-07,LNS14000000,unemployment rate,rate
2005-06-01,5.0,June,2005-06,LNS14000000,unemployment rate,rate
2005-05-01,5.1,May,2005-05,LNS14000000,unemployment rate,rate
2005-04-01,5.2,April,2005-04,LNS14000000,unemployment rate,rate
2005-03-01,5.2,March,2005-03,LNS14000000,unemployment rate,rate
2005-02-01,5.4,February,2005-02,LNS14000000,unemployment rate,rate
2005-01-01,5.3,January,2005-01,LNS14000000,unemployment rate,rate
2004-12-01,5.4,December,2004-12,LNS14000000,unemployment rate,rate
2004-11-01,5.4,November,2004-11,LNS14000000,unemployment rate,rate
2004-10-01,5.5,October,2004-10,LNS14000000,unemployment rate,rate
2004-09-01,5.4,September,2004-09,LNS14000000,unemployment rate,rate
2004-08-01,5.4,August,2004-08,LNS14000000,unemployment rate,rate
2004-07-01,5.5,July,2004-07,LNS14000000,unemployment rate,rate
2004-06-01,5.6,June,2004-06,LNS14000000,unemployment rate,rate
2004-05-01,5.6,May,2004-05,LNS14000000,unemployment rate,rate
2004-04-01,5.6,April,2004-04,LNS14000000,unemployment rate,rate
2004-03-01,5.8,March,2004-03,LNS14000000,unemployment rate,rate
2004-02-01,5.6,February,2004-02,LNS14000000,unemployment rate,rate
2004-01-01,5.7,January,2004-01,LNS14000000,unemployment rate,rate
2003-12-01,5.7,December,2003-12,LNS14000000,unemployment rate,rate
2003-11-01,5.8,November,2003-11,LNS14000000,unemployment rate,rate
2003-10-01,6.0,October,2003-10,LNS14000000,unemployment rate,rate
2003-09-01,6.1,September,2003-09,LNS14000000,unemployment rate,rate
2003-08-01,6.1,August,2003-08,LNS14000000,unemployment rate,rate
2003-07-01,6.2,July,2003-07,LNS14000000,unemployment rate,rate
2003-06-01,6.3,June,2003-06,LNS14000000,unemployment rate,rate
2003-05-01,6.1,May,2003-05,LNS14000000,unemployment rate,rate
2003-04-01,6.0,April,2003-04,LNS14000000,unemployment rate,rate
2003-03-01,5.9,March,2003-03,LNS14000000,unemployment rate,rate
2003-02-01,5.9,February,2003-02,LNS14000000,unemployment rate,rate
2003-01-01,5.8,January,2003-01,LNS14000000,unemployment rate,rate
