date,date_entered_updated,launch_timeutc,missile_name,missile_type,facility_name,facility_location,facility_latitude,facility_longitude,landing_location,test_outcome,additional_information,source(s),distance_miles,apogee_miles,geometry
2017-05-14,2017-11-28,20:28:00,Hwasong-12,IRBM,North Kusong Testing Ground,"Kusong, North Pyongan",40.0659,125.2099,Sea of Japan or East Sea,Success,"This test was significant for a number of reasons. With this test, North Korea premeired a new, single-stage, IRBM. Estimates of the missile's range places Guam, a US territory which houses a vital US military base, within range of the missile. The missile's engine appears to be the same engine which North Korea tested in March 2016 and again on March 19, 2017. The single stage makes the missile somewhat inefficient and prompted speculation that the missile is intended to be the first stage of a multi-stage ICBM.",https://www.washingtonpost.com/world/north-korea-fires-another-ballistic-missile-the-75th-of-kim-jong-uns-tenure/2017/04/28/c4b7aa8a-2c5c-11e7-9081-f5405f56d3e4_story.html?utm_term=.eea0faa61c57; http://www.japantimes.co.jp/news/2017/04/29/asia-pacific/north-korea-fails-latest-test-ballistic-missile/#.WQiqMYjyuUk; http://english.yonhapnews.co.kr/news/2017/04/29/0200000000AEN20170429000800315.html;https://www.wsj.com/articles/north-korean-missile-launch-appears-to-fail-1493417890; http://thediplomat.com/2017/06/exclusive-north-korea-tested-its-new-intermediate-range-ballistic-missile-3-times-in-april-2017/;,489.0,1312.0,POINT (125.2099 40.0659)
2017-04-28,2017-11-28,20:33:00,Hwasong-12,IRBM,Pukchang Airfield,South Pyongan Province,39.504417,125.964333,,Failure,"Initial reports were confusing and suggested multiple launches. Eventually it was determined that only a single launch took place. Reports indicate the missile suffered a catastrophic failure shortly after launch and was destroyed. The launch here is recorded to have occurred at the Pukchang Airfield however reports from PACOM state that the test occurred ""near"" the airfield. Given that the test failed, North Korea is unlikely to release pictures of the event making it difficult to determine the exact location and the type of missile tested. Later reports stated that the missile tested was the Hwasong-12.",http://www.cnn.com/2017/04/15/asia/north-korea-missile-test/; https://www.nytimes.com/2017/04/15/world/asia/north-korea-missiles-pyongyang-kim-jong-un.html; https://www.washingtonpost.com/world/asia_pacific/n-korea-didnt-test-a-nuclear-weapon-but-its-display-of-military-hardware-wasnt-exactly-good-news/2017/04/15/49944da8-221c-11e7-bcd6-6d1286bc177d_story.html?utm_term=.f4c47809bb28; http://english.yonhapnews.co.kr/news/2017/04/16/0200000000AEN20170416000200315.html; http://thediplomat.com/2017/06/exclusive-north-korea-tested-its-new-intermediate-range-ballistic-missile-3-times-in-april-2017/;,,44.0,POINT (125.964333 39.504417)
2017-04-15,2017-11-28,21:21:00,Hwasong-12,IRBM,Sinpo Shipyard,South Hamgyong province,40.0368,128.1839,,Failure,"The missile appears to have blown up almost instantly. Initially believed to have been a new Scud variant, later reports stated it was the Hwasong-12, an IRBM capable of hitting Guam. The test came the day after Kim Il Sung's 105th birthday. At the parade celebrating the day, North Korea displayed several new missiles. The test prompted speculation that North Korea had attempted to test one of those. Some news reports reported that US cyber attacks were responsible for the missile's failure. Other sources though were skeptical. A few days following the test, North Korea's foreign minister stated that North Korea would continue testing missiles.",https://www.nytimes.com/2017/04/04/world/asia/north-korea-ballistic-missile-test-xi-trump.html; http://www.pacom.mil/Media/News/News-Article-View/Article/1140811/us-pacific-command-detects-tracks-north-korean-missile-launch/; https://www.washingtonpost.com/news/worldviews/wp/2017/04/05/will-north-korea-fire-a-missile-capable-of-hitting-the-u-s-mainland-probably/?utm_term=.ada4c467f0bb; http://www.cnn.com/2017/04/04/asia/north-korea-projectile/; http://www.reuters.com/article/us-northkorea-missiles-idUSKBN1762XX; https://www.wsj.com/articles/north-korea-launches-projectile-into-waters-off-korean-peninsula-east-coast-1491347302; http://www.reuters.com/article/us-northkorea-missiles-idUSKBN1762XX?utm_campaign=trueAnthem:+Trending+Content&utm_content=58e4ac3804d301577ffe8e13&utm_medium=trueAnthem&utm_source=twitter; http://www.foxnews.com/world/2017/04/05/north-korean-missile-launch-likely-failure-us-officials-say.html; https://www.nytimes.com/2017/04/07/world/asia/north-korea-missile-test-trump.html; http://thediplomat.com/2017/06/exclusive-north-korea-tested-its-new-intermediate-range-ballistic-missile-3-times-in-april-2017/;,0.0,0.0,POINT (128.1839 40.0368)
2017-04-04,2017-11-28,21:42:00,Hwasong-12,IRBM,Sinpo Shipyard,South Hamgyong province,40.0368,128.1839,Sea of Japan or East Sea,Failure,"The given trajectory of 60 km out and 190 km apogee is very strange. The missile appears to have been in the air a total of 9 minutes. Initially suspected of being a KN-15, later reports leaked from the US government and reported on by Lucas Tomlinson stated that it was a smaller Scud variant which was named the KN-17. Following another leak reported on in June 2017  by Ankit Panda of The Diplomat, this was shown to be mistaken. The US intelligence community did believe it was a missile they called the KN-17, however, the KN-17 was actually the Hwasong-12 and was not a new scud varient as initially reported.",https://www.nytimes.com/2017/04/04/world/asia/north-korea-ballistic-missile-test-xi-trump.html; http://www.pacom.mil/Media/News/News-Article-View/Article/1140811/us-pacific-command-detects-tracks-north-korean-missile-launch/; https://www.washingtonpost.com/news/worldviews/wp/2017/04/05/will-north-korea-fire-a-missile-capable-of-hitting-the-u-s-mainland-probably/?utm_term=.ada4c467f0bb; http://www.cnn.com/2017/04/04/asia/north-korea-projectile/; http://www.reuters.com/article/us-northkorea-missiles-idUSKBN1762XX; https://www.wsj.com/articles/north-korea-launches-projectile-into-waters-off-korean-peninsula-east-coast-1491347302; http://www.reuters.com/article/us-northkorea-missiles-idUSKBN1762XX?utm_campaign=trueAnthem:+Trending+Content&utm_content=58e4ac3804d301577ffe8e13&utm_medium=trueAnthem&utm_source=twitter;,37.0,117.0,POINT (128.1839 40.0368)
2017-03-21,2017-11-28,22:00:00,,,Wonsan Kalma International Airport,"Kangwon Province, (North Korea)",39.1677,127.4817,,Failure,"Initial reports on this test were muddled with some reporting that the test was another salvo of 3 to 4 missiles. However, it appears only one missile was tested. Unfortunately the type of missile is still unknown. The missile itself appears to have exploded almost immediately after launch.",http://www.reuters.com/article/us-northkorea-missiles-idUSKBN16T07M; https://www.nytimes.com/2017/03/22/world/asia/north-korea-missile-launch-failure.html?_r=0; http://www.cnn.com/2017/03/21/asia/north-korea-missile-test/; https://www.washingtonpost.com/world/north-korean-missile-explodes-seconds-after-launch/2017/03/22/6e55d36e-0ebc-11e7-b2bb-417e331877d9_story.html?utm_term=.130e469303e9;,,0.0,POINT (127.4817 39.1677)
2017-03-05,2017-11-28,22:34:00,ER Scud,MRBM,Sohae Satellite Launching Station,"Cholsan County, North Pyongan Province",39.6596,124.7057,Sea of Japan or East Sea,Success,"North Korea launched these 4 missiles almost simultaneously. It is hypothesized that North Korea was practicing overwhelming THAAD and conducting a simulated attack on the US Marine Corps Airbase in Japan, Iwakuni. As a response to this test, the US deployed THAAD to South Korea ahead of schedule. The apogees and distance travelled for each missile are the averages according to reports, exact distances for each missile are unknown. There were early reports of a fifth missile launch accompanying these four. North Korea may have originally planned to launch five but had to scrub the fifth test for unknown reasons. Confirmation of a fifth test later emerged in the Missile Defense Review and this dataset has been updated to reflect that as of March 26, 2019.",http://www.cnn.com/2017/03/06/asia/north-korea-missiles-kim-jong-un/; http://www.reuters.com/article/us-northkorea-missiles-idUSKBN16C0YU; http://www.cnn.com/2017/03/05/asia/north-korea-projectile/; https://www.washingtonpost.com/world/north-korea-launches-another-missile-perhaps-one-that-can-reach-us/2017/03/05/943010ee-96e2-4ff4-83aa-2fe09cd65831_story.html?utm_term=.6f8b3ae2acd1; http://www.japantimes.co.jp/news/2017/03/06/national/tokyo-says-north-korea-fired-three-four-missiles-came-japans-eez/#.WL3nJjvyuUl; http://www.mod.go.jp/e/press/release/2017/03/06b.html; http://www.mod.go.jp/e/press/release/2017/03/06a.html; http://www.stratcom.mil/Media/News/News-Article-View/Article/1080866/usstratcom-detects-tracks-north-korean-missile-launch/; http://www.rodong.rep.kp/en/index.php?strPageID=SF01_02_01&newsID=2017-03-07-0001,622.0,162.0,POINT (124.7057 39.6596)
2017-03-05,2017-11-28,22:34:00,ER Scud,MRBM,Sohae Satellite Launching Station,"Cholsan County, North Pyongan Province",39.6596,124.7057,Sea of Japan or East Sea,Success,"North Korea launched these 4 missiles almost simultaneously. It is hypothesized that North Korea was practicing overwhelming THAAD and conducting a simulated attack on the US Marine Corps Airbase in Japan, Iwakuni. As a response to this test, the US deployed THAAD to South Korea ahead of schedule. The apogees and distance travelled for each missile are the averages according to reports, exact distances for each missile are unknown. There were early reports of a fifth missile launch accompanying these four. North Korea may have originally planned to launch five but had to scrub the fifth test for unknown reasons. Confirmation of a fifth test later emerged in the Missile Defense Review and this dataset has been updated to reflect that as of March 26, 2019.",http://www.cnn.com/2017/03/06/asia/north-korea-missiles-kim-jong-un/; http://www.reuters.com/article/us-northkorea-missiles-idUSKBN16C0YU; http://www.cnn.com/2017/03/05/asia/north-korea-projectile/; https://www.washingtonpost.com/world/north-korea-launches-another-missile-perhaps-one-that-can-reach-us/2017/03/05/943010ee-96e2-4ff4-83aa-2fe09cd65831_story.html?utm_term=.6f8b3ae2acd1; http://www.japantimes.co.jp/news/2017/03/06/national/tokyo-says-north-korea-fired-three-four-missiles-came-japans-eez/#.WL3nJjvyuUl; http://www.mod.go.jp/e/press/release/2017/03/06b.html; http://www.mod.go.jp/e/press/release/2017/03/06a.html; http://www.stratcom.mil/Media/News/News-Article-View/Article/1080866/usstratcom-detects-tracks-north-korean-missile-launch/; http://www.rodong.rep.kp/en/index.php?strPageID=SF01_02_01&newsID=2017-03-07-0001,622.0,162.0,POINT (124.7057 39.6596)
2017-03-05,2017-11-28,22:34:00,ER Scud,MRBM,Sohae Satellite Launching Station,"Cholsan County, North Pyongan Province",39.6596,124.7057,Sea of Japan or East Sea,Success,"North Korea launched these 4 missiles almost simultaneously. It is hypothesized that North Korea was practicing overwhelming THAAD and conducting a simulated attack on the US Marine Corps Airbase in Japan, Iwakuni. As a response to this test, the US deployed THAAD to South Korea ahead of schedule. The apogees and distance travelled for each missile are the averages according to reports, exact distances for each missile are unknown. There were early reports of a fifth missile launch accompanying these four. North Korea may have originally planned to launch five but had to scrub the fifth test for unknown reasons. Confirmation of a fifth test later emerged in the Missile Defense Review and this dataset has been updated to reflect that as of March 26, 2019.",http://www.cnn.com/2017/03/06/asia/north-korea-missiles-kim-jong-un/; http://www.reuters.com/article/us-northkorea-missiles-idUSKBN16C0YU; http://www.cnn.com/2017/03/05/asia/north-korea-projectile/; https://www.washingtonpost.com/world/north-korea-launches-another-missile-perhaps-one-that-can-reach-us/2017/03/05/943010ee-96e2-4ff4-83aa-2fe09cd65831_story.html?utm_term=.6f8b3ae2acd1; http://www.japantimes.co.jp/news/2017/03/06/national/tokyo-says-north-korea-fired-three-four-missiles-came-japans-eez/#.WL3nJjvyuUl; http://www.mod.go.jp/e/press/release/2017/03/06b.html; http://www.mod.go.jp/e/press/release/2017/03/06a.html; http://www.stratcom.mil/Media/News/News-Article-View/Article/1080866/usstratcom-detects-tracks-north-korean-missile-launch/; http://www.rodong.rep.kp/en/index.php?strPageID=SF01_02_01&newsID=2017-03-07-0001,622.0,162.0,POINT (124.7057 39.6596)
2017-03-05,2017-11-28,22:34:00,ER Scud,MRBM,Sohae Satellite Launching Station,"Cholsan County, North Pyongan Province",39.6596,124.7057,Sea of Japan or East Sea,Success,"North Korea launched these 4 missiles almost simultaneously. It is hypothesized that North Korea was practicing overwhelming THAAD and conducting a simulated attack on the US Marine Corps Airbase in Japan, Iwakuni. As a response to this test, the US deployed THAAD to South Korea ahead of schedule. The apogees and distance travelled for each missile are the averages according to reports, exact distances for each missile are unknown. There were early reports of a fifth missile launch accompanying these four. North Korea may have originally planned to launch five but had to scrub the fifth test for unknown reasons. Confirmation of a fifth test later emerged in the Missile Defense Review and this dataset has been updated to reflect that as of March 26, 2019.",http://www.cnn.com/2017/03/06/asia/north-korea-missiles-kim-jong-un/; http://www.reuters.com/article/us-northkorea-missiles-idUSKBN16C0YU; http://www.cnn.com/2017/03/05/asia/north-korea-projectile/; https://www.washingtonpost.com/world/north-korea-launches-another-missile-perhaps-one-that-can-reach-us/2017/03/05/943010ee-96e2-4ff4-83aa-2fe09cd65831_story.html?utm_term=.6f8b3ae2acd1; http://www.japantimes.co.jp/news/2017/03/06/national/tokyo-says-north-korea-fired-three-four-missiles-came-japans-eez/#.WL3nJjvyuUl; http://www.mod.go.jp/e/press/release/2017/03/06b.html; http://www.mod.go.jp/e/press/release/2017/03/06a.html; http://www.stratcom.mil/Media/News/News-Article-View/Article/1080866/usstratcom-detects-tracks-north-korean-missile-launch/; http://www.rodong.rep.kp/en/index.php?strPageID=SF01_02_01&newsID=2017-03-07-0001,622.0,162.0,POINT (124.7057 39.6596)
2017-03-05,2019-03-26,22:34:00,ER Scud,MRBM,Sohae Satellite Launching Station,"Cholsan County, North Pyongan Province",39.6596,124.7057,,Failure,"Initially believed to have been only four missiles launched, a fifth missile was believed to have been launched at the same time as the other four. However, the missile appears to have failed shortly after launch. Videos and images North Korea released of the test did not show this missile launch. There was evidence a fifth missile was present at the test though it was less clear it actually participated in the launch. More recently, the Missile Defense Review stated that the test involved five missile launches. Combined with these earlier reports, this strongly suggests a five missile salvo launch occurred on March 5, 2017.",https://www.defense.gov/Portals/1/Interactive/2018/11-2019-Missile-Defense-Review/The%202019%20MDR_Executive%20Summary.pdf; https://www.nknews.org/pro/did-north-korea-test-a-fifth-missile-last-week/; https://twitter.com/nktpnd/status/1110304737763700738;,,,POINT (124.7057 39.6596)
2017-02-11,2017-11-28,22:55:00,Pukguksong-2,MRBM,Kusong Testing Ground,"Kusong, North Pyongan",40.01325,125.22302,Sea of Japan or East Sea,Success,This was the first known test of a land based version of the Polaris-1. The missile is solid fueled which means it is much easier to launch on short notice. This missile was tested only a few kilometers away from the failed October tests prompting speculation those tests were of this missile system.,http://www.stratcom.mil/Media/News/News-Article-View/Article/1080866/usstratcom-detects-tracks-north-korean-missile-launch/; http://www.economist.com/news/asia/21716992-kim-jong-un-tests-another-missile-north-koreas-dictator-challenges-donald-trump; http://www.cnn.com/2017/02/11/asia/north-korea-missile/; http://www.reuters.com/article/us-northkorea-missiles-nk-idUSKBN15R10O?il=0; http://38north.org/2017/02/jschilling021317/; https://twitter.com/DaveSchmerler/status/830964858032041984,311.0,342.0,POINT (125.22302 40.01325)
2016-10-19,2017-11-28,22:00:00,Musudan,IRBM,Panghyon Airbase,"Kusong, North Pyongan",39.927472,125.207889,,Failure,"Similar to the previous test, this missile also exploded shortly after launch. The missile is presumed to have also been a musudan but it is impossible to rule out the chance that this and/or the test just prior to it were tests of the KN-08 an ICBM, the Polaris-2, or some other new missile North Korea is developing. Satellite images of the airbase show two large scortch martks on the runway seeming to indicate explosions. ",https://www.stratcom.mil/news/2016/648/USSTRATCOM_Detects_Attempted_North_Korean_Missile_Launch/; http://www.cnn.com/2016/10/19/asia/north-korea-missile-launch-fail/; http://www.reuters.com/article/us-northkorea-missiles-idUSKCN12K052; https://www.washingtonpost.com/world/asia_pacific/did-north-korea-just-test-missiles-capable-of-hitting-the-us-maybe/2016/10/26/984e8a21-e6a7-4689-81e0-21d7d25c302f_story.html,,,POINT (125.207889 39.927472)
2016-10-14,2017-11-28,18:33:00,Musudan,IRBM,Panghyon Airbase,"Kusong, North Pyongan",39.927472,125.207889,,Failure,"The missile exploded shortly after launch. It was detected and tracked by United States Strategic Command (STRATCOM). Reportedly, South Korea did not detect the launch suggesting the missile exploded at a low altitude (before it could be picked up on South Korean radar). North Korea has also not released photographs of the test making it extremely difficult for 3rd party observers to confirm the location and the type of missile used in the launch. The test location was later located by finding the burn scars left by the test. The burn scars suggest that the October 15 test exploded on launch and destroyed the TEL transporting it (North Korea has since been much more careful with its remaining TELs). The type of missile tested at this test and the test 5 days later remains controversial. STRATCOM stated that it was a presumed Musudan. Later testimony by the DNI suggests that the US intelligence community has arrived at a similar consensus. It's possible though that the October tests were of any number of missile systems. The PK-2, tested successfully only a few kilomters away seems a plausible suspect. It could also have been an early test of the HS-12 , or perhaps some version of the KN-08. Considering the lack of hard evidence and the apparant consensus of the intelligence community, the October tests are entered as Musudans. However, they remain subject to revision should new information emerge.",http://www.reuters.com/article/us-korea-north-usa-idUSKBN12F0S2; http://www.wsj.com/articles/u-s-detects-failed-north-korean-missile-launch-1476572239; http://www.cnn.com/2016/10/15/asia/failed-north-korea-missile-launch/; https://www.stratcom.mil/news/2016/647/USSTRATCOM_Detects_Tracks_Attempted_North_Korean_Missile_Launch/; https://www.washingtonpost.com/world/asia_pacific/did-north-korea-just-test-missiles-capable-of-hitting-the-us-maybe/2016/10/26/984e8a21-e6a7-4689-81e0-21d7d25c302f_story.html,,,POINT (125.207889 39.927472)
2016-09-05,2017-11-28,03:13:00,ER Scud,MRBM,Hwangju,"Hwangju,  North Hwanghae province",38.686834,125.702005,Sea of Japan or East Sea,Success,,http://thediplomat.com/2016/09/north-korea-showed-off-a-previously-unseen-missile-during-the-g20/; http://www.nti.org/analysis/articles/first-glimpse-north-koreas-elusive-er-scud/; http://missiledefenseadvocacy.org/missile-threat-and-proliferation/todays-missile-threat/north-korea/scud-er/,622.0,,POINT (125.702005 38.686834)
2016-09-05,2017-11-28,03:13:00,ER Scud,MRBM,Hwangju,"Hwangju,  North Hwanghae province",38.686834,125.702005,Sea of Japan or East Sea,Success,,http://thediplomat.com/2016/09/north-korea-showed-off-a-previously-unseen-missile-during-the-g20/; http://www.nti.org/analysis/articles/first-glimpse-north-koreas-elusive-er-scud/; http://missiledefenseadvocacy.org/missile-threat-and-proliferation/todays-missile-threat/north-korea/scud-er/,622.0,,POINT (125.702005 38.686834)
2016-09-05,2017-11-28,03:13:00,ER Scud,MRBM,Hwangju,"Hwangju,  North Hwanghae province",38.686834,125.702005,Sea of Japan or East Sea,Success,"North Korea premiered a never before seen version of its scud with this simultaneous test of 3 missiles. The missiles are scud missiles but have almost double the traditional range of other versions of the system. Though this was their first public appearance, it is quite likely the system was tested in the past but were mistaken for Nodongs, which have a similar range and trajectory.",http://thediplomat.com/2016/09/north-korea-showed-off-a-previously-unseen-missile-during-the-g20/; http://www.nti.org/analysis/articles/first-glimpse-north-koreas-elusive-er-scud/; http://missiledefenseadvocacy.org/missile-threat-and-proliferation/todays-missile-threat/north-korea/scud-er/,622.0,,POINT (125.702005 38.686834)
2016-08-23,2017-11-28,20:29:00,Pukguksong-1,SLBM,Sinpo Shipyard,South Hamgyong province,40.0368,128.1839,Sea of Japan or East Sea,Success,This test marks the first fully successful SLBM test by North Korea. The missile landed in Japan's Air Identification Zone. It is believed that the missile can travel much father and that its range was due to a lofted trajectory.,https://en.wikipedia.org/wiki/Pukkuksong-1; http://www.reuters.com/article/us-northkorea-missiles-idUSKCN10Y2B0,311.0,,POINT (128.1839 40.0368)
2016-08-02,2017-11-28,22:53:00,Nodong,MRBM,Hwangju,"Hwangju,  North Hwanghae province",38.686834,125.702005,Sea of Japan or East Sea,Success,,http://www.cnn.com/2016/08/02/asia/north-korea-missile/; https://www.stratcom.mil/news/2016/629/USSTRATCOM_Detects_Tracks_North_Korean_Missile_Launches/,622.0,,POINT (125.702005 38.686834)
2016-08-02,2017-11-28,22:53:00,Nodong,MRBM,Hwangju,"Hwangju,  North Hwanghae province",38.686834,125.702005,,Failure,,http://www.cnn.com/2016/08/02/asia/north-korea-missile/; https://www.stratcom.mil/news/2016/629/USSTRATCOM_Detects_Tracks_North_Korean_Missile_Launches/,,,POINT (125.702005 38.686834)
2016-07-18,2017-11-28,20:58:00,Scud-C,SRBM,Hwangju,"Hwangju,  North Hwanghae province",38.686834,125.702005,,Success,"The type of Scud is unconfirmed, it could have been a Scud B",http://www.cnn.com/2016/07/18/asia/north-korea-missiles/; http://www.bbc.com/news/world-asia-36831308; https://www.stratcom.mil/news/2016/624/USSTRATCOM_Detects_Tracks_North_Korean_Missile_Launches/,,,POINT (125.702005 38.686834)
2016-07-18,2017-11-28,21:35:00,Nodong,MRBM,Hwangju,"Hwangju,  North Hwanghae province",38.686834,125.702005,Sea of Japan or East Sea,Success,,http://www.cnn.com/2016/07/18/asia/north-korea-missiles/; http://www.bbc.com/news/world-asia-36831308; https://www.stratcom.mil/news/2016/624/USSTRATCOM_Detects_Tracks_North_Korean_Missile_Launches/,311.0,,POINT (125.702005 38.686834)
2016-07-18,2017-11-28,20:44:00,Scud-C,SRBM,Hwangju,"Hwangju,  North Hwanghae province",38.686834,125.702005,,Success,"The type of Scud is unconfirmed, it could have been a Scud B",http://www.cnn.com/2016/07/18/asia/north-korea-missiles/; http://www.bbc.com/news/world-asia-36831308; https://www.stratcom.mil/news/2016/624/USSTRATCOM_Detects_Tracks_North_Korean_Missile_Launches/,,,POINT (125.702005 38.686834)
2016-07-09,2017-11-28,02:28:00,Pukguksong-1,SLBM,Sinpo Shipyard,South Hamgyong province,40.0368,128.1839,Sea of Japan or East Sea,Failure,The missile ejected and lit successfully but appears to have exploded shortly after. Many believe the test was a reaction to the South Korean and US decision announced the previous day to install THAAD in South korea.,http://english.yonhapnews.co.kr/national/2016/07/09/86/0301000000AEN20160709002253315F.html; https://en.wikipedia.org/wiki/Pukkuksong-1,,6.0,POINT (128.1839 40.0368)
2016-06-21,2017-11-28,23:03:00,Musudan,IRBM,Wonsan Kalma International Airport,"Kangwon Province, (North Korea)",39.1677,127.4817,Sea of Japan or East Sea,Success,"After a string of 5 failures, this marks the first successful test of the Musudan missile. The missile trajectory itself was lofted to prevent the test from overflying Japan. Photographs and videos of the test released by North Korea showed that missile was equiped with gridfins, a new addition not seen in previous appearances of the missile prompting speculation that the lack of them had caused issues with past tests.",http://38north.org/2016/06/jschilling062316/; https://www.iiss.org/en/iiss%20voices/blogsections/iiss-voices-2016-9143/june-2c71/north-koreas-musudan-missile-effort-advances-5885; https://www.nknews.org/pro/back-in-black/; https://www.stratcom.mil/news/2016/622/USSTRATCOM_Detects_Tracks_North_Korean_Missile_Launches/,249.0,870.0,POINT (127.4817 39.1677)
2016-06-21,2017-11-28,20:56:00,Musudan,IRBM,Wonsan Kalma International Airport,"Kangwon Province, (North Korea)",39.1677,127.4817,Sea of Japan or East Sea,Failure,"Launched only hours before their successful Musudan test, this missile exploded shortly after launch. North Korea has claimed that the missile did not explode and that the missile was purposely programmed with a short launch trajectory and flight time in mind and that this would look like a failure to foreign observers tracking the test on radar. It is possible this is the case, however, it is also possible they are lying to save face from having a 5th failure in a row of a missile which the Soviets successfully tested some 461 times.",http://english.yonhapnews.co.kr/northkorea/2016/06/22/0401000000AEN20160622000554315.html https://www.stratcom.mil/news/2016/622/USSTRATCOM_Detects_Tracks_North_Korean_Missile_Launches/,,,POINT (127.4817 39.1677)
2016-05-30,2017-11-28,20:30:00,Musudan,IRBM,Wonsan Kalma International Airport,"Kangwon Province, (North Korea)",39.1677,127.4817,,Failure,,http://defense-update.com/20160531_musudan-2.html; https://www.stratcom.mil/news/2016/617/USSTRATCOM_Detects_Attempted_North_Korean_Missile_Launch/,,,POINT (127.4817 39.1677)
2016-04-28,2017-11-28,10:24:00,Musudan,IRBM,Wonsan Kalma International Airport,"Kangwon Province, (North Korea)",39.1677,127.4817,,Failure,,http://edition.cnn.com/2016/04/28/asia/north-korea-failed-missile-launch/; https://www.stratcom.mil/news/2016/611/UPDATE_1_-_USSTRATCOM_Detects_Tracks_Attempted_North_Korean_Missile_Launches/,,,POINT (127.4817 39.1677)
2016-04-27,2017-11-28,21:33:00,Musudan,IRBM,Wonsan Kalma International Airport,"Kangwon Province, (North Korea)",39.1677,127.4817,,Failure,,http://edition.cnn.com/2016/04/28/asia/north-korea-failed-missile-launch/; https://www.stratcom.mil/news/2016/611/UPDATE_1_-_USSTRATCOM_Detects_Tracks_Attempted_North_Korean_Missile_Launches/,,,POINT (127.4817 39.1677)
2016-04-23,2017-11-28,09:29:00,Pukguksong-1,SLBM,Sinpo Shipyard,South Hamgyong province,40.0368,128.1839,,Success,"This test is believed to be the first successful North Korean SLBM test. Some consider this test only to be a partial success as the missile only flew 30 km, well short of the believed 300 km minimum people expected. However, its possible North Korea did not intend the test to be a full flight test of the missile. Finally, this database codes anything that doesn't explode during launch as a success and this missile does not appear to have done that.",http://www.bbc.com/news/world-asia-36119159; https://en.wikipedia.org/wiki/Pukkuksong-1,19.0,,POINT (128.1839 40.0368)
2016-04-15,2017-11-28,20:33:00,Musudan,IRBM,Wonsan Kalma International Airport,"Kangwon Province, (North Korea)",39.1677,127.4817,,Failure,"No report ever provided more specific information beyond ""the Wonson area"". However, considering North Korea later conducted a number of other Musudan tests at the airport, and considering there were a number of reports about North Korea deploying a number of Musudan missiles to that area as well, it is highly likely this test was carried out in the same place as most of the other Musudan tests. The failed Musudan test set the stage for further Musudan tests in that, like this one, they almost all failed. The string of failures likely prompted North Korea to abandon the missile. The Hwasong-12 appears to have replaced the Musudan as North Korea's IRBM.",https://www.washingtonpost.com/world/asia_pacific/north-koreas-missile-has-failed-officials-from-south-say/2016/04/14/8eb2ce53-bc38-40d0-9013-5655bed26764_story.html; http://english.yonhapnews.co.kr/national/2016/04/15/51/0301000000AEN20160415002751315F.html; http://www.aljazeera.com/news/2016/04/report-north-korea-deploys-ballistic-missiles-160414164939650.html; http://www.nytimes.com/2016/04/15/world/asia/north-korea-ballistic-missile-launch-a-failure-pentagon-says.html?mabReward=A3&action=click&pgtype=Homepage&region=CColumn&module=Recommendation&src=rechp&WT.nav=RecEngine; http://www.bbc.com/news/world-asia-36051354; http://www.foxnews.com/world/2016/04/14/north-korea-prepared-to-ring-in-founders-birthday-with-ballistic-missile-launch.html; http://www.cnn.com/2016/04/14/asia/north-korea-missile-launch/,,,POINT (127.4817 39.1677)
2016-03-18,2017-01-06,,Nodong,MRBM,Sunchon Airbase,South Pyongan Province,39.412594,125.89031,Sea of Japan or East Sea,Failure,"There is contradictory information about the location of these tests. CNN reports from a source within the South Korean Chiefs of Staff that the launch came from Sukchon, other sources have stated the test came from the ""west coast"" of North Korea. It's possible reports are mixing this test up with another test conducted only a few days before. This missile specifically disappeared from radar about 17 seconds into flight suggesting that it suffered a critical failure and exploded.",http://www.cnn.com/2016/03/17/asia/north-korea-missile-launch/; http://www.reuters.com/article/us-northkorea-nuclear-idUSKCN0WJ30V; http://www.bbc.com/news/world-asia-35835088,,11.0,POINT (125.89031 39.412594)
2016-03-18,2017-01-06,,Nodong,MRBM,Sunchon Airbase,South Pyongan Province,39.412594,125.89031,Sea of Japan or East Sea,Success,"There is contradictory information about the location of these tests. CNN reports from a source within the South Korean Chiefs of Staff that the launch came from Sukchon, other sources have stated the test came from the ""west coast"" of North Korea. It's possible reports are mixing this test up with another test conducted only a few days before.",http://www.cnn.com/2016/03/17/asia/north-korea-missile-launch/; http://www.reuters.com/article/us-northkorea-nuclear-idUSKCN0WJ30V; http://www.bbc.com/news/world-asia-35835088,497.0,,POINT (125.89031 39.412594)
2016-03-10,2017-01-06,,Scud-C,SRBM,Hwangju,"Hwangju,  North Hwanghae province",38.686834,125.702005,Sea of Japan or East Sea,Success,"Exact location of launch is uncertain. CNN states the missiles came from the North Hwanghae province, just south of Pyongyang which would suggest the test was carried out at Hwanju. Hwanju has become a fairly active testing location for North Korea. However, the BBC says the tests were carried out on the ""east coast"" of North Korea, which is impossible if they were conducted in the North Hwanghae province which does not border the sea. Unfortunately finding a direct source from somewhere like STRATCOM or the Japanese Ministry of Defense for this test has been difficult.",http://www.cnn.com/2016/03/10/asia/north-korea-missiles/; http://www.bbc.com/news/world-asia-35770198; http://www.mod.go.jp/e/pressconf/2016/03/160311.html,,,POINT (125.702005 38.686834)
