facid,facname,fac_fdr,bed_capacity_type,bed_capacity,county_name
070000150,KAISER FOUNDATION HOSPITAL-SAN JOSE,GENERAL ACUTE CARE HOSPITAL,INTENSIVE CARE,14,SANTA CLARA
930000070,EMANATE HEALTH INTER-COMMUNITY HOSPITAL,GENERAL ACUTE CARE HOSPITAL,CORONARY CARE,14,LOS ANGELES
630013891,ALL SAINT'S MAUBERT,SKILLED NURSING FACILITY,SKILLED NURSING,14,ALAMEDA
060000038,LAC/OLIVE VIEW-UCLA MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,INTENSIVE CARE NEWBORN NURSERY,14,LOS ANGELES
630011844,SUTTER SURGICAL HOSPITAL - NORTH VALLEY,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,14,SUTTER
140000118,WASHINGTON HOSPITAL,GENERAL ACUTE CARE HOSPITAL,INTENSIVE CARE NEWBORN NURSERY,14,ALAMEDA
930000932,GREATER EL MONTE DIALYSIS CENTER,CHRONIC DIALYSIS CLINIC,DIALYSIS STATIONS,14,LOS ANGELES
120001467,ADVENTIST HEALTH TULARE,GENERAL ACUTE CARE HOSPITAL,PERINATAL,14,TULARE
060002145,NEURORESTORATIVE CALIFORNIA,CONGREGATE LIVING HEALTH FACILITY,CONGREGATE LIVING HEALTH FACILITY,14,ORANGE
220000026,AHMC SETON MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,INTENSIVE CARE,14,SAN MATEO
930000093,GLENDALE MEMORIAL HOSPITAL AND HEALTH CENTER,GENERAL ACUTE CARE HOSPITAL,REHABILITATION,14,LOS ANGELES
140001268,PROVIDENCE SANTA ROSA MEMORIAL HOSPITAL,GENERAL ACUTE CARE HOSPITAL,PERINATAL,14,SONOMA
050000014,COMMUNITY MEMORIAL HOSPITAL - SAN BUENAVENTURA,GENERAL ACUTE CARE HOSPITAL,INTENSIVE CARE,14,VENTURA
080000152,TRI-CITY MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,CORONARY CARE,14,SAN DIEGO
930000058,GARFIELD MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,INTENSIVE CARE,14,LOS ANGELES
110000041,PROVIDENCE QUEEN OF THE VALLEY MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,REHABILITATION,14,NAPA
120001467,ADVENTIST HEALTH TULARE,GENERAL ACUTE CARE HOSPITAL,INTENSIVE CARE,14,TULARE
930000128,ST. FRANCIS MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,PEDIATRIC,14,LOS ANGELES
070000146,O'CONNOR HOSPITAL,GENERAL ACUTE CARE HOSPITAL,INTENSIVE CARE,14,SANTA CLARA
930000059,ADVENTIST HEALTH GLENDALE,GENERAL ACUTE CARE HOSPITAL,INTENSIVE CARE NEWBORN NURSERY,14,LOS ANGELES
060000071,UNIVERSITY OF CALIFORNIA IRVINE MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,REHABILITATION,14,ORANGE
140000012,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,GENERAL ACUTE CARE HOSPITAL,CORONARY CARE,14,ALAMEDA
250000008,DESERT REGIONAL MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,PEDIATRIC,14,RIVERSIDE
930000015,SOUTHERN CALIFORNIA HOSPITAL AT CULVER CITY,GENERAL ACUTE CARE HOSPITAL,PERINATAL,14,LOS ANGELES
240000100,ARROWHEAD REGIONAL MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,BURN,14,SAN BERNARDINO
140001076,VALLEY MEMORIAL HOSPITAL D/P APH,ACUTE PSYCHIATRIC HOSPITAL,ACUTE PSYCHIATRIC CARE,14,ALAMEDA
630019415,WOODLAND HILLS DIALYSIS LLC,CHRONIC DIALYSIS CLINIC,DIALYSIS STATIONS,14,LOS ANGELES
220000026,AHMC SETON MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,CORONARY CARE,14,SAN MATEO
050000014,COMMUNITY MEMORIAL HOSPITAL - SAN BUENAVENTURA,GENERAL ACUTE CARE HOSPITAL,CORONARY CARE,14,VENTURA
060000068,PROVIDENCE ST. JUDE MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,INTENSIVE CARE NEWBORN NURSERY,14,ORANGE
070000136,EL CAMINO HEALTH LOS GATOS,GENERAL ACUTE CARE HOSPITAL,PERINATAL,14,SANTA CLARA
630019640,U.S. RENAL CARE VICTORVILLE DIALYSIS,CHRONIC DIALYSIS CLINIC,DIALYSIS STATIONS,13,SAN BERNARDINO
110000010,NORTHBAY MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,PERINATAL,13,SOLANO
930001738,FMC DIALYSIS SERVICES OF NORTH LONG BEACH,CHRONIC DIALYSIS CLINIC,DIALYSIS STATIONS,13,LOS ANGELES
930001562,GREATER EL MONTE COMMUNITY HOSPITAL D/P SNF,SKILLED NURSING FACILITY,SKILLED NURSING,13,LOS ANGELES
930000867,ENCINO HOSPITAL MEDICAL CENTER,ACUTE PSYCHIATRIC HOSPITAL,ACUTE PSYCHIATRIC CARE,13,LOS ANGELES
030000143,ST. JOSEPH'S MEDICAL CENTER OF STOCKTON,GENERAL ACUTE CARE HOSPITAL,PEDIATRIC,13,SAN JOAQUIN
140000797,STANFORD HEALTH CARE - VALLEYCARE,GENERAL ACUTE CARE HOSPITAL,INTENSIVE CARE,13,ALAMEDA
930000188,WEST COVINA MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,13,LOS ANGELES
930000163,USC KENNETH NORRIS JR. CANCER HOSPITAL,GENERAL ACUTE CARE HOSPITAL,INTENSIVE CARE,13,LOS ANGELES
930000162,RONALD REAGAN UCLA MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,PERINATAL,13,LOS ANGELES
930000162,RONALD REAGAN UCLA MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,CORONARY CARE,13,LOS ANGELES
630010957,VENTURA COUNTY MEDICAL CENTER - SANTA PAULA HOSPITAL,GENERAL ACUTE CARE HOSPITAL,PERINATAL,13,VENTURA
930000093,GLENDALE MEMORIAL HOSPITAL AND HEALTH CENTER,GENERAL ACUTE CARE HOSPITAL,INTENSIVE CARE NEWBORN NURSERY,13,LOS ANGELES
930000081,PROVIDENCE LITTLE COMPANY OF MARY MEDICAL CENTER TORRANCE,GENERAL ACUTE CARE HOSPITAL,PEDIATRIC,13,LOS ANGELES
090000154,UC SAN DIEGO HEALTH HILLCREST - HILLCREST MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,CORONARY CARE,13,SAN DIEGO
930000066,PROVIDENCE HOLY CROSS MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,REHABILITATION,13,LOS ANGELES
930000056,EMANATE HEALTH FOOTHILL PRESBYTERIAN HOSPITAL,GENERAL ACUTE CARE HOSPITAL,PERINATAL,13,LOS ANGELES
930000032,PACIFIC GARDENS MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,INTENSIVE CARE,13,LOS ANGELES
930000012,BEVERLY HOSPITAL,GENERAL ACUTE CARE HOSPITAL,CORONARY CARE,13,LOS ANGELES
170001895,CENTINELA STATE PRISON CTC,CORRECTIONAL TREATMENT CENTER,CORRECTIONAL TREATMENT CENTER,13,IMPERIAL
050000020,LOS ROBLES HOSPITAL & MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,PEDIATRIC,13,VENTURA
630012971,LOMA LINDA UNIVERSITY MEDICAL CENTER - MURRIETA,GENERAL ACUTE CARE HOSPITAL,PERINATAL,13,RIVERSIDE
220000019,PRISCILLA CHAN AND MARK ZUCKERBERG SAN FRANCISCO GENERAL HOSPITAL AND TRAUM,GENERAL ACUTE CARE HOSPITAL,INTENSIVE CARE NEWBORN NURSERY,13,SAN FRANCISCO
630018766,SATELLITE HEALTHCARE GEARY,CHRONIC DIALYSIS CLINIC,DIALYSIS STATIONS,13,SAN FRANCISCO
240000005,MAMMOTH HOSPITAL,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,13,MONO
630018096,VALENCIA DIALYSIS,CHRONIC DIALYSIS CLINIC,DIALYSIS STATIONS,13,LOS ANGELES
060000011,FOUNTAIN VALLEY REGIONAL HOSPITAL AND MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,PEDIATRIC,13,ORANGE
630017780,SATELLITE HEALTHCARE FOLSOM,CHRONIC DIALYSIS CLINIC,DIALYSIS STATIONS,13,SACRAMENTO
110001185,FRESENIUS MEDICAL CARE WOODLAND,CHRONIC DIALYSIS CLINIC,DIALYSIS STATIONS,13,YOLO
630014469,THE VILLAS AT TOPANGA TERRACE,CONGREGATE LIVING HEALTH FACILITY,CONGREGATE LIVING HEALTH FACILITY,13,LOS ANGELES
070000141,GEORGE L. MEE MEMORIAL HOSPITAL,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,13,MONTEREY
110001164,SATELLITE HEALTHCARE JAMESTOWN,CHRONIC DIALYSIS CLINIC,DIALYSIS STATIONS,13,TUOLUMNE
070000137,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA,GENERAL ACUTE CARE HOSPITAL,REHABILITATION,13,MONTEREY
220000516,JEWISH HOME & REHAB CENTER,ACUTE PSYCHIATRIC HOSPITAL,ACUTE PSYCHIATRIC CARE,13,SAN FRANCISCO
250000044,DOCTORS HOSPITAL OF RIVERSIDE,GENERAL ACUTE CARE HOSPITAL,INTENSIVE CARE,13,RIVERSIDE
630015502,BEL AIR CONGREGATE LIVING,CONGREGATE LIVING HEALTH FACILITY,CONGREGATE LIVING HEALTH FACILITY,12,LOS ANGELES
110000007,SUTTER SANTA ROSA REGIONAL HOSPITAL,GENERAL ACUTE CARE HOSPITAL,INTENSIVE CARE,12,SONOMA
090001116,UC SAN DIEGO HEALTH LA JOLLA - JACOBS MEDICAL CENTER & SULPIZIO CARDIOVASCU,GENERAL ACUTE CARE HOSPITAL,CORONARY CARE,12,SAN DIEGO
030000125,EMANUEL MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,INTENSIVE CARE,12,STANISLAUS
930000026,HUNTINGTON HOSPITAL,GENERAL ACUTE CARE HOSPITAL,CHEMICAL DEPENDENCY RECOVERY,12,LOS ANGELES
080001257,PALOMAR MEDICAL CENTER POWAY D/P APH,ACUTE PSYCHIATRIC HOSPITAL,ACUTE PSYCHIATRIC CARE,12,SAN DIEGO
930000022,CENTINELA HOSPITAL MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,CORONARY CARE,12,LOS ANGELES
250000119,EVERGREEN ESTATES,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD HABILITATIVE,12,RIVERSIDE
060001022,HOAG HOSPITAL IRVINE,GENERAL ACUTE CARE HOSPITAL,INTENSIVE CARE,12,ORANGE
250000012,HEMET GLOBAL MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,PERINATAL,12,RIVERSIDE
250000006,CORONA REGIONAL MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,PERINATAL,12,RIVERSIDE
060001022,HOAG HOSPITAL IRVINE,GENERAL ACUTE CARE HOSPITAL,PERINATAL,12,ORANGE
960002849,VALVERDE,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD HABILITATIVE,12,LOS ANGELES
140001268,PROVIDENCE SANTA ROSA MEMORIAL HOSPITAL,GENERAL ACUTE CARE HOSPITAL,INTENSIVE CARE NEWBORN NURSERY,12,SONOMA
080000147,PALOMAR MEDICAL CENTER POWAY,GENERAL ACUTE CARE HOSPITAL,INTENSIVE CARE,12,SAN DIEGO
630016281,SUNFLOWER CLHF,CONGREGATE LIVING HEALTH FACILITY,CONGREGATE LIVING HEALTH FACILITY,12,LOS ANGELES
080000022,SCRIPPS GREEN HOSPITAL,GENERAL ACUTE CARE HOSPITAL,INTENSIVE CARE,12,SAN DIEGO
930000012,BEVERLY HOSPITAL,GENERAL ACUTE CARE HOSPITAL,INTENSIVE CARE,12,LOS ANGELES
060000021,SOUTH COAST GLOBAL MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,PERINATAL,12,ORANGE
930001543,KAISER FOUNDATION HOSPITAL - BALDWIN PARK,GENERAL ACUTE CARE HOSPITAL,INTENSIVE CARE,12,LOS ANGELES
140000014,UCSF BENIOFF CHILDREN'S HOSPITAL OAKLAND,GENERAL ACUTE CARE HOSPITAL,REHABILITATION,12,ALAMEDA
030000122,DOCTORS MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,CORONARY CARE,12,STANISLAUS
050000020,LOS ROBLES HOSPITAL & MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,INTENSIVE CARE NEWBORN NURSERY,12,VENTURA
070000150,KAISER FOUNDATION HOSPITAL-SAN JOSE,GENERAL ACUTE CARE HOSPITAL,INTENSIVE CARE NEWBORN NURSERY,12,SANTA CLARA
080000150,SCRIPPS MEMORIAL HOSPITAL - ENCINITAS,GENERAL ACUTE CARE HOSPITAL,INTENSIVE CARE,12,SAN DIEGO
030000123,MEMORIAL MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,INTENSIVE CARE NEWBORN NURSERY,12,STANISLAUS
140000190,KAISER FOUNDATION HOSPITAL - WALNUT CREEK,GENERAL ACUTE CARE HOSPITAL,PEDIATRIC,12,CONTRA COSTA
070000959,SUTTER MATERNITY & SURGERY CENTER OF SANTA CRUZ,GENERAL ACUTE CARE HOSPITAL,PERINATAL,12,SANTA CRUZ
120001444,KAWEAH HEALTH MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,PEDIATRIC,12,TULARE
240000046,REDLANDS COMMUNITY HOSPITAL,GENERAL ACUTE CARE HOSPITAL,INTENSIVE CARE,12,SAN BERNARDINO
030000365,ADVENTIST HEALTH SONORA,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,12,TUOLUMNE
630012971,LOMA LINDA UNIVERSITY MEDICAL CENTER - MURRIETA,GENERAL ACUTE CARE HOSPITAL,INTENSIVE CARE,12,RIVERSIDE
220000017,MILLS-PENINSULA MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,INTENSIVE CARE NEWBORN NURSERY,12,SAN MATEO
090000040,EL CENTRO REGIONAL MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,PEDIATRIC,12,IMPERIAL
060000006,CHAPMAN GLOBAL MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,INTENSIVE CARE,12,ORANGE
030000149,SUTTER DAVIS HOSPITAL,GENERAL ACUTE CARE HOSPITAL,PERINATAL,12,YOLO
630011175,"MONTE NIDO - LAKE VISTA, LLC",CONGREGATE LIVING HEALTH FACILITY,CONGREGATE LIVING HEALTH FACILITY,12,LOS ANGELES
250000553,CONNER RESIDENCE,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD HABILITATIVE,12,RIVERSIDE
030000037,METHODIST HOSPITAL OF SACRAMENTO,GENERAL ACUTE CARE HOSPITAL,INTENSIVE CARE NEWBORN NURSERY,12,SACRAMENTO
630009421,FRESENIUS MEDICAL CARE SOLANO COUNTY,CHRONIC DIALYSIS CLINIC,DIALYSIS STATIONS,12,SOLANO
930000093,GLENDALE MEMORIAL HOSPITAL AND HEALTH CENTER,GENERAL ACUTE CARE HOSPITAL,INTENSIVE CARE,12,LOS ANGELES
960001498,TLC - LINDLEY II,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD HABILITATIVE,12,LOS ANGELES
030000117,DAMERON HOSPITAL,GENERAL ACUTE CARE HOSPITAL,CORONARY CARE,12,SAN JOAQUIN
630015699,"SIERRA CARE AT THE LAKE, LLC",CONGREGATE LIVING HEALTH FACILITY,CONGREGATE LIVING HEALTH FACILITY,12,TULARE
930000066,PROVIDENCE HOLY CROSS MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,INTENSIVE CARE NEWBORN NURSERY,12,LOS ANGELES
930000066,PROVIDENCE HOLY CROSS MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,INTENSIVE CARE,12,LOS ANGELES
930000066,PROVIDENCE HOLY CROSS MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,CORONARY CARE,12,LOS ANGELES
630010993,LONG BEACH HARBOR (UCLA),CHRONIC DIALYSIS CLINIC,DIALYSIS STATIONS,12,LOS ANGELES
240000053,SAN ANTONIO REGIONAL HOSPITAL,GENERAL ACUTE CARE HOSPITAL,CORONARY CARE,12,SAN BERNARDINO
110000068,SUTTER SOLANO MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,INTENSIVE CARE,12,SOLANO
930000132,EMANATE HEALTH QUEEN OF THE VALLEY HOSPITAL,GENERAL ACUTE CARE HOSPITAL,REHABILITATION,12,LOS ANGELES
930000132,EMANATE HEALTH QUEEN OF THE VALLEY HOSPITAL,GENERAL ACUTE CARE HOSPITAL,INTENSIVE CARE,12,LOS ANGELES
240001784,INDIAN WELLS VALLEY,CHRONIC DIALYSIS CLINIC,DIALYSIS STATIONS,12,KERN
060000208,MEMORIALCARE ORANGE COAST MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,INTENSIVE CARE NEWBORN NURSERY,12,ORANGE
630016546,IDA EMMERSON HOSPICE HOUSE,HOSPICE FACILITY,HOSPICE,12,HUMBOLDT
630013478,CASTLEWOOD AT MONARCH COVE,CONGREGATE LIVING HEALTH FACILITY,CONGREGATE LIVING HEALTH FACILITY,12,MONTEREY
930000063,HENRY MAYO NEWHALL HOSPITAL,GENERAL ACUTE CARE HOSPITAL,INTENSIVE CARE,12,LOS ANGELES
930000157,PROVIDENCE LITTLE COMPANY OF MARY MEDICAL CENTER SAN PEDRO,GENERAL ACUTE CARE HOSPITAL,INTENSIVE CARE,12,LOS ANGELES
630016595,BAKERSFIELD BEHAVIORAL HEALTHCARE HOSPITAL. LLC,ACUTE PSYCHIATRIC HOSPITAL,CHEMICAL DEPENDENCY RECOVERY,12,KERN
090000146,PIONEERS MEMORIAL HEALTHCARE DISTRICT,GENERAL ACUTE CARE HOSPITAL,PEDIATRIC,12,IMPERIAL
120000701,MERCY SOUTHWEST HOSPITAL,GENERAL ACUTE CARE HOSPITAL,INTENSIVE CARE NEWBORN NURSERY,12,KERN
060000058,GARDEN GROVE HOSPITAL AND MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,INTENSIVE CARE NEWBORN NURSERY,12,ORANGE
110001173,MANTECA DIALYSIS,CHRONIC DIALYSIS CLINIC,DIALYSIS STATIONS,12,SAN JOAQUIN
930000109,MOTION PICTURE & TELEVISION HOSPITAL,ACUTE PSYCHIATRIC HOSPITAL,ACUTE PSYCHIATRIC CARE,12,LOS ANGELES
060001717,CHAPMAN GLOBAL MEDICAL CENTER D/P APH,ACUTE PSYCHIATRIC HOSPITAL,ACUTE PSYCHIATRIC CARE,12,ORANGE
930000187,USC VERDUGO HILLS HOSPITAL,GENERAL ACUTE CARE HOSPITAL,PERINATAL,12,LOS ANGELES
140000118,WASHINGTON HOSPITAL,GENERAL ACUTE CARE HOSPITAL,INTERMEDIATE CARE,12,ALAMEDA
060000058,GARDEN GROVE HOSPITAL AND MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,INTENSIVE CARE,12,ORANGE
630011753,JOY OF DIXON DIALYSIS CENTER,CHRONIC DIALYSIS CLINIC,DIALYSIS STATIONS,12,SOLANO
250000622,GARRISON HOUSE,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD HABILITATIVE,12,RIVERSIDE
960001738,VALLEY VILLAGE ALTANO HOUSE,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD NURSING,12,LOS ANGELES
110001181,MADISON DIALYSIS CLINIC,CHRONIC DIALYSIS CLINIC,DIALYSIS STATIONS,12,SACRAMENTO
230000261,ADVENTIST HEALTH AND RIDEOUT,GENERAL ACUTE CARE HOSPITAL,PERINATAL,12,YUBA
250000044,DOCTORS HOSPITAL OF RIVERSIDE,GENERAL ACUTE CARE HOSPITAL,INTENSIVE CARE NEWBORN NURSERY,12,RIVERSIDE
030000117,DAMERON HOSPITAL,GENERAL ACUTE CARE HOSPITAL,INTENSIVE CARE,12,SAN JOAQUIN
930000093,GLENDALE MEMORIAL HOSPITAL AND HEALTH CENTER,GENERAL ACUTE CARE HOSPITAL,CORONARY CARE,12,LOS ANGELES
110001182,TRACY DIALYSIS,CHRONIC DIALYSIS CLINIC,DIALYSIS STATIONS,12,SAN JOAQUIN
040000610,NEURORESTORATIVE CALIFORNIA,CONGREGATE LIVING HEALTH FACILITY,CONGREGATE LIVING HEALTH FACILITY,12,FRESNO
110001240,TOKAY DIALYSIS CENTER,CHRONIC DIALYSIS CLINIC,DIALYSIS STATIONS,12,SAN JOAQUIN
060000014,HOAG MEMORIAL HOSPITAL PRESBYTERIAN,GENERAL ACUTE CARE HOSPITAL,CORONARY CARE,12,ORANGE
630017395,SANDERLING DIALYSIS OF RAMONA,CHRONIC DIALYSIS CLINIC,DIALYSIS STATIONS,12,SAN DIEGO
010001128,NEURORESTORATIVE CALIFORNIA,CONGREGATE LIVING HEALTH FACILITY,CONGREGATE LIVING HEALTH FACILITY,12,MARIN
110000058,ADVENTIST HEALTH ST. HELENA,GENERAL ACUTE CARE HOSPITAL,INTENSIVE CARE,12,NAPA
930000123,POMONA VALLEY HOSPITAL MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,CORONARY CARE,12,LOS ANGELES
960001210,KRONENTHAL HOUSE,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD NURSING,12,LOS ANGELES
630011953,FRESENIUS MEDICAL CARE MCKINLEYVILLE,CHRONIC DIALYSIS CLINIC,DIALYSIS STATIONS,12,HUMBOLDT
630011954,NORTHGATE DIALYSIS CENTER,CHRONIC DIALYSIS CLINIC,DIALYSIS STATIONS,12,MARIN
630013751,BALDWIN PARK CONGREGATE HOME INC.,CONGREGATE LIVING HEALTH FACILITY,CONGREGATE LIVING HEALTH FACILITY,12,LOS ANGELES
070000145,NATIVIDAD MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,PEDIATRIC,12,MONTEREY
930000127,TORRANCE MEMORIAL MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,BURN,12,LOS ANGELES
930000228,U.S. RENAL CARE SKYPARK DIALYSIS,CHRONIC DIALYSIS CLINIC,DIALYSIS STATIONS,12,LOS ANGELES
630014268,NEURORESTORATIVE CALIFORNIA,CONGREGATE LIVING HEALTH FACILITY,CONGREGATE LIVING HEALTH FACILITY,12,ALAMEDA
630011376,CLEARLAKE DIALYSIS CENTER,CHRONIC DIALYSIS CLINIC,DIALYSIS STATIONS,12,LAKE
930000290,KAISER FOUNDATION HOSPITAL - WOODLAND HILLS,GENERAL ACUTE CARE HOSPITAL,INTENSIVE CARE NEWBORN NURSERY,12,LOS ANGELES
080000156,ALVARADO PARKWAY INSTITUTE BEHAVIORAL HEALTH SYSTEM,ACUTE PSYCHIATRIC HOSPITAL,CHEMICAL DEPENDENCY RECOVERY,12,SAN DIEGO
630014119,COALINGA DIALYSIS,CHRONIC DIALYSIS CLINIC,DIALYSIS STATIONS,12,FRESNO
630014113,"ST. ELIZABETH HOMES CLHF, INC.",CONGREGATE LIVING HEALTH FACILITY,CONGREGATE LIVING HEALTH FACILITY,12,LOS ANGELES
250000117,DEL PARK MANOR,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD HABILITATIVE,12,RIVERSIDE
930000044,CEDARS-SINAI MARINA DEL REY HOSPITAL,GENERAL ACUTE CARE HOSPITAL,INTENSIVE CARE,12,LOS ANGELES
040000949,KAISER FOUNDATION HOSPITAL - FRESNO,GENERAL ACUTE CARE HOSPITAL,INTENSIVE CARE,12,FRESNO
040000949,KAISER FOUNDATION HOSPITAL - FRESNO,GENERAL ACUTE CARE HOSPITAL,INTENSIVE CARE NEWBORN NURSERY,12,FRESNO
080000022,SCRIPPS GREEN HOSPITAL,GENERAL ACUTE CARE HOSPITAL,CORONARY CARE,12,SAN DIEGO
630015510,NEURORESTORATIVE CALIFORNIA,CONGREGATE LIVING HEALTH FACILITY,CONGREGATE LIVING HEALTH FACILITY,12,FRESNO
930000041,SAN GABRIEL VALLEY MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,INTENSIVE CARE NEWBORN NURSERY,12,LOS ANGELES
030000113,UNIVERSITY OF CALIFORNIA DAVIS MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,BURN,12,SACRAMENTO
110000007,SUTTER SANTA ROSA REGIONAL HOSPITAL,GENERAL ACUTE CARE HOSPITAL,INTENSIVE CARE NEWBORN NURSERY,12,SONOMA
630001441,RIDGELINE PEDIATRIC DAY HEALTH & RESPITE SERVICE,PEDIATRIC DAY HEALTH & RESPITE CARE FACILITY,PEDI. DAY & RESPITE CARE,12,NEVADA
040000110,MEMORIAL HOSPITAL LOS BANOS,GENERAL ACUTE CARE HOSPITAL,PERINATAL,12,MERCED
140000183,EDEN MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,PERINATAL,12,ALAMEDA
930000035,L.A. DOWNTOWN MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,INTENSIVE CARE,12,LOS ANGELES
930000076,KAISER FOUNDATION HOSPITAL-WEST LA,GENERAL ACUTE CARE HOSPITAL,INTENSIVE CARE NEWBORN NURSERY,12,LOS ANGELES
250000008,DESERT REGIONAL MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,REHABILITATION,12,RIVERSIDE
070001279,NEURORESTORATIVE CALIFORNIA,CONGREGATE LIVING HEALTH FACILITY,CONGREGATE LIVING HEALTH FACILITY,12,SANTA CLARA
930000002,CALIFORNIA HOSPITAL MEDICAL CENTER - LOS ANGELES,GENERAL ACUTE CARE HOSPITAL,PEDIATRIC,12,LOS ANGELES
630012219,MERCED EAST DIALYSIS,CHRONIC DIALYSIS CLINIC,DIALYSIS STATIONS,12,MERCED
110000944,KAISER FOUNDATION HOSPITAL - SAN RAFAEL,GENERAL ACUTE CARE HOSPITAL,INTENSIVE CARE,12,MARIN
030000123,MEMORIAL MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,CORONARY CARE,12,STANISLAUS
630015562,"HOFFMANN HOSPICE OF THE VALLEY, INC.",HOSPICE FACILITY,HOSPICE,12,KERN
630013929,KAISER FOUNDATION HOSPITAL - ORANGE COUNTY - ANAHEIM,GENERAL ACUTE CARE HOSPITAL,PEDIATRIC,12,ORANGE
140000016,SUTTER DELTA MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,INTENSIVE CARE,12,CONTRA COSTA
250000707,"KAISER FOUNDATION HOSPITAL, RIVERSIDE",GENERAL ACUTE CARE HOSPITAL,INTENSIVE CARE,11,RIVERSIDE
060000002,AHMC ANAHEIM REGIONAL MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,INTENSIVE CARE NEWBORN NURSERY,11,ORANGE
110000067,PROVIDENCE ST. JOSEPH HOSPITAL,GENERAL ACUTE CARE HOSPITAL,PERINATAL,11,HUMBOLDT
050000014,COMMUNITY MEMORIAL HOSPITAL - SAN BUENAVENTURA,GENERAL ACUTE CARE HOSPITAL,PERINATAL,11,VENTURA
050000016,FRENCH HOSPITAL MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,INTENSIVE CARE,11,SAN LUIS OBISPO
