,license_no,name,address,city,state,zip,expires,wc_carrier,wc_exp_date,bond_issuer,bond_eff_date,bond_issuer_clean
406,TA000225520,"RICHARD BAUMAN & ASSOCIATES, INC.  DBA BRS/GAGE TA","6300 WILSHIRE BLVD., SUITE 1430",LOS ANGELES,CA,90036,2020-07-29,FIREMANS FUND,2020-01-01,THE HARTFORD,2019-07-30,HARTFORD
407,TA000225574,"ASAP ACQUISITIONS SERVICES AND PROCUREMENTS, INC. ","27955 SMYTH DRIVE, SUITE 103",VALENCIA,CA,91355,2020-07-05,NAN,,TOKIO MARINE,2019-06-12,TOKIO MARINE
411,TA000225592,"TELLAVISION AGENCY, L.L.C.",1060 20TH STREET #8,SANTA MONICA,CA,90403,2020-08-20,NAN,,TOKIO MARINE,2019-08-27,TOKIO MARINE
413,TA000225620,CAROLINE PARK  DBA PARK ARTISTS GROUP,"11336 CAMARILLO ST., STE. 208",NORTH HOLLYWOOD,CA,91602,2020-05-05,STATE FUND,2019-04-10,GRAY CASUALTY & SURETY COMPANY,2018-09-16,GRAY CASUALTY & SURETY
414,TA000225636,"EVOLUTION MUSIC PARTNERS, LLC","650 S. GRAND AVENUE, SUITE 901",LOS ANGELES,CA,90017,2020-07-14,EMPLOYERS PREFERRED INS. CO,2019-10-01,WESTERN SURETY COMPANY,2019-06-17,WESTERN SURETY
415,TA000225666,"CREATIVE ARTISTS AGENCY, LLC",2000 AVENUE OF THE STARS,LOS ANGELES,CA,90067,2020-09-12,HARTFORD,2019-12-06,HARTFORD,2019-06-01,HARTFORD
417,TA000225757,APRIL MILLS ENTERTAINMENT LLC  DBA APRIL MILLS ENT,"10725 ACAMA STREET,  APT 14",NORTH HOLLYWOOD,CA,91602,2020-07-09,NAN,,OLD REPUBLIC,2014-09-16,OLD REPUBLIC
418,TA000225763,"MODEL TWO MANAGEMENT, LLC  DBA TWO MANAGEMENT","8000 SUNSET BLVD., STE #A201",LOS ANGELES,CA,90046,2020-08-06,STATE FUND,2019-08-21,AEGIS,2018-08-17,AEGIS
421,TA000225843,"NYLO MODEL & TALENT AGENCY, INC","2121 N. CALIFORNIA BOULEVARD, SUITE 290",WALNUT CREEK,CA,94596,2020-10-07,9118067-18,2020-12-01,62215141,2014-11-18,62215141
422,TA000225858,VALERIE GREENBAUM  DBA EIGER ARTISTS AGENCY,2464 PESQUERA DRIVE,LOS ANGELES,CA,90049,2020-10-24,NAN,,THE HARTFORD,2008-11-17,HARTFORD
423,TA000226022,AVANT ARTISTS LLC,21300 VICTORY BLVD. #505,WOODLAND HILLS,CA,91367,2020-07-20,STATE COMPENSATION INSURANCE FUIND,2019-10-26,WESTERN SURETY COMPANY,2019-07-28,WESTERN SURETY
424,TA000226030,"MINC TALENT, LLC","7083 HOLLYWOOD BLVD., FOURTH FLOOR",LOS ANGELES,CA,90028,2020-09-22,STATE FUND,2020-01-25,SURETYBONDS,2019-08-01,SURETYBONDS
427,TA000226097,"WILHELMINA WEST, INC.","9378 WILSHIRE BLVD., SUITE 310",BEVERLY HILLS,CA,90212,2020-08-24,FEDERAL INSURANCE COMPANY,2020-03-15,TRAVELERS,2019-04-15,TRAVELERS
428,TA000226134,NEXXXT LEVEL TALENT AGENCY LLC,"21501 ROSCOE BLVD, UNIT 120",CANOGA PARK,CA,91304,2020-08-18,NAN,,PRO SURETY,2019-09-05,PRO SURETY
430,TA000226201,"JE MODEL MANAGEMENT, INC.","155 MONTGOMERY STREET, SUITE 805",SAN FRANCISCO,CA,94104,2020-07-23,PROPERTY & CASUALTY INS. CO. OF HARTFORD,2019-09-19,THE HANOVER INSURANCE COMPANY,2019-07-20,HANOVER
431,TA000226214,BRAD MADISON AND CHRISTOPHER FAVILLE  DBA MONGREL ,743 CENTER BLVD.,FAIRFAX,CA,94930,2020-08-04,NAN,,HARTFORD,2018-11-27,HARTFORD
432,TA000226247,"LW 1, INC.  DBA APERTURE TALENT","9378 WILSHIRE BLVD., SUITE 310",BEVERLY HILLS,CA,90212,2020-05-29,VILIGANT INSURANCE COMPANY,2020-03-15,RLI INSURANCE COMPANY,2016-11-30,RLI INSURANCE
434,TA000226317,"THE CULBERTSON GROUP, LLC",9107 WILSHIRE BLVD. #450,BEVERLY HILLS,CA,90210,2020-10-02,NAN,,SURETY 1,2019-08-13,SURETY 1
437,TA000226481,MARY JOY GUZMAN  DBA WYNN STAR PRODUCTION AND TALE,828 LAKEHAVEN DRIVE,SUNNYVALE,CA,94089,2020-09-10,NAN,,OLD REPUBLIC SURETY COMPANY,2019-04-15,OLD REPUBLIC
438,TA000226510,"AIR-EDEL US, LLC",1416 N LA BREA AVE.,HOLLYWOOD,CA,90028,2020-01-14,PAYCHEX INSUR,2019-04-06,BONDSEXPRESS,2018-05-23,BONDSEXPRESS
439,TA000226566,CLAIRE BEST & ASSOCIATES,736 SEWARD ST.,LOS ANGELES,CA,90038,2020-08-15,TRAVELERS INDEMNITY COMPANY,2019-08-30,THE HARTFORD FIRE INSURANCE,2010-09-03,HARTFORD
440,TA000226660,"DREAMRAY MODEL AND TALENT AGENCY, LLC","5151 CALIFORNIA AVENUE, SUITE 100",IRVINE,CA,92617,2020-07-25,NAN,,THE GRAY SURE,2019-04-30,GRAY SURE
441,TA000226672,"WARDEN, WHITE & ASSOCIATES",10866 WILSHIRE BLVD #300,LOS ANGELES,CA,90024,2020-03-22,NAN,,WESTERN SURTY,2018-06-10,WESTERN SURETY
442,TA000226674,"THE ACTORS' HOUSE, INC.","5717 VALERIE AVE., SUITE 100",WOODLAND HILLS,CA,91367,2020-08-28,NAN,,THE HARTFORD FIRE INSURANCE,2014-11-14,HARTFORD
444,TA000226698,DONNA H. LEE  DBA CIRCLE TALENT ASSOCIATES TALENT ,"401 WILSHIRE BLVD., 12TH FLOOR PENTHOUSE",SANTA MONICA,CA,90401,2020-08-29,NAN,,SURETY1,2019-08-29,SURETY 1
451,TA000227024,ROTHMAN BRECHER LLC  DBA ROTHMAN BRECHER EHRICH LI,"9250 WILSHIRE BLVD., PENTHOUSE",BEVERLY HILLS,CA,90212,2020-12-17,HISCOX GROUP COMPANIES,2020-12-01,WESTERN SURETY COMPANY,2018-01-17,WESTERN SURETY
452,TA000227064,"METROPOLIS ANIMATION, INC.","9230 W. OLYMPIC BLVD., STE. 202",BEVERLY HILLS,CA,90212,2020-08-28,NAN,,BOND EXCHANGE,2019-08-13,BOND EXCHANGE
454,TA000227086,"DDO ARTISTS AGENCY, LLC","4605 LANKERSHIM BLVD., SUITE #340",NORTH HOLLYWOOD,CA,91602,2020-09-03,NAN,,THE HARTFORD FIRE,2019-09-17,HARTFORD
456,TA000227138,COURTNEY HANLON  DBA HANLON TALENT AGENCY,"6210 WILSHIRE BLVD., #305",LOS ANGELES,CA,90048,2020-08-06,NAN,,SURETY ONE,2019-02-01,SURETY ONE
457,TA000227170,HABER ENTERTAINMENT,"434 S. CANON DR., SUITE 204",BEVERLY HILLS,CA,90212,2020-10-24,NAN,,THE HARTFORD FIRE INSURANCE,2010-03-22,HARTFORD
459,TA000227184,SHIRLEY ANN WILSON  DBA WILSON & ASSOCIATES,6472 SANTA MONICA BLVD.,HOLLYWOOD,CA,90038,2020-07-27,NAN,,THE HARTFORD FIRE INSURANCE,2011-06-21,HARTFORD
460,TA000227243,JENNY NARCISA STRICKLIN  DBA JENNY STRICKLIN TALEN,1438 N. GOWER ST. BLDG 2 - RM 39,HOLLYWOOD,CA,90028,2020-07-26,NAN,,ACIC,2019-05-09,ACIC
461,TA000227255,"GENETIC MODELS MANAGEMENT, LLC","1601, N GOWER ST",LOS ANGELES,CA,90028,2020-01-26,NAN,,WESTERN SURETY COMPANY,2016-08-15,WESTERN SURETY
462,TA000227255,"GENETIC MODELS MANAGEMENT, LLC","1601, N GOWER ST",LOS ANGELES,CA,90028,2021-01-26,NAN,,WESTERN SURETY COMPANY,2019-08-15,WESTERN SURETY
464,TA000227373,"FREEDOM 6.21, INC.  DBA SOLO ARTISTS",2251 GUTHRIE CIRCLE,LOS ANGELES,CA,90034,2020-08-19,GREAT DIVIDE INSURANCE COMPANY,2020-01-01,THE HARTFORD FIRE,2019-07-10,HARTFORD
465,TA000227393,"DIRECT MODELS, INC.  DBA LA DIRECT MODELS","770 L STREET, SUITE 950",SACRAMENTO,CA,95814,2020-01-22,NAN,,WESTERN SURETY COMPANY,2019-09-20,WESTERN SURETY
467,TA000227461,"NEJ, LTD  DBA BRESLER KELLY & ASSOCIATES",11500 W OLYMPIC BLVD. #400,LOS ANGELES,CA,90064,2020-10-20,NAN,,THE HARTFORD FIRE,2019-02-22,HARTFORD
468,TA000227472,"REVA, LTD.  DBA CHEZ CHIC TALENT",850 EAST OCEAN BLVD. #1209,LONG BEACH,CA,90802,2020-09-06,NAN,,SURETY1,2019-02-01,SURETY 1
469,TA000227479,"TODD SHEMARYA ARTISTS, INC.",2550 OUTPOST DR.,LOS ANGELES,CA,90068,2020-10-08,STATE FUND,2020-07-01,THE HARTFORD FIRE INSURANCE,2006-08-15,HARTFORD
470,TA000227494,"EPIC MEDIA CONSULTING, LLC",6085 CALLE CAMPOSECO,RANCHO SANTA FE,CA,92067,2020-09-30,NAN,,GREAT AMERICAN INSURANCE COMPANY,2019-09-23,GREAT AMERICAN INSURANCE
476,TA000227707,"LARCHMONT LITERARY AGENCY, INC.",444 N. LARCHMONT BLVD. #200,LOS ANGELES,CA,90004,2020-08-09,NAN,,STATE FARM FIRE AND CASUALTY COMPANY,2018-08-14,STATE FARM
478,TA000227752,CHARLOTTE M. WILD  DBA SIRENA MODELS,332 S. BEVERLY DRIVE #100,BEVERLY HILLS,CA,90212,2020-08-10,NAN,,WESTERN SURETY COMPANY,2015-09-01,WESTERN SURETY
481,TA000227992,"SMS TALENT, INC.",8383 WILSHIRE BLVD. #230,BEVERLY HILLS,CA,90211,2020-10-03,STATE FUND,2020-09-01,SURETY 1,2018-08-01,SURETY 1
482,TA000228000,WORK TALENT LLC,"21747 ERWIN STREET, 2ND FLOOR",WOODLAND HILLS,CA,91367,2020-08-26,NAN,,WASHINGTON INTERNATIONAL INSURANCE COMPANY,2012-12-01,WASHINGTON INTERNATIONAL INSURANCE
486,TA000228163,"SPORTS UNLIMITED TALENT AGENCY, INC.  DBA SPORTS A","7080 HOLLYWOOD BLVD., SUITE 306",LOS ANGELES,CA,90028,2020-09-05,TRAVELERS,2019-11-20,SURETY 1,2020-07-15,SURETY 1
488,TA000228203,"FREEDOM MODELS CALIFORNIA, INC.",820 N. FAIRFAX AVE.,WEST HOLLYWOOD,CA,90046,2020-07-21,HARTFORD CASUALTY INSURANCE,2020-04-14,SURETEC INSURANCE COMPANY,2014-08-21,SURETEC INSURANCE
489,TA000228229,"NIKKIZ ANGELS, INC.  DBA EXCELSIOR TALENT",7204 LITTLER CT.,MOORPARK,CA,93021,2020-10-10,NAN,,GREAT AMERICAN INSURANCE GROUP,2019-02-19,GREAT AMERICAN INSURANCE GROUP
490,TA000228232,"THE ASIANO AGENCY, LLC  DBA UMBRELLAGIRLSUSA",347 W I STREET,ENCINITAS,CA,92024,2020-09-04,NAN,,TOKIO MARINE,2018-11-19,TOKIO MARINE
491,TA000228239,"DENNIS\KARG & COMPANY, INC.  DBA FILM ARTISTS ASSO","21044 VENTURA BLVD., #215",WOODLAND HILLS,CA,91364,2020-09-16,NAN,,THE HARTFORD FIRE INSURANCE,2019-10-14,HARTFORD
493,TA000228591,"INTERNATIONAL IDOLS AGENCY, LLC","641 N. LARCHMONT BLVD., 777",LOS ANGELES,CA,90004,2020-08-26,NAN,,SURETY1,2020-08-24,SURETY 1
495,TA000228769,"GRAY TALENT GROUP, INC.","15315 MAGNOLIA BOULEVARD, UNIT 203",SHERMAN OAKS,CA,91403,2020-07-24,MCCARTHYTRINK,2019-09-12,MCCARTHYTRINK,2019-08-25,MCCARTHYTRINK
496,TA000228780,SHARON CARRY  DBA CARRY COMPANY,"3875 WILSHIRE BLVD , #402",LOS ANGELES,CA,90010,2020-08-21,NAN,,GRAY CASUALIT,2019-08-22,GRAY CASUALIT
498,TA000228839,KARL HOFHEINZ  DBA SYNERGY TALENT GROUP,13251 VENTURA BLVD #2,STUDIO CITY,CA,91604,2020-10-18,NAN,,AEGIS,2019-09-01,AEGIS
499,TA000228854,"THE BRODER/KURLAND AGENCY, INC.","11400 W. OLYMPIC BLVD, SUITE 590",LOS ANGELES,CA,90064,2020-10-18,NAN,,THE HARTFORD,2018-12-15,HARTFORD
502,TA000228909,"GO 2 TALENT AGENCY, INC.",2825 W MAGNOLIA BLVD,BURBANK,CA,91505,2020-11-02,FARMERS,2019-12-31,HARTFORD,2019-01-01,HARTFORD
503,TA000228922,JANA LUKER  DBA JANA LUKER AGENCY,"20501 VENTURA BLVD, SUITE 115",WOODLAND HILLS,CA,91364,2020-08-22,NAN,,SURETY 1,2019-06-01,SURETY 1
506,TA000229004,RAUL SARMIENTO VEGA  DBA CHINO AGENCY GROUP,14083 SAN ANTONIO AVENUE,CHINO,CA,91710,2020-08-29,NAN,,LIBERTY MUTUAL SURETY,2019-08-28,LIBERTY MUTUAL SURETY
507,TA000229019,"ELEV8, LLC","489 S, ROBERTSON BLVD, SUITE 206",BEVERLY HILLS,CA,90211,2020-08-11,NAN,,SURETY1,2019-08-29,SURETY 1
509,TA000229035,VICTOR KRUGLOV,"6565 SUNSET BLVD, SUITE 300",LOS ANGELES,CA,90028,2020-03-18,NAN,,SURETY1,2018-05-01,SURETY 1
513,TA000229114,TRACI ANN HALVORSON  DBA HALVORSON MODEL MANAGEMEN,"3777 STEVENS CREEK BLVD, SUITE 440",SANTA CLARA,CA,95051,2020-10-23,NAN,,STATE FARM,2019-06-24,STATE FARM
514,TA000229129,INTERNATIONAL CREATIVE MANAGEMENT PARTNERS LLC  DB,10250 CONSTELLATION BOULEVARD,LOS ANGELES,CA,90067,2020-07-09,LIBERTY MUTUA,2020-01-01,THE HARTFORD,2019-01-01,HARTFORD
515,TA000229259,THOMAS JESSE GOFF,386 S. BURNSIDE AVENUE - SUITE 4F,LOS ANGELES,CA,90036,2020-10-31,NAN,,STATE FARM FIRE AND CASUALTY COMPANY,2013-04-29,STATE FARM
524,TA000229354,"HARMONY ARTISTS, INC.",3575 CAHUENGA BLVD. W #560,LOS ANGELES,CA,90068,2020-10-10,STATE FUND,2020-10-01,TOKIO MARINE,2019-07-28,TOKIO MARINE
525,TA000229356,"AMELIA AGENCY, INC.  DBA GREYSCALE MGMT  DBA CLOUT",8952 ELLIS AVENUE,LOS ANGELES,CA,90034,2020-10-21,TRAVELERS,2019-07-23,NORTH AMERICAN SPECIALTY INSURANCE COMPANY,2019-11-01,NORTH AMERICAN SPECIALTY INSURANCE
526,TA000229360,"KELLY D. ALLRED  DBA TOP NOTCH TALENT, TALENT AGEN","524 S. CLOVIS AVENUE, SUITE N",FRESNO,CA,93727,2020-10-15,NAN,,SURETY1,2019-10-16,SURETY 1
532,TA000229466,VIRGINIA DIB  DBA MALAKY INTERNATIONAL,"205 SOUTH BEVERLY DRIVE, SUITE 211",BEVERLY HILLS,CA,90212,2020-07-08,NAN,,SURETY1,2018-07-24,SURETY 1
533,TA000229487,"BLOC TALENT AGENCY, INC.","1680 VINE ST., STE. 600",LOS ANGELES,CA,90048,2020-10-04,ADP INSURANCE,2020-10-01,SURETY 1,2019-09-01,SURETY 1
534,TA000229594,BOBBY GENE JUAREZ  DBA THE BOSS BOOKING AGENCY,18119 S. PRAIRIE AVENUE,TORRANCE,CA,90504,2020-10-18,NAN,,HARTFORD,2019-03-02,HARTFORD
535,TA000229606,"THE WAYNE AGENCY, LLC","3255 WILSHIRE BLVD, SUITE 1534",BEVERLY HILLS,CA,90010,2020-03-31,STATE FUND,2020-09-17,JW SURETY,2015-09-01,JW SURETY
545,TA000229986,"GILBERT INSURANCE SERVICES, INC. TALENT AGENCY",9454 WILSHIRE BLVD.  SUITE 510,BEVERLY HILLS,CA,90212,2020-11-08,NAN,,AMERICAN CONTRACTORS INDEMNITY COMPANY,2019-03-18,AMERICAN CONTRACTORS INDEMNITY
546,TA000229988,CHRISTINA WALKER  DBA CA TALENT,9936 ROBBINS DRIVE,BEVERLY HILLS,CA,90212,2020-12-07,NAN,,STATE FARM FIRE & CASUALTY,2009-09-02,STATE FARM
547,TA000230004,"ARLENE THORNTON & ASSOCIATES, INC.","12711 VENTURA BLVD, #490",STUDIO CITY,CA,91604,2020-11-12,STATE FUND,2020-06-01,THE HARTFORD FIRE INSURANCE,2006-09-11,HARTFORD
551,TA000230222,SUZAN ROLLINS  DBA TITANIA ENTERTAINMENT,5678 SLICERS CIRCLE,AGOURA HILLS,CA,91301,2020-10-27,NAN,,STATE FARM FIRE AND CASUALTY COMPANY,2019-11-04,STATE FARM
556,TA000230332,"THE GLICK AGENCY, LLC","5400 LINDLEY AVENUE, #112A",ENCINO,CA,91316,2020-10-03,NAN,,THE HARTFORD FIRE INSURANCE,2006-10-12,HARTFORD
559,TA000230433,"BRICK ENTERTAINMENT, LLC  DBA BRICKHOUSE TALENT  D","18663 VENTURA BLVD, SUITE 201",TARZANA,CA,91356,2020-11-06,NAN,,THE HANOVER INSURANCE COMPANY,2018-12-11,HANOVER
560,TA000230454,STARWIL REED & GWEN REED  DBA STARWIL PRODUCTIONS ,"433 N. CAMDEN DRIVE, 4TH FLOOR",BEVERLY HILLS,CA,90210,2020-01-22,NAN,,THE HANOVER INSURANCE COMPANY,2018-12-01,HANOVER
561,TA000230454,STARWIL REED & GWEN REED  DBA STARWIL PRODUCTIONS ,"433 N. CAMDEN DRIVE, 4TH FLOOR",BEVERLY HILLS,CA,90210,2021-01-22,NAN,,THE HANOVER INSURANCE,2018-12-01,HANOVER
563,TA000230489,"TEAM DUSWALT, INC.  DBA PEAK MODELS & TALENT","280 N. WESTLAKE BLVD., SUITE 110",WESTLAKE VILLAGE,CA,91362,2020-09-18,STATE COMPENSATION INSURANCE FUND,2020-10-01,AMERICAN CONTRACTORS INDEMNITY COMPANY,2019-08-01,AMERICAN CONTRACTORS INDEMNITY
567,TA000230640,INCITE MANAGEMENT INC.,22468 PAUL REVERE DRIVE,CALABASAS,CA,91302,2020-10-11,NAN,,100264524,2019-12-15,100264524
570,TA000230876,GORO HAMASAKI  DBA EAST GROUP AGENCY,"14545 FRIAR STREET, SUITE 101",VAN NUYS,CA,91411,2020-10-30,NAN,,OLD REPUBLIC,2019-08-15,OLD REPUBLIC
571,TA000230919,ELTON BOLDEN  DBA TILMAR TALENT AGENCY,"6404 WILSHIRE BLVD, SUITE 735",LOS ANGELES,CA,90048,2020-10-24,NAN,,THE HARTFORD FIRE INSURANCE,2016-12-01,HARTFORD
573,TA000231158,JONATHAN CALEB DONNER  DBA THUNDER TALENT AGENCY,"910 HAMPSHIRE RD., STE. R",WESTLAKE VILLAGE,CA,91361,2020-10-22,NAN,,SURETYBONDS.COM,2019-10-23,SURETYBONDS.COM
574,TA000231181,"WILSON EVENTS, INC.",515 B STREET,PETALUMA,CA,94952,2019-12-15,NAN,,AMERICAN CONTRACTORS INDEMNITY,2017-11-01,AMERICAN CONTRACTORS INDEMNITY
578,TA000231290,JONATHAN DAVID FINBERG  DBA FIRST ROW TALENT,"4735 SEPULVEDA BOULEVARD, #221",SHERMAN OAKS,CA,91403,2020-11-29,NAN,,ACIC,2019-01-01,ACIC
580,TA000231345,MARLENE MARIE HARTJE  DBA THE MARLENE AGENCY,"6080 CENTER DR., 6TH FLOOR",LOS ANGELES,CA,90045,2019-12-27,NAN,,SURETY BOND,2018-07-07,SURETY BOND
581,TA000231345,MARLENE MARIE HARTJE  DBA THE MARLENE AGENCY,"6080 CENTER DR., 6TH FLOOR",LOS ANGELES,CA,90045,2020-12-27,NAN,,SURETY BONDS,2019-07-19,SURETY BONDS
583,TA000231411,"BENSIMON MODELS AND TALENT, LLC","11665 AVENA PLACE, #205",SAN DIEGO,CA,92128,2019-12-22,NAN,,ACIC,2019-05-15,ACIC
584,TA000231411,"BENSIMON MODELS AND TALENT, LLC","11665 AVENA PLACE, #205",SAN DIEGO,CA,92128,2020-12-22,STATE FUND,2020-09-01,AMERICAN CONTRACTORS INDEMNITY COMPANY,2019-05-15,AMERICAN CONTRACTORS INDEMNITY
586,TA000231446,101 MODELING,"24372 VANOWEN STREET, SUITE 206",WEST HILLS,CA,91307,2020-01-26,NAN,,GREAT AMERICA,2019-03-11,GREAT AMERICA
587,TA000231459,"GRANT, SAVIC, KOPALOFF & ASSOCIATES, LLC","4929 WILSHIRE BLVD, SUITE 259",LOS ANGELES,CA,90010,2020-08-19,STATE FUND,2020-03-01,ADVANCE SURETY AND INSURANCE AGENCY,2018-07-01,ADVANCE SURETY AND INSURANCE AGENCY
590,TA000231713,BERMAN/SACKS TALENT AGENCY LLC,"2600 WEST OLIVE AVE., STE. 500",BURBANK,CA,91505,2020-01-26,NAN,,THE HARTFORD,2017-10-01,HARTFORD
591,TA000231713,BERMAN/SACKS TALENT AGENCY LLC,"2600 WEST OLIVE AVE., STE. 500",BURBANK,CA,91505,2021-01-26,NAN,,THE HARTFORD,2019-12-07,HARTFORD
592,TA000231720,INTRINSIC LLC,"8335 SUNSET BLVD, SUITE 301",WEST HOLLYWOOD,CA,90069,2019-12-18,NAN,,AMERICAN CONTRACTORS INDEMNITY COMPANY,2018-01-06,AMERICAN CONTRACTORS INDEMNITY
593,TA000231720,INTRINSIC LLC,"8335 SUNSET BLVD, SUITE 301",WEST HOLLYWOOD,CA,90069,2020-12-18,NAN,,AMERICAN CONTRACTORS INDEMNITY COMPANY,2020-01-06,AMERICAN CONTRACTORS INDEMNITY
594,TA000231739,"LOVESTONE TALENT AGENCY, LLC","145 S. FAIRFAX AVE., SUITE 200",LOS ANGELES,CA,90036,2020-11-16,MID CENTURY,2020-08-29,WESTERN SURET,2019-10-24,WESTERN SURETY
596,TA000231808,STEVEN STEVENS  DBA THE STEVENS GROUP,"14011 VENTURA BLVD., SUITE 200",SHERMAN OAKS,CA,91423,2020-11-08,NAN,,STATE FARM AND CASUALTY COMPANY,2006-04-01,STATE FARM
599,TA000231835,SANDRA BROSNAN  DBA ONEWORLD MODEL AND TALENT,2127 LINNINGTON AVENUE,LOS ANGELES,CA,90025,2020-01-28,NAN,,AEGIS SECURITY,2018-08-11,AEGIS SECURITY
601,TA000231890,"INNOVATIVE ARTISTS TALENT AND LITERARY AGENCY, INC",1505 10TH ST,SANTA MONICA,CA,90401,2019-12-31,EVEREST,2019-07-01,HARTFORD,2017-10-01,HARTFORD
602,TA000231890,"INNOVATIVE ARTISTS TALENT AND LITERARY AGENCY, INC",1505 10TH ST,SANTA MONICA,CA,90401,2020-12-31,EVEREST NAT'L,2020-07-01,HARTFORD,2017-10-01,HARTFORD
603,TA000232084,PAUL JONATHAN STROTHEIDE  DBA JS REPRESENTS,7805 SUNSET BLVD.  #211,LOS ANGELES,CA,90046,2020-12-09,NAN,,SURETY1,2019-09-12,SURETY 1
604,TA000232130,ZE ANIMATION STUDIOS INC.,9465 WILSHIRE BLVD. #300,BEVERLY HILLS,CA,90212,2020-01-10,NAN,,AEGIS SECURITY INSURANCE COMPANY,2014-10-15,AEGIS SECURITY INSURANCE
605,TA000232253,"AVO TALENT, INC.","5670 WILSHIRE BLVD, SUITE 1930",LOS ANGELES,CA,90036,2019-12-21,ACE AMERICAN,2019-03-01,SURETY 1,2021-02-01,SURETY 1
606,TA000232253,"AVO TALENT, INC.","5670 WILSHIRE BLVD, SUITE 1930",LOS ANGELES,CA,90036,2020-12-21,USI INSURANCE,2020-03-01,SURETY,2018-02-01,SURETY
608,TA000232271,"VOX, INC.","6420 WILSHIRE BLVD., #1080",LOS ANGELES,CA,90048,2020-01-03,ACORD,2019-05-01,THE HARTFORD,2017-06-20,HARTFORD
609,TA000232271,"VOX, INC.","6420 WILSHIRE BLVD., #1080",LOS ANGELES,CA,90048,2021-01-03,STARNET,2020-05-01,THE HARTFORD,2017-06-20,HARTFORD
610,TA000232280,"TALENTWORKS, INC.","3500 W. OLIVE AVENUE, SUITE 1400",BURBANK,CA,91505,2020-11-06,STATE COMPENSATION INSURANCE FUND,2020-04-01,HARTFORD,2018-11-07,HARTFORD
611,TA000232305,"REBEL ENTERTAINMENT PARTNERS, INC.","5700 WILSHIRE BLVD, SUITE 470",LOS ANGELES,CA,90036,2019-12-17,FIREMAN'S,2019-04-01,SURETY SOLUTI,2018-11-22,SURETY SOLUTI
612,TA000232305,"REBEL ENTERTAINMENT PARTNERS, INC.","5700 WILSHIRE BLVD, SUITE 470",LOS ANGELES,CA,90036,2020-12-17,FIREMANS,2020-04-01,SURETY 1,2019-11-22,SURETY 1
613,TA000232335,GAIL SHERMAN JONES  DBA TALENT+PLUS/LOS LATINOS TA,318 RHINE COURT,SALINAS,CA,93906,2020-01-14,NAN,,OLD REPUBLIC SURETY COMPANY,2006-01-01,OLD REPUBLIC
614,TA000232335,GAIL SHERMAN JONES  DBA TALENT+PLUS/LOS LATINOS TA,318 RHINE COURT,SALINAS,CA,93906,2021-01-14,NAN,,OLD REPUBLIC SURETY COMPANY,2006-01-01,OLD REPUBLIC
615,TA000232432,"HIGH ROAD TOURING, LLC","751 BRIDGEWAY, 3RD FLOOR",SAUSALITO,CA,94965,2020-01-23,TECHNOLOGY,2019-02-19,HARTFORD FIRE,2017-11-16,HARTFORD
618,TA000232555,THE ALPERN GROUP,15645 ROYAL OAK RD.,ENCINO,CA,91436,2019-12-26,NEW YORK & GENERAL INSURANCE,2019-01-01,THE HARTFORD FIRE INSURANCE COMPANY,2006-11-01,HARTFORD
619,TA000232555,THE ALPERN GROUP,15645 ROYAL OAK RD.,ENCINO,CA,91436,2020-12-26,NEW YORK MARINE & GENERAL INSURANCE,2020-01-01,THE HARTFORD,2018-11-01,HARTFORD
621,TA000232656,PAUL KOHNER INC.  DBA THE KOHNER AGENCY,"9300 WILSHIRE BLVD, SUITE 555",BEVERLY HILLS,CA,90212,2020-01-07,THE HARTFORD,2019-07-15,SURETY1,2018-01-01,SURETY 1
622,TA000232656,PAUL KOHNER INC.  DBA THE KOHNER AGENCY,"9300 WILSHIRE BLVD, SUITE 555",BEVERLY HILLS,CA,90212,2021-01-07,THE HARTFORD FIRE INSURANCE,2020-07-15,SURETY 1,2018-01-01,SURETY 1
625,TA000232720,"SASHA BOGIE, INC.  DBA NTA MODEL MANAGEMENT","1445 N. STANLEY AVENUE, SUITE 200",LOS ANGELES,CA,90046,2020-11-11,NEW YORK MARINE & GENERAL INS.,2020-05-26,ACIC,2019-05-16,ACIC
627,TA000232906,CHAMPAGNE TROTT MANAGEMENT LLC  DBA VISION MODELS,8631 WASHINGTON BLVD,CULVER CITY,CA,90232,2020-01-17,AMERICAN INSURANCE COMPANY,2019-04-27,THE HARTFORD FIRE INSURANCE,2007-10-01,HARTFORD
628,TA000232941,"NTA TALENT AGENCY, INC.  DBA NTA TALENT AGENCY","1445 N. STANLEY AVENUE, 2ND FLOOR",LOS ANGELES,CA,90046,2019-12-26,NEW YORK MARINE & GENERAL INS,2019-04-16,TOKIO MARINE HCC,2018-11-10,TOKIO MARINE HCC
629,TA000232941,"NTA TALENT AGENCY, INC.  DBA NTA TALENT AGENCY","1445 N. STANLEY AVENUE, 2ND FLOOR",LOS ANGELES,CA,90046,2020-12-26,NEW YORK MARINE & GENERAL INS.,2020-05-26,HCC SURETY GROUP,2019-11-10,HCC SURETY GROUP
631,TA000233180,"GERENCIA 360 MANAGEMENT, INC.","300 E MAGNOLIA BLVD., STE. 500",BURBANK,CA,91502,2019-12-22,NAN,,TOKIO MARINE,2019-01-16,TOKIO MARINE
632,TA000233216,"OC MODELING, LLC","22024 LASSEN ST., UNIT #114",CHATSWORTH,CA,91311,2020-01-21,NAN,,THE HARTFORD FIRE INSURANCE,2017-11-16,HARTFORD
